	m	t	
f	3.20236E-05	0.0813871	
			
			
X in nm	Y Signal 	f	y-f
625.04	0.10392	0.101403131	0.002516869
625.08	0.09506	0.101404412	-0.006344412
625.12	0.10173	0.101405693	0.000324307
625.16	0.10183	0.101406974	0.000423026
625.2	0.10525	0.101408255	0.003841745
625.24	0.1	0.101409536	-0.001409536
625.28	0.10453	0.101410817	0.003119183
625.32	0.10443	0.101412098	0.003017902
625.36	0.09802	0.101413378	-0.003393378
625.4	0.1084	0.101414659	0.006985341
625.44	0.0942	0.10141594	-0.00721594
625.48	0.10469	0.101417221	0.003272779
625.52	0.10189	0.101418502	0.000471498
625.56	0.10464	0.101419783	0.003220217
625.6	0.10469	0.101421064	0.003268936
625.64	0.10637	0.101422345	0.004947655
625.68	0.10362	0.101423626	0.002196374
625.72	0.10265	0.101424907	0.001225093
625.76	0.0999	0.101426188	-0.001526188
625.8	0.10275	0.101427469	0.001322531
625.84	0.10458	0.10142875	0.00315125
625.88	0.10479	0.101430031	0.003359969
625.92	0.1001	0.101431312	-0.001331312
625.96	0.10372	0.101432593	0.002287407
626	0.1084	0.101433874	0.006966126
626.04	0.09903	0.101435155	-0.002405155
626.08	0.10183	0.101436435	0.000393565
626.12	0.11492	0.101437716	0.013482284
626.16	0.10632	0.101438997	0.004881003
626.2	0.10632	0.101440278	0.004879722
626.24	0.10642	0.101441559	0.004978441
626.28	0.10346	0.10144284	0.00201716
626.32	0.10377	0.101444121	0.002325879
626.36	0.1025	0.101445402	0.001054598
626.4	0.10285	0.101446683	0.001403317
626.44	0.10535	0.101447964	0.003902036
626.48	0.10525	0.101449245	0.003800755
626.52	0.10183	0.101450526	0.000379474
626.56	0.10372	0.101451807	0.002268193
626.6	0.10392	0.101453088	0.002466912
626.64	0.10071	0.101454369	-0.000744369
626.68	0.10922	0.10145565	0.00776435
626.72	0.1056	0.101456931	0.004143069
626.76	0.10173	0.101458212	0.000271788
626.8	0.10194	0.101459492	0.000480508
626.84	0.10896	0.101460773	0.007499227
626.88	0.10738	0.101462054	0.005917946
626.92	0.1056	0.101463335	0.004136665
626.96	0.10912	0.101464616	0.007655384
627	0.10616	0.101465897	0.004694103
627.04	0.10209	0.101467178	0.000622822
627.08	0.10189	0.101468459	0.000421541
627.12	0.10774	0.10146974	0.00627026
627.16	0.1055	0.101471021	0.004028979
627.2	0.10947	0.101472302	0.007997698
627.24	0.10178	0.101473583	0.000306417
627.28	0.10458	0.101474864	0.003105136
627.32	0.10825	0.101476145	0.006773855
627.36	0.10835	0.101477426	0.006872574
627.4	0.10738	0.101478707	0.005901293
627.44	0.10453	0.101479988	0.003050012
627.48	0.10657	0.101481269	0.005088731
627.52	0.10856	0.101482549	0.007077451
627.56	0.11136	0.10148383	0.00987617
627.6	0.10372	0.101485111	0.002234889
627.64	0.10744	0.101486392	0.005953608
627.68	0.10749	0.101487673	0.006002327
627.72	0.10906	0.101488954	0.007571046
627.76	0.1082	0.101490235	0.006709765
627.8	0.11115	0.101491516	0.009658484
627.84	0.11487	0.101492797	0.013377203
627.88	0.11085	0.101494078	0.009355922
627.92	0.11115	0.101495359	0.009654641
627.96	0.11105	0.10149664	0.00955336
628	0.11777	0.101497921	0.016272079
628.04	0.11024	0.101499202	0.008740798
628.08	0.10942	0.101500483	0.007919517
628.12	0.1113	0.101501764	0.009798236
628.16	0.11691	0.101503045	0.015406955
628.2	0.11273	0.101504326	0.011225674
628.24	0.11319	0.101505606	0.011684394
628.28	0.11008	0.101506887	0.008573113
628.32	0.12256	0.101508168	0.021051832
628.36	0.11222	0.101509449	0.010710551
628.4	0.11293	0.10151073	0.01141927
628.44	0.12098	0.101512011	0.019467989
628.48	0.12139	0.101513292	0.019876708
628.52	0.11207	0.101514573	0.010555427
628.56	0.11197	0.101515854	0.010454146
628.6	0.11696	0.101517135	0.015442865
628.64	0.11685	0.101518416	0.015331584
628.68	0.11889	0.101519697	0.017370303
628.72	0.1195	0.101520978	0.017979022
628.76	0.12154	0.101522259	0.020017741
628.8	0.10932	0.10152354	0.00779646
628.84	0.10937	0.101524821	0.007845179
628.88	0.11864	0.101526102	0.017113898
628.92	0.11757	0.101527383	0.016042617
628.96	0.11558	0.101528663	0.014051337
629	0.11039	0.101529944	0.008860056
629.04	0.11497	0.101531225	0.013438775
629.08	0.11309	0.101532506	0.011557494
629.12	0.11309	0.101533787	0.011556213
629.16	0.11324	0.101535068	0.011704932
629.2	0.11125	0.101536349	0.009713651
629.24	0.11675	0.10153763	0.01521237
629.28	0.10932	0.101538911	0.007781089
629.32	0.10927	0.101540192	0.007729808
629.36	0.1109	0.101541473	0.009358527
629.4	0.10744	0.101542754	0.005897246
629.44	0.10759	0.101544035	0.006045965
629.48	0.10632	0.101545316	0.004774684
629.52	0.10906	0.101546597	0.007513403
629.56	0.11095	0.101547878	0.009402122
629.6	0.10576	0.101549159	0.004210841
629.64	0.10657	0.10155044	0.00501956
629.68	0.10372	0.10155172	0.00216828
629.72	0.10377	0.101553001	0.002216999
629.76	0.10245	0.101554282	0.000895718
629.8	0.1055	0.101555563	0.003944437
629.84	0.1028	0.101556844	0.001243156
629.88	0.0999	0.101558125	-0.001658125
629.92	0.10647	0.101559406	0.004910594
629.96	0.1	0.101560687	-0.001560687
630	0.09898	0.101561968	-0.002581968
630.04	0.09909	0.101563249	-0.002473249
630.08	0.09802	0.10156453	-0.00354453
630.12	0.10178	0.101565811	0.000214189
630.16	0.09995	0.101567092	-0.001617092
630.2	0.10061	0.101568373	-0.000958373
630.24	0.09791	0.101569654	-0.003659654
630.28	0.10616	0.101570935	0.004589065
630.32	0.10647	0.101572216	0.004897784
630.36	0.10377	0.101573496	0.002196504
630.4	0.09883	0.101574777	-0.002744777
630.44	0.10082	0.101576058	-0.000756058
630.48	0.09985	0.101577339	-0.001727339
630.52	0.10474	0.10157862	0.00316138
630.56	0.10097	0.101579901	-0.000609901
630.6	0.1	0.101581182	-0.001581182
630.64	0.09975	0.101582463	-0.001832463
630.68	0.10632	0.101583744	0.004736256
630.72	0.10005	0.101585025	-0.001535025
630.76	0.09506	0.101586306	-0.006526306
630.8	0.1026	0.101587587	0.001012413
630.84	0.10178	0.101588868	0.000191132
630.88	0.11018	0.101590149	0.008589851
630.92	0.11003	0.10159143	0.00843857
630.96	0.09939	0.101592711	-0.002202711
631	0.10194	0.101593992	0.000346008
631.04	0.1	0.101595273	-0.001595273
631.08	0.10555	0.101596553	0.003953447
631.12	0.09812	0.101597834	-0.003477834
631.16	0.10647	0.101599115	0.004870885
631.2	0.10626	0.101600396	0.004659604
631.24	0.09338	0.101601677	-0.008221677
631.28	0.10759	0.101602958	0.005987042
631.32	0.10662	0.101604239	0.005015761
631.36	0.1025	0.10160552	0.00089448
631.4	0.10728	0.101606801	0.005673199
631.44	0.09888	0.101608082	-0.002728082
631.48	0.10545	0.101609363	0.003840637
631.52	0.10555	0.101610644	0.003939356
631.56	0.10759	0.101611925	0.005978075
631.6	0.11309	0.101613206	0.011476794
631.64	0.10652	0.101614487	0.004905513
631.68	0.10733	0.101615768	0.005714232
631.72	0.10952	0.101617049	0.007902951
631.76	0.11029	0.10161833	0.00867167
631.8	0.11029	0.10161961	0.00867039
631.84	0.1085	0.101620891	0.006879109
631.88	0.11487	0.101622172	0.013247828
631.92	0.11691	0.101623453	0.015286547
631.96	0.11288	0.101624734	0.011255266
632	0.11309	0.101626015	0.011463985
632.04	0.12154	0.101627296	0.019912704
632.08	0.12133	0.101628577	0.019701423
632.12	0.12072	0.101629858	0.019090142
632.16	0.1164	0.101631139	0.014768861
632.2	0.11879	0.10163242	0.01715758
632.24	0.12322	0.101633701	0.021586299
632.28	0.11614	0.101634982	0.014505018
632.32	0.12057	0.101636263	0.018933737
