	m	t	
f	1.44177E-05	0.0906813	
			
			
X in nm	Y Signal 	f	y-f
560.04	0.10102	0.098755789	0.002264211
560.08	0.09425	0.098756365	-0.004506365
560.12	0.09893	0.098756942	0.000173058
560.16	0.09695	0.098757519	-0.001807519
560.2	0.09603	0.098758096	-0.002728096
560.24	0.10163	0.098758672	0.002871328
560.28	0.10153	0.098759249	0.002770751
560.32	0.10153	0.098759826	0.002770174
560.36	0.0943	0.098760402	-0.004460402
560.4	0.09629	0.098760979	-0.002470979
560.44	0.10005	0.098761556	0.001288444
560.48	0.1001	0.098762132	0.001337868
560.52	0.10387	0.098762709	0.005107291
560.56	0.0971	0.098763286	-0.001663286
560.6	0.097	0.098763863	-0.001763863
560.64	0.09817	0.098764439	-0.000594439
560.68	0.0998	0.098765016	0.001034984
560.72	0.09613	0.098765593	-0.002635593
560.76	0.10474	0.098766169	0.005973831
560.8	0.09893	0.098766746	0.000163254
560.84	0.09537	0.098767323	-0.003397323
560.88	0.09522	0.0987679	-0.0035479
560.92	0.10092	0.098768476	0.002151524
560.96	0.09822	0.098769053	-0.000549053
561	0.09735	0.09876963	-0.00141963
561.04	0.09797	0.098770206	-0.000800206
561.08	0.09888	0.098770783	0.000109217
561.12	0.09608	0.09877136	-0.00269136
561.16	0.09613	0.098771937	-0.002641937
561.2	0.09338	0.098772513	-0.005392513
561.24	0.09878	0.09877309	6.91005E-06
561.28	0.09613	0.098773667	-0.002643667
561.32	0.0941	0.098774243	-0.004674243
561.36	0.09303	0.09877482	-0.00574482
561.4	0.09506	0.098775397	-0.003715397
561.44	0.09603	0.098775973	-0.002745973
561.48	0.09629	0.09877655	-0.00248655
561.52	0.0943	0.098777127	-0.004477127
561.56	0.09623	0.098777704	-0.002547704
561.6	0.09517	0.09877828	-0.00360828
561.64	0.10178	0.098778857	0.003001143
561.68	0.09827	0.098779434	-0.000509434
561.72	0.09613	0.09878001	-0.00265001
561.76	0.09598	0.098780587	-0.002800587
561.8	0.1056	0.098781164	0.006818836
561.84	0.09791	0.098781741	-0.000871741
561.88	0.09878	0.098782317	-2.31728E-06
561.92	0.10168	0.098782894	0.002897106
561.96	0.09695	0.098783471	-0.001833471
