	Depol					Pol			
	Wellenzahl	Fehler	Depolgrad	Fehler	Molekül	Wellenzahl	Fehler	Depolgrad	Fehler
1	226.81302	12.17657	0.71506	0.03060	CCL4	470.79390	11.79799	0.13697	0.00977
1	328.20926	12.01851	0.65197	0.02644	CCL4				
1	788.98154	11.31327	0.57931	0.08782	CCL4				
2	270.43067	12.10845	0.71714	0.03646	CHCl3	376.03099	11.94432	0.18789	0.02036
2	775.42194	11.33371	0.81230	0.18610	CHCl3	679.81517	11.47842	0.09584	0.02204
2	1223.12813	10.66832	0.63593	0.42873	CHCl3				
3	270.43067	12.10845	0.60629	0.03346	CDCl3				
3	748.22919	11.37478	0.67544	0.12724	CDCl3				
3	921.02674	11.11510	0.50822	0.30920	CDCl3				
4	165.82529	12.27214	0.52736	0.08632	CHBR3	231.67151	12.16897	0.16515	0.00697
4	666.05774	11.49932	0.70072	0.05087	CHBR3	550.43250	11.67571	0.11274	0.01388
