Waveleght	Intensity	Error
625.33	0.17632	0.00044
625.38	0.1752	0.00041
625.42	0.16706	0.00041
625.45	0.16695	0.00069
625.5	0.17551	0.00038
625.54	0.1694	0.00038
625.57	0.18752	0.00038
625.62	0.18197	0.00036
625.66	0.16884	0.00036
625.69	0.17332	0.00027
625.74	0.17444	0.00042
625.78	0.17454	0.00051
625.81	0.18192	0.00059
625.85	0.16899	0.00041
625.9	0.16614	0.00044
625.93	0.17215	0.00047
625.97	0.17042	0.00031
626.02	0.17138	0.00027
626.06	0.17149	0.00046
626.09	0.16777	0.00032
626.14	0.16777	0.00023
626.18	0.167	0.00047
626.21	0.17123	0.0005
626.26	0.16196	0.00061
626.3	0.16767	0.0002
626.33	0.16782	0.00036
626.38	0.17052	0.00047
626.42	0.15555	0.00046
626.45	0.17327	0.00044
626.5	0.17052	0.00057
626.54	0.17332	0.00042
626.57	0.17449	0.00044
626.62	0.17154	0.00041
626.66	0.17133	0.00032
626.69	0.17815	0.00047
626.74	0.1668	0.00048
626.78	0.17042	0.0005
626.81	0.16675	0.00046
626.85	0.16507	0.0006
626.9	0.16868	0.00038
626.93	0.16879	0.00032
626.97	0.1723	0.00036
627.02	0.17556	0.00023
627.06	0.17449	0.00031
627.09	0.16507	0.00023
627.14	0.17128	0.00036
627.18	0.1752	0.00065
627.21	0.1753	0.00055
627.26	0.17143	0.0005
627.3	0.17658	0.0004
627.33	0.16431	0.00038
627.38	0.1696	0.00034
627.42	0.17739	0.00036
627.45	0.17408	0.00034
627.5	0.17576	0.00033
627.54	0.17535	0.00036
627.57	0.17434	0.00053
627.62	0.1725	0.00056
627.66	0.17133	0.00039
627.69	0.17143	0.0005
627.74	0.17062	0.00047
627.78	0.16232	0.00046
627.81	0.16207	0.00031
627.85	0.17154	0.00052
627.9	0.16919	0.00031
627.93	0.17159	0.00034
627.97	0.16588	0.00033
628.02	0.16237	0.00041
628.06	0.1723	0.00042
628.09	0.16777	0.00032
628.14	0.16767	0.0002
628.18	0.1695	0.00025
628.21	0.1697	0.00031
628.26	0.17734	0.00044
628.3	0.17541	0.00056
628.33	0.16308	0.00044
628.38	0.17164	0.00047
628.42	0.17143	0.00055
628.45	0.16772	0.00053
628.5	0.16135	0.00041
628.54	0.15998	0.00046
628.57	0.16604	0.00034
628.62	0.16135	0.00025
628.66	0.164	0.00061
628.69	0.1642	0.00056
628.74	0.15809	0.00056
628.78	0.16609	0.00033
628.81	0.15641	0.00046
628.85	0.15367	0.00033
628.9	0.14908	0.00033
628.93	0.15927	0.00051
628.97	0.1499	0.00036
629.02	0.14974	0.00041
629.06	0.1499	0.00036
629.09	0.1443	0.00042
629.14	0.14318	0.00056
629.18	0.13859	0.0004
629.21	0.13941	0.00046
629.26	0.13386	0.00034
629.3	0.13391	0.00041
629.33	0.12724	0.00025
629.38	0.13218	0.00042
629.42	0.12358	0.0005
629.45	0.12729	0.00034
629.5	0.11696	0.00044
629.54	0.11298	0.00057
629.57	0.1083	0.00038
629.62	0.1082	0.00023
629.66	0.11782	0.00053
629.69	0.10937	0.00033
629.74	0.10937	0.00046
629.78	0.10825	0.00027
629.81	0.1053	0.00033
629.85	0.10637	0.00025
