Waveleght	Intensity	Error
585.43	0.09517	0.00047
585.48	0.09618	0.00047
585.52	0.09618	0.00047
585.56	0.10087	0.00034
585.6	0.08941	0.00048
585.64	0.10168	0.00055
585.68	0.09914	0.00055
585.72	0.0999	0.00023
585.76	0.09786	0.00046
585.8	0.09618	0.00034
585.84	0.09634	0.00051
585.88	0.09221	0.00034
585.92	0.097	0.00032
585.95	0.09522	0.00041
586.0	0.09893	0.00038
586.04	0.09323	0.00047
586.07	0.09226	0.00046
586.12	0.09221	0.00041
586.16	0.09517	0.00041
586.19	0.09608	0.00031
586.24	0.09618	0.00047
586.28	0.09435	0.0005
586.31	0.09695	0.00042
586.36	0.09598	0.00032
586.4	0.09613	0.0004
586.43	0.09303	0.00044
586.48	0.09695	0.00036
586.52	0.09343	0.00046
586.56	0.09629	0.00041
586.6	0.09511	0.00051
586.64	0.10346	0.00068
586.68	0.09425	0.00041
586.72	0.0943	0.00056
586.76	0.09893	0.00038
586.8	0.09527	0.00047
586.84	0.09741	0.00055
586.88	0.09618	0.00034
586.92	0.09715	0.00046
586.95	0.0942	0.00025
587.0	0.09425	0.00047
587.04	0.09995	0.00038
587.07	0.10178	0.00034
587.12	0.10077	0.00041
587.16	0.10026	0.00041
587.19	0.10458	0.00036
587.24	0.10087	0.00052
587.28	0.09613	0.00046
587.31	0.09613	0.00046
587.36	0.09781	0.00025
587.4	0.10632	0.00033
587.43	0.10097	0.00031
587.48	0.10453	0.00031
587.52	0.09888	0.00056
587.56	0.0942	0.00041
587.6	0.09435	0.00038
587.64	0.09909	0.00042
587.68	0.097	0.00039
587.72	0.10158	0.00068
587.76	0.10163	0.00053
587.8	0.09898	0.00058
587.84	0.09878	0.00041
587.88	0.09919	0.00065
587.92	0.10071	0.00033
587.95	0.09506	0.00038
588.0	0.09552	0.00042
588.04	0.10209	0.00039
588.07	0.097	0.00051
588.12	0.09201	0.00031
588.16	0.09588	0.00038
588.19	0.09583	0.00046
588.24	0.09791	0.00044
588.28	0.08941	0.00036
588.31	0.10209	0.00032
588.36	0.09893	0.00044
588.4	0.09242	0.00039
588.43	0.09995	0.00038
588.48	0.0999	0.00046
588.52	0.09995	0.00055
588.56	0.09807	0.00042
588.6	0.09909	0.00042
588.64	0.0972	0.00041
588.68	0.09715	0.0004
588.72	0.10066	0.00055
588.76	0.10082	0.00025
588.8	0.09236	0.00036
588.84	0.09618	0.00034
588.88	0.09511	0.00056
588.92	0.09608	0.00044
588.95	0.09527	0.00041
589.0	0.09501	0.00048
589.04	0.09623	0.00041
589.07	0.09629	0.00034
589.12	0.09552	0.00048
589.16	0.097	0.00032
589.19	0.08783	0.00032
589.24	0.09975	0.00025
589.28	0.09618	0.00034
589.31	0.09603	0.00036
589.36	0.09573	0.00025
589.4	0.09532	0.00051
589.43	0.10092	0.00023
589.48	0.09328	0.00033
589.52	0.09527	0.00047
589.56	0.09242	0.00039
589.6	0.09343	0.00046
589.64	0.09522	0.00047
589.68	0.09527	0.00034
589.72	0.09028	0.00055
589.76	0.09797	0.00036
589.8	0.09741	0.00044
589.84	0.0971	0.00044
589.88	0.09216	0.00041
589.92	0.1025	0.0005
589.95	0.1027	0.00055
590.0	0.09975	0.00041
590.04	0.097	0.00056
590.07	0.09929	0.00065
590.12	0.09975	0.00052
590.16	0.09924	0.00047
590.19	0.10265	0.00027
590.24	0.1029	0.00041
590.28	0.09715	0.00046
590.31	0.1027	0.00038
590.36	0.10163	0.00048
590.4	0.09715	0.00046
590.43	0.0999	0.0004
590.48	0.097	0.00039
590.52	0.10071	0.0004
590.56	0.10092	0.0004
590.6	0.09898	0.00062
590.64	0.10357	0.00027
590.68	0.09623	0.00034
590.72	0.09995	0.00044
590.76	0.09995	0.00064
590.8	0.10005	0.00032
590.84	0.0998	0.00047
590.88	0.09415	0.00034
590.92	0.09791	0.00031
590.95	0.10474	0.00031
591.0	0.10652	0.0004
591.04	0.10204	0.00042
591.07	0.10005	0.00039
591.12	0.09445	0.00258
591.16	0.09328	0.0004
591.19	0.09995	0.0005
591.24	0.09303	0.00038
591.28	0.09873	0.00041
591.31	0.09679	0.00034
591.36	0.0998	0.00041
591.4	0.09929	0.00057
591.43	0.09898	0.00027
591.48	0.09527	0.00034
591.52	0.09888	0.00046
591.56	0.09608	0.00055
591.6	0.09517	0.00041
591.64	0.09705	0.00042
591.68	0.09501	0.00062
591.72	0.09522	0.00061
591.76	0.09985	0.00034
591.8	0.10255	0.00036
591.84	0.10458	0.00048
591.88	0.09863	0.00059
591.92	0.0972	0.00041
591.95	0.09903	0.00056
592.0	0.09786	0.0004
592.04	0.09827	0.00034
592.07	0.10005	0.00056
592.12	0.10397	0.00046
592.16	0.10255	0.00036
592.19	0.09532	0.0004
592.24	0.09552	0.00036
592.28	0.09985	0.00041
592.31	0.09995	0.0005
592.36	0.10066	0.0002
592.4	0.09613	0.00056
592.43	0.09883	0.00047
592.48	0.09791	0.0005
592.52	0.09598	0.00039
592.56	0.09909	0.00048
592.6	0.09898	0.00027
592.64	0.0971	0.00031
592.68	0.09898	0.00042
592.72	0.09725	0.00034
592.76	0.09593	0.00027
592.8	0.10168	0.00044
592.84	0.09496	0.00039
592.88	0.09613	0.0004
592.92	0.09634	0.00033
592.95	0.0941	0.00046
593.0	0.09883	0.00041
593.04	0.09333	0.00044
593.07	0.10199	0.00044
593.12	0.09618	0.00034
593.16	0.10652	0.00046
593.19	0.10657	0.00038
593.24	0.09807	0.00027
593.28	0.09455	0.00059
593.31	0.09613	0.00023
593.36	0.10087	0.00034
593.4	0.09522	0.00041
593.43	0.09695	0.00027
593.48	0.09491	0.00036
593.52	0.09522	0.00041
593.56	0.09705	0.00048
593.6	0.10535	0.00041
593.64	0.09995	0.0005
593.68	0.09623	0.00034
593.72	0.09715	0.00046
593.76	0.09527	0.00034
593.8	0.09506	0.00038
593.84	0.10367	0.00042
593.88	0.10173	0.00033
593.92	0.09674	0.00041
593.95	0.10239	0.00041
594.0	0.09583	0.00046
594.04	0.0969	0.00031
594.07	0.0972	0.00041
594.12	0.0972	0.00047
594.16	0.10295	0.00051
594.19	0.10015	0.00031
