Raman-Spectrum _CCl4 _aspol001.dat
27/09/2021
11:37:54
_CCl4
_aspol0 Temp: NON
X in nm	Y Signal 	Error Signal				
625.04000	0.17632	0.00044
625.08000	0.17520	0.00041
625.12000	0.16706	0.00041
625.16000	0.16695	0.00069
625.20000	0.17551	0.00038
625.24000	0.16940	0.00038
625.28000	0.18752	0.00038
625.32000	0.18197	0.00036
625.36000	0.16884	0.00036
625.40000	0.17332	0.00027
625.44000	0.17444	0.00042
625.48000	0.17454	0.00051
625.52000	0.18192	0.00059
625.56000	0.16899	0.00041
625.60000	0.16614	0.00044
625.64000	0.17215	0.00047
625.68000	0.17042	0.00031
625.72000	0.17138	0.00027
625.76000	0.17149	0.00046
625.80000	0.16777	0.00032
625.84000	0.16777	0.00023
625.88000	0.16700	0.00047
625.92000	0.17123	0.00050
625.96000	0.16196	0.00061
626.00000	0.16767	0.00020
626.04000	0.16782	0.00036
626.08000	0.17052	0.00047
626.12000	0.15555	0.00046
626.16000	0.17327	0.00044
626.20000	0.17052	0.00057
626.24000	0.17332	0.00042
626.28000	0.17449	0.00044
626.32000	0.17154	0.00041
626.36000	0.17133	0.00032
626.40000	0.17815	0.00047
626.44000	0.16680	0.00048
626.48000	0.17042	0.00050
626.52000	0.16675	0.00046
626.56000	0.16507	0.00060
626.60000	0.16868	0.00038
626.64000	0.16879	0.00032
626.68000	0.17230	0.00036
626.72000	0.17556	0.00023
626.76000	0.17449	0.00031
626.80000	0.16507	0.00023
626.84000	0.17128	0.00036
626.88000	0.17520	0.00065
626.92000	0.17530	0.00055
626.96000	0.17143	0.00050
627.00000	0.17658	0.00040
627.04000	0.16431	0.00038
627.08000	0.16960	0.00034
627.12000	0.17739	0.00036
627.16000	0.17408	0.00034
627.20000	0.17576	0.00033
627.24000	0.17535	0.00036
627.28000	0.17434	0.00053
627.32000	0.17250	0.00056
627.36000	0.17133	0.00039
627.40000	0.17143	0.00050
627.44000	0.17062	0.00047
627.48000	0.16232	0.00046
627.52000	0.16207	0.00031
627.56000	0.17154	0.00052
627.60000	0.16919	0.00031
627.64000	0.17159	0.00034
627.68000	0.16588	0.00033
627.72000	0.16237	0.00041
627.76000	0.17230	0.00042
627.80000	0.16777	0.00032
627.84000	0.16767	0.00020
627.88000	0.16950	0.00025
627.92000	0.16970	0.00031
627.96000	0.17734	0.00044
628.00000	0.17541	0.00056
628.04000	0.16308	0.00044
628.08000	0.17164	0.00047
628.12000	0.17143	0.00055
628.16000	0.16772	0.00053
628.20000	0.16135	0.00041
628.24000	0.15998	0.00046
628.28000	0.16604	0.00034
628.32000	0.16135	0.00025
628.36000	0.16400	0.00061
628.40000	0.16420	0.00056
628.44000	0.15809	0.00056
628.48000	0.16609	0.00033
628.52000	0.15641	0.00046
628.56000	0.15367	0.00033
628.60000	0.14908	0.00033
628.64000	0.15927	0.00051
628.68000	0.14990	0.00036
628.72000	0.14974	0.00041
628.76000	0.14990	0.00036
628.80000	0.14430	0.00042
628.84000	0.14318	0.00056
628.88000	0.13859	0.00040
628.92000	0.13941	0.00046
628.96000	0.13386	0.00034
629.00000	0.13391	0.00041
629.04000	0.12724	0.00025
629.08000	0.13218	0.00042
629.12000	0.12358	0.00050
629.16000	0.12729	0.00034
629.20000	0.11696	0.00044
629.24000	0.11298	0.00057
629.28000	0.10830	0.00038
629.32000	0.10820	0.00023
629.36000	0.11782	0.00053
629.40000	0.10937	0.00033
629.44000	0.10937	0.00046
629.48000	0.10825	0.00027
629.52000	0.10530	0.00033
629.56000	0.10637	0.00025
629.60000	0.10647	0.00047
629.64000	0.09919	0.00040
629.68000	0.10097	0.00038
629.72000	0.10275	0.00023
629.76000	0.10642	0.00025
629.80000	0.09797	0.00042
629.84000	0.09909	0.00048
629.88000	0.09883	0.00047
629.92000	0.09914	0.00038
629.96000	0.09557	0.00038
630.00000	0.10458	0.00042
630.04000	0.09328	0.00033
630.08000	0.09323	0.00052
630.12000	0.09613	0.00033
630.16000	0.09674	0.00025
630.20000	0.09695	0.00042
630.24000	0.09618	0.00025
630.28000	0.09797	0.00042
630.32000	0.10183	0.00047
630.36000	0.09730	0.00047
630.40000	0.09603	0.00042
630.44000	0.09903	0.00039
630.48000	0.09888	0.00033
630.52000	0.09608	0.00038
630.56000	0.09878	0.00061
630.60000	0.09802	0.00072
630.64000	0.10092	0.00056
630.68000	0.09730	0.00041
630.72000	0.09705	0.00015
630.76000	0.09695	0.00048
630.80000	0.09328	0.00056
630.84000	0.09252	0.00044
630.88000	0.09399	0.00036
630.92000	0.09522	0.00057
