Raman-Spectrum _CCl4 _spol001.dat
27/09/2021
11:20:01
_CCl4
_spol0 Temp: NON
X in nm	Y Signal 	Error Signal				
585.04000	0.09517	0.00047
585.08000	0.09618	0.00047
585.12000	0.09618	0.00047
585.16000	0.10087	0.00034
585.20000	0.08941	0.00048
585.24000	0.10168	0.00055
585.28000	0.09914	0.00055
585.32000	0.09990	0.00023
585.36000	0.09786	0.00046
585.40000	0.09618	0.00034
585.44000	0.09634	0.00051
585.48000	0.09221	0.00034
585.52000	0.09700	0.00032
585.56000	0.09522	0.00041
585.60000	0.09893	0.00038
585.64000	0.09323	0.00047
585.68000	0.09226	0.00046
585.72000	0.09221	0.00041
585.76000	0.09517	0.00041
585.80000	0.09608	0.00031
585.84000	0.09618	0.00047
585.88000	0.09435	0.00050
585.92000	0.09695	0.00042
585.96000	0.09598	0.00032
586.00000	0.09613	0.00040
586.04000	0.09303	0.00044
586.08000	0.09695	0.00036
586.12000	0.09343	0.00046
586.16000	0.09629	0.00041
586.20000	0.09511	0.00051
586.24000	0.10346	0.00068
586.28000	0.09425	0.00041
586.32000	0.09430	0.00056
586.36000	0.09893	0.00038
586.40000	0.09527	0.00047
586.44000	0.09741	0.00055
586.48000	0.09618	0.00034
586.52000	0.09715	0.00046
586.56000	0.09420	0.00025
586.60000	0.09425	0.00047
586.64000	0.09995	0.00038
586.68000	0.10178	0.00034
586.72000	0.10077	0.00041
586.76000	0.10026	0.00041
586.80000	0.10458	0.00036
586.84000	0.10087	0.00052
586.88000	0.09613	0.00046
586.92000	0.09613	0.00046
586.96000	0.09781	0.00025
587.00000	0.10632	0.00033
587.04000	0.10097	0.00031
587.08000	0.10453	0.00031
587.12000	0.09888	0.00056
587.16000	0.09420	0.00041
587.20000	0.09435	0.00038
587.24000	0.09909	0.00042
587.28000	0.09700	0.00039
587.32000	0.10158	0.00068
587.36000	0.10163	0.00053
587.40000	0.09898	0.00058
587.44000	0.09878	0.00041
587.48000	0.09919	0.00065
587.52000	0.10071	0.00033
587.56000	0.09506	0.00038
587.60000	0.09552	0.00042
587.64000	0.10209	0.00039
587.68000	0.09700	0.00051
587.72000	0.09201	0.00031
587.76000	0.09588	0.00038
587.80000	0.09583	0.00046
587.84000	0.09791	0.00044
587.88000	0.08941	0.00036
587.92000	0.10209	0.00032
587.96000	0.09893	0.00044
588.00000	0.09242	0.00039
588.04000	0.09995	0.00038
588.08000	0.09990	0.00046
588.12000	0.09995	0.00055
588.16000	0.09807	0.00042
588.20000	0.09909	0.00042
588.24000	0.09720	0.00041
588.28000	0.09715	0.00040
588.32000	0.10066	0.00055
588.36000	0.10082	0.00025
588.40000	0.09236	0.00036
588.44000	0.09618	0.00034
588.48000	0.09511	0.00056
588.52000	0.09608	0.00044
588.56000	0.09527	0.00041
588.60000	0.09501	0.00048
588.64000	0.09623	0.00041
588.68000	0.09629	0.00034
588.72000	0.09552	0.00048
588.76000	0.09700	0.00032
588.80000	0.08783	0.00032
588.84000	0.09975	0.00025
588.88000	0.09618	0.00034
588.92000	0.09603	0.00036
588.96000	0.09573	0.00025
589.00000	0.09532	0.00051
589.04000	0.10092	0.00023
589.08000	0.09328	0.00033
589.12000	0.09527	0.00047
589.16000	0.09242	0.00039
589.20000	0.09343	0.00046
589.24000	0.09522	0.00047
589.28000	0.09527	0.00034
589.32000	0.09028	0.00055
589.36000	0.09797	0.00036
589.40000	0.09741	0.00044
589.44000	0.09710	0.00044
589.48000	0.09216	0.00041
589.52000	0.10250	0.00050
589.56000	0.10270	0.00055
589.60000	0.09975	0.00041
589.64000	0.09700	0.00056
589.68000	0.09929	0.00065
589.72000	0.09975	0.00052
589.76000	0.09924	0.00047
589.80000	0.10265	0.00027
589.84000	0.10290	0.00041
589.88000	0.09715	0.00046
589.92000	0.10270	0.00038
589.96000	0.10163	0.00048
590.00000	0.09715	0.00046
590.04000	0.09990	0.00040
590.08000	0.09700	0.00039
590.12000	0.10071	0.00040
590.16000	0.10092	0.00040
590.20000	0.09898	0.00062
590.24000	0.10357	0.00027
590.28000	0.09623	0.00034
590.32000	0.09995	0.00044
590.36000	0.09995	0.00064
590.40000	0.10005	0.00032
590.44000	0.09980	0.00047
590.48000	0.09415	0.00034
590.52000	0.09791	0.00031
590.56000	0.10474	0.00031
590.60000	0.10652	0.00040
590.64000	0.10204	0.00042
590.68000	0.10005	0.00039
590.72000	0.09445	0.00258
590.76000	0.09328	0.00040
590.80000	0.09995	0.00050
590.84000	0.09303	0.00038
590.88000	0.09873	0.00041
590.92000	0.09679	0.00034
590.96000	0.09980	0.00041
591.00000	0.09929	0.00057
591.04000	0.09898	0.00027
591.08000	0.09527	0.00034
591.12000	0.09888	0.00046
591.16000	0.09608	0.00055
591.20000	0.09517	0.00041
591.24000	0.09705	0.00042
591.28000	0.09501	0.00062
591.32000	0.09522	0.00061
591.36000	0.09985	0.00034
591.40000	0.10255	0.00036
591.44000	0.10458	0.00048
591.48000	0.09863	0.00059
591.52000	0.09720	0.00041
591.56000	0.09903	0.00056
591.60000	0.09786	0.00040
591.64000	0.09827	0.00034
591.68000	0.10005	0.00056
591.72000	0.10397	0.00046
591.76000	0.10255	0.00036
591.80000	0.09532	0.00040
591.84000	0.09552	0.00036
591.88000	0.09985	0.00041
591.92000	0.09995	0.00050
591.96000	0.10066	0.00020
592.00000	0.09613	0.00056
592.04000	0.09883	0.00047
592.08000	0.09791	0.00050
592.12000	0.09598	0.00039
592.16000	0.09909	0.00048
592.20000	0.09898	0.00027
592.24000	0.09710	0.00031
592.28000	0.09898	0.00042
592.32000	0.09725	0.00034
592.36000	0.09593	0.00027
592.40000	0.10168	0.00044
592.44000	0.09496	0.00039
592.48000	0.09613	0.00040
592.52000	0.09634	0.00033
592.56000	0.09410	0.00046
592.60000	0.09883	0.00041
592.64000	0.09333	0.00044
592.68000	0.10199	0.00044
592.72000	0.09618	0.00034
592.76000	0.10652	0.00046
592.80000	0.10657	0.00038
592.84000	0.09807	0.00027
592.88000	0.09455	0.00059
592.92000	0.09613	0.00023
592.96000	0.10087	0.00034
593.00000	0.09522	0.00041
593.04000	0.09695	0.00027
593.08000	0.09491	0.00036
593.12000	0.09522	0.00041
593.16000	0.09705	0.00048
593.20000	0.10535	0.00041
593.24000	0.09995	0.00050
593.28000	0.09623	0.00034
593.32000	0.09715	0.00046
593.36000	0.09527	0.00034
593.40000	0.09506	0.00038
593.44000	0.10367	0.00042
593.48000	0.10173	0.00033
593.52000	0.09674	0.00041
593.56000	0.10239	0.00041
593.60000	0.09583	0.00046
593.64000	0.09690	0.00031
593.68000	0.09720	0.00041
593.72000	0.09720	0.00047
593.76000	0.10295	0.00051
593.80000	0.10015	0.00031
593.84000	0.10000	0.00036
593.88000	0.10010	0.00036
593.92000	0.10015	0.00038
593.96000	0.10255	0.00048
594.00000	0.10260	0.00046
594.04000	0.10000	0.00036
594.08000	0.09705	0.00048
594.12000	0.09506	0.00020
594.16000	0.09985	0.00034
594.20000	0.09425	0.00047
594.24000	0.10204	0.00053
594.28000	0.10214	0.00015
594.32000	0.09623	0.00041
594.36000	0.10214	0.00042
594.40000	0.09975	0.00041
594.44000	0.09705	0.00042
594.48000	0.09705	0.00042
594.52000	0.09685	0.00060
594.56000	0.09730	0.00047
594.60000	0.10438	0.00034
594.64000	0.09226	0.00056
594.68000	0.09883	0.00041
594.72000	0.09797	0.00015
594.76000	0.09903	0.00064
594.80000	0.10168	0.00044
594.84000	0.09893	0.00038
594.88000	0.09909	0.00027
594.92000	0.09705	0.00036
594.96000	0.09807	0.00027
595.00000	0.09695	0.00053
595.04000	0.09827	0.00034
595.08000	0.09980	0.00041
595.12000	0.09990	0.00046
595.16000	0.09990	0.00040
595.20000	0.09883	0.00052
595.24000	0.10285	0.00047
595.28000	0.10189	0.00041
595.32000	0.10469	0.00062
595.36000	0.10010	0.00027
595.40000	0.10107	0.00039
595.44000	0.09603	0.00036
595.48000	0.09593	0.00058
595.52000	0.10545	0.00065
595.56000	0.09898	0.00053
595.60000	0.09919	0.00060
595.64000	0.09985	0.00057
595.68000	0.09328	0.00046
595.72000	0.10438	0.00034
595.76000	0.10469	0.00036
595.80000	0.10015	0.00038
595.84000	0.10295	0.00033
595.88000	0.10173	0.00033
595.92000	0.09354	0.00044
595.96000	0.09797	0.00048
596.00000	0.09303	0.00038
596.04000	0.09348	0.00053
596.08000	0.09705	0.00036
596.12000	0.10260	1.38778E-17
596.16000	0.09786	0.00023
596.20000	0.10066	0.00031
596.24000	0.10005	0.00051
596.28000	0.10453	0.00038
596.32000	0.10555	0.00044
596.36000	0.10555	0.00050
596.40000	0.10189	0.00025
596.44000	0.10301	0.00038
596.48000	0.09909	0.00053
596.52000	0.10194	0.00040
596.56000	0.10158	0.00039
596.60000	0.10367	0.00042
596.64000	0.10367	0.00015
596.68000	0.09893	0.00055
596.72000	0.10071	0.00033
596.76000	0.09903	0.00046
596.80000	0.10189	0.00034
596.84000	0.09786	0.00051
596.88000	0.10005	0.00051
596.92000	0.09975	0.00047
596.96000	0.10560	0.00048
597.00000	0.10555	0.00044
597.04000	0.10194	0.00033
597.08000	0.10102	0.00066
597.12000	0.09985	0.00041
597.16000	0.10163	0.00042
597.20000	0.09802	0.00051
597.24000	0.09771	0.00052
597.28000	0.10021	0.00046
597.32000	0.10250	0.00050
597.36000	0.10199	0.00044
597.40000	0.10301	0.00055
597.44000	0.10917	0.00053
597.48000	0.10453	0.00031
597.52000	0.10458	0.00036
597.56000	0.10917	0.00058
597.60000	0.10550	0.00051
597.64000	0.09975	0.00034
597.68000	0.10275	0.00033
597.72000	0.10275	0.00023
597.76000	0.09990	0.00046
597.80000	0.09511	0.00033
597.84000	0.09511	0.00046
597.88000	0.10448	0.00056
597.92000	0.09919	0.00040
597.96000	0.10290	0.00041
598.00000	0.09893	0.00064
598.04000	0.10189	0.00052
598.08000	0.10082	0.00025
598.12000	0.10082	0.00041
598.16000	0.10209	0.00032
598.20000	0.09893	0.00050
598.24000	0.10189	0.00047
598.28000	0.10082	0.00034
598.32000	0.10372	0.00038
598.36000	0.10005	0.00032
598.40000	0.09995	0.00038
598.44000	0.10479	0.00046
598.48000	0.09705	0.00036
598.52000	0.10189	0.00041
598.56000	0.09893	0.00050
598.60000	0.09781	0.00034
598.64000	0.10387	0.00041
598.68000	0.10453	0.00031
598.72000	0.10458	0.00027
598.76000	0.10173	0.00033
598.80000	0.10448	0.00046
598.84000	0.10301	0.00044
598.88000	0.10290	0.00065
598.92000	0.10189	0.00034
598.96000	0.10173	0.00051
599.00000	0.10189	0.00057
599.04000	0.10357	0.00042
599.08000	0.10097	0.00044
599.12000	0.10637	0.00034
599.16000	0.10362	0.00039
599.20000	0.10082	0.00047
599.24000	0.10448	0.00033
599.28000	0.10199	0.00044
599.32000	0.10168	0.00038
599.36000	0.10718	0.00039
599.40000	0.10178	0.00041
599.44000	0.10285	0.00057
599.48000	0.10749	0.00047
599.52000	0.10759	0.00031
599.56000	0.10469	0.00036
599.60000	0.10458	0.00027
599.64000	0.10265	0.00036
599.68000	0.10092	0.00046
599.72000	0.10560	0.00042
599.76000	0.10443	0.00041
599.80000	0.10082	0.00034
599.84000	0.10906	0.00046
599.88000	0.10942	0.00057
599.92000	0.10285	0.00041
599.96000	0.11130	0.00048
600.00000	0.10010	0.00042
600.04000	0.11054	0.00034
600.08000	0.10275	0.00040
600.12000	0.10153	0.00048
600.16000	0.10820	0.00023
600.20000	0.10835	0.00033
600.24000	0.09517	0.00041
600.28000	0.10850	0.00041
600.32000	0.10723	0.00066
600.36000	0.10260	0.00056
600.40000	0.10265	0.00042
600.44000	0.10117	0.00044
600.48000	0.10066	0.00050
600.52000	0.10275	0.00046
600.56000	0.10733	0.00065
600.60000	0.10540	0.00034
600.64000	0.09720	0.00034
600.68000	0.10367	0.00027
600.72000	0.10550	0.00056
600.76000	0.10560	0.00042
600.80000	0.10744	0.00034
600.84000	0.10372	0.00044
600.88000	0.10285	0.00025
600.92000	0.10458	0.00036
600.96000	0.10637	0.00034
601.00000	0.10438	0.00057
601.04000	0.09898	0.00048
601.08000	0.09919	0.00065
601.12000	0.10275	0.00040
601.16000	0.10570	0.00048
601.20000	0.10840	0.00025
601.24000	0.10744	0.00041
601.28000	0.10555	0.00038
601.32000	0.10718	0.00032
601.36000	0.10723	0.00053
601.40000	0.10458	0.00048
601.44000	0.10285	0.00047
601.48000	0.11115	0.00059
601.52000	0.10550	0.00040
601.56000	0.10469	0.00036
601.60000	0.10178	0.00041
601.64000	0.10830	0.00031
601.68000	0.10845	0.00025
601.72000	0.10362	0.00051
601.76000	0.10626	0.00031
601.80000	0.10382	0.00041
601.84000	0.10377	0.00033
601.88000	0.10830	0.00031
601.92000	0.10738	0.00052
601.96000	0.10733	0.00056
602.00000	0.11237	0.00050
602.04000	0.10835	0.00033
602.08000	0.11222	0.00015
602.12000	0.11013	0.00038
602.16000	0.10723	0.00036
602.20000	0.10652	0.00040
602.24000	0.10637	0.00025
602.28000	0.11105	0.00025
602.32000	0.10637	0.00034
602.36000	0.10815	0.00036
602.40000	0.10932	0.00038
602.44000	0.10464	0.00051
602.48000	0.10764	0.00048
602.52000	0.10555	0.00059
602.56000	0.10550	0.00051
602.60000	0.10560	0.00048
602.64000	0.10835	0.00040
602.68000	0.11482	0.00032
602.72000	0.10738	0.00034
602.76000	0.11008	0.00033
602.80000	0.10749	0.00041
602.84000	0.10759	0.00038
602.88000	0.10071	0.00040
602.92000	0.10458	0.00036
602.96000	0.11416	0.00023
603.00000	0.11416	0.00023
603.04000	0.11100	0.00047
603.08000	0.10560	0.00036
603.12000	0.10555	0.00055
603.16000	0.10952	0.00041
603.20000	0.11304	0.00047
603.24000	0.11192	0.00046
603.28000	0.10448	0.00033
603.32000	0.10362	0.00051
603.36000	0.11273	0.00027
603.40000	0.11034	0.00044
603.44000	0.11018	0.00042
603.48000	0.11619	0.00056
603.52000	0.11604	0.00041
603.56000	0.11502	0.00041
603.60000	0.10952	0.00034
603.64000	0.11105	0.00047
603.68000	0.11136	0.00038
603.72000	0.11125	0.00039
603.76000	0.11288	0.00031
603.80000	0.10917	0.00053
603.84000	0.11024	0.00039
603.88000	0.11100	0.00034
603.92000	0.11314	0.00056
603.96000	0.10906	0.00040
604.00000	0.11604	0.00052
604.04000	0.11594	0.00031
604.08000	0.11136	0.00064
604.12000	0.11237	0.00031
604.16000	0.11125	0.00051
604.20000	0.10458	0.00027
604.24000	0.11217	0.00050
604.28000	0.10927	0.00036
604.32000	0.10912	0.00044
604.36000	0.11492	0.00044
604.40000	0.11105	0.00034
604.44000	0.10362	0.00039
604.48000	0.11186	0.00044
604.52000	0.10942	0.00034
604.56000	0.11405	0.00041
604.60000	0.11416	0.00023
604.64000	0.11024	0.00060
604.68000	0.11029	0.00036
604.72000	0.10744	0.00047
604.76000	0.10642	0.00025
604.80000	0.10525	0.00031
604.84000	0.11074	0.00051
604.88000	0.11100	0.00047
604.92000	0.11115	0.00044
604.96000	0.10367	0.00036
605.00000	0.10652	0.00023
605.04000	0.10738	0.00065
605.08000	0.10932	0.00020
605.12000	0.10545	0.00034
605.16000	0.11018	0.00027
605.20000	0.11008	0.00040
605.24000	0.10703	0.00060
605.28000	0.11329	0.00046
605.32000	0.10723	0.00058
605.36000	0.11202	0.00025
605.40000	0.11385	0.00042
605.44000	0.11298	0.00065
605.48000	0.11232	0.00027
605.52000	0.11192	0.00040
605.56000	0.10947	0.00065
605.60000	0.10749	0.00065
605.64000	0.10937	0.00065
605.68000	0.11507	0.00034
605.72000	0.11100	0.00041
605.76000	0.11375	0.00036
605.80000	0.11405	0.00047
605.84000	0.11110	0.00051
605.88000	0.10927	0.00042
605.92000	0.10438	0.00025
605.96000	0.11217	0.00050
606.00000	0.10810	0.00031
606.04000	0.11207	0.00034
606.08000	0.11197	0.00025
606.12000	0.11288	0.00031
606.16000	0.11298	0.00041
606.20000	0.10825	0.00042
606.24000	0.11517	0.00056
606.28000	0.11008	0.00056
606.32000	0.11293	0.00040
606.36000	0.11115	0.00038
606.40000	0.11095	0.00047
606.44000	0.11217	0.00020
606.48000	0.11212	0.00040
606.52000	0.11390	0.00050
606.56000	0.11502	0.00034
606.60000	0.11416	0.00023
606.64000	0.11599	0.00040
606.68000	0.11604	0.00034
606.72000	0.11314	0.00033
606.76000	0.11293	0.00046
606.80000	0.10840	0.00041
606.84000	0.11512	0.00052
606.88000	0.11212	0.00033
606.92000	0.11390	0.00044
606.96000	0.11405	0.00034
607.00000	0.11792	0.00048
607.04000	0.11390	0.00055
607.08000	0.11874	0.00051
607.12000	0.11400	0.00034
607.16000	0.11120	0.00066
607.20000	0.11288	0.00031
607.24000	0.11207	0.00025
607.28000	0.11222	0.00036
607.32000	0.12240	0.00027
607.36000	0.12133	0.00044
607.40000	0.10652	0.00033
607.44000	0.11411	0.00047
607.48000	0.11772	0.00056
607.52000	0.11385	0.00036
607.56000	0.11411	0.00034
607.60000	0.11039	0.00046
607.64000	0.11609	0.00025
607.68000	0.11589	0.00042
607.72000	0.11706	0.00047
607.76000	0.12449	0.00032
607.80000	0.11421	0.00020
607.84000	0.11492	0.00031
607.88000	0.11482	0.00051
607.92000	0.11202	0.00041
607.96000	0.11660	0.00034
608.00000	0.11899	0.00044
608.04000	0.11803	0.00040
608.08000	0.12235	0.00031
608.12000	0.11523	0.00020
608.16000	0.11487	0.00042
608.20000	0.11701	0.00040
608.24000	0.11482	0.00046
608.28000	0.11502	0.00047
608.32000	0.11767	0.00057
608.36000	0.12174	0.00041
608.40000	0.12617	0.00040
608.44000	0.12643	0.00044
608.48000	0.11390	0.00050
608.52000	0.11298	0.00034
608.56000	0.11283	0.00042
608.60000	0.11482	0.00032
608.64000	0.11507	0.00034
608.68000	0.11813	0.00041
608.72000	0.11497	0.00040
608.76000	0.11461	0.00052
608.80000	0.12811	0.00042
608.84000	0.11512	0.00061
608.88000	0.12072	0.00025
608.92000	0.11869	0.00034
608.96000	0.12235	0.00071
609.00000	0.11680	0.00036
609.04000	0.11685	0.00032
609.08000	0.11696	0.00044
609.12000	0.12067	0.00052
609.16000	0.12439	0.00044
609.20000	0.12067	0.00025
609.24000	0.12077	0.00046
609.28000	0.11619	0.00040
609.32000	0.11589	0.00048
609.36000	0.11777	0.00050
609.40000	0.11971	0.00034
609.44000	0.11950	0.00038
609.48000	0.11955	0.00040
609.52000	0.11298	0.00034
609.56000	0.11803	0.00060
609.60000	0.12526	0.00041
609.64000	0.12531	0.00041
609.68000	0.11273	0.00042
609.72000	0.12077	0.00046
609.76000	0.11685	1.38778E-17
609.80000	0.12368	0.00034
609.84000	0.11217	0.00038
609.88000	0.12164	0.00034
609.92000	0.12164	0.00052
609.96000	0.12444	0.00048
610.00000	0.12062	0.00047
610.04000	0.12251	0.00015
610.08000	0.12164	0.00034
610.12000	0.12067	0.00025
610.16000	0.11039	0.00040
610.20000	0.11421	0.00031
610.24000	0.11416	0.00023
610.28000	0.12531	0.00065
610.32000	0.12352	0.00036
610.36000	0.11772	0.00040
610.40000	0.11971	0.00034
610.44000	0.11945	0.00036
610.48000	0.11502	0.00034
610.52000	0.11492	0.00031
610.56000	0.11874	0.00033
610.60000	0.11594	0.00059
610.64000	0.12632	0.00034
610.68000	0.12444	0.00048
610.72000	0.11879	0.00044
610.76000	0.13198	0.00046
610.80000	0.13228	0.00046
610.84000	0.12734	0.00047
610.88000	0.12912	0.00048
610.92000	0.13391	0.00034
610.96000	0.11950	0.00031
