Waveleght	Intensity	Error
625.43	0.09058	0.00052
625.48	0.08478	0.00039
625.52	0.08768	0.00023
625.56	0.08575	0.00042
625.6	0.08656	0.00041
625.64	0.08676	0.00062
625.68	0.09226	0.0004
625.72	0.08656	0.00034
625.76	0.08391	0.00023
625.8	0.08585	0.00036
625.84	0.08519	0.00044
625.88	0.08325	0.00032
625.92	0.083	0.00047
625.95	0.08676	0.00048
626.0	0.09043	0.00036
626.04	0.08458	0.00052
626.07	0.08921	0.0004
626.12	0.08575	0.00036
626.16	0.08671	0.00044
626.19	0.07999	0.00041
626.24	0.07999	0.00041
626.28	0.08442	0.0004
626.31	0.08768	0.0004
626.36	0.08514	0.00051
626.4	0.0803	0.00038
626.43	0.08473	0.00036
626.48	0.0858	0.00056
626.52	0.08595	0.00033
626.56	0.08855	0.00047
626.6	0.08488	0.00059
626.64	0.08177	0.00042
626.68	0.08295	0.00057
626.72	0.08758	0.00041
626.76	0.08676	0.00048
626.8	0.08676	0.00062
626.84	0.09247	0.00027
626.88	0.08564	0.00033
626.92	0.0885	0.00051
626.95	0.08493	0.0004
627.0	0.08661	0.00052
627.04	0.09068	0.00041
627.07	0.09063	0.00041
627.12	0.09033	0.00036
627.16	0.08458	0.00025
627.19	0.08829	0.00027
627.24	0.08743	0.00044
627.28	0.08936	0.00039
627.31	0.0942	0.00025
627.36	0.09038	0.00046
627.4	0.09053	0.00056
627.43	0.08844	0.00044
627.48	0.08687	0.00053
627.52	0.09058	0.00041
627.56	0.08687	0.00042
627.6	0.08844	0.00038
627.64	0.09221	0.00025
627.68	0.09236	0.00042
627.72	0.08753	0.00034
627.76	0.09033	0.00048
627.8	0.0886	0.00041
627.84	0.09119	0.00061
627.88	0.09333	0.00055
627.92	0.09236	0.00036
627.95	0.09058	0.00052
628.0	0.09074	0.00056
628.04	0.09425	0.00034
628.07	0.0916	0.00034
628.12	0.09639	0.00031
628.16	0.09399	0.00036
628.19	0.09231	0.0005
628.24	0.10015	0.00031
628.28	0.09985	0.00041
628.31	0.09517	0.00047
628.36	0.09496	0.00056
628.4	0.09333	0.0005
628.43	0.09257	0.00033
628.48	0.09924	0.00034
628.52	0.09461	0.0004
628.56	0.09995	0.0005
628.6	0.09995	0.00031
628.64	0.10158	0.00046
628.68	0.09919	0.00046
628.72	0.09608	0.00031
628.76	0.09618	0.00025
628.8	0.09634	0.00051
628.84	0.1029	0.00025
628.88	0.10321	0.00059
628.92	0.1028	0.00034
628.95	0.10178	0.00025
629.0	0.10275	0.00046
629.04	0.09817	0.0004
629.07	0.09715	0.00033
629.12	0.09995	0.00031
629.16	0.1001	0.00027
629.19	0.0971	0.00055
629.24	0.09797	0.00015
629.28	0.09608	0.0002
629.31	0.09359	0.0004
629.36	0.09608	0.00038
629.4	0.09608	0.00044
629.43	0.0941	0.00023
629.48	0.09415	0.00034
629.52	0.09242	0.00051
629.56	0.09705	0.00042
629.6	0.09629	0.00057
629.64	0.09155	0.00046
629.68	0.0941	0.00023
629.72	0.09822	0.00041
629.76	0.09807	0.00053
629.8	0.09328	0.0004
629.84	0.09058	0.00057
629.88	0.0859	0.00038
629.92	0.09165	0.00025
629.95	0.08844	0.00031
630.0	0.0858	0.00056
630.04	0.08595	0.00056
630.07	0.08768	0.00033
630.12	0.08946	0.00038
630.16	0.0859	0.00038
630.19	0.0859	0.00038
630.24	0.08412	0.0006
630.28	0.08575	0.00036
630.31	0.08468	0.00038
630.36	0.08478	0.00032
630.4	0.0859	0.00055
630.43	0.0885	0.0004
630.48	0.08666	0.0004
630.52	0.08295	0.00041
630.56	0.08687	0.00053
630.6	0.08687	0.00036
630.64	0.08666	0.0004
630.68	0.0886	0.00041
630.72	0.08289	0.0004
630.76	0.08009	0.00031
630.8	0.08289	0.00046
630.84	0.08656	0.00025
630.88	0.08972	0.0004
630.92	0.07877	0.00038
630.95	0.07897	0.00052
631.0	0.08514	0.00046
631.04	0.08488	0.0005
631.07	0.08676	0.00058
631.12	0.08478	0.00032
631.16	0.07831	0.00023
631.19	0.08687	0.00053
631.24	0.08651	0.00034
631.28	0.08264	0.00064
631.31	0.08855	0.00034
631.36	0.08575	0.00048
631.4	0.08177	0.00053
631.43	0.09145	0.00036
631.48	0.08289	0.0006
631.52	0.083	0.00041
631.56	0.08106	0.00033
631.6	0.08773	0.00031
631.64	0.08697	0.00033
631.68	0.08381	0.00036
631.72	0.08605	0.00034
631.76	0.09043	0.00036
631.8	0.0915	0.00044
631.84	0.0915	0.00044
631.88	0.08564	0.0004
631.92	0.09527	0.00052
631.95	0.08564	0.00051
632.0	0.0914	0.00039
632.04	0.08941	0.00036
632.07	0.09501	0.00027
632.12	0.09532	0.00033
632.16	0.09348	0.00053
632.19	0.09613	0.00046
632.24	0.09914	0.00044
632.28	0.09425	0.00052
632.31	0.09155	0.0004
632.36	0.10469	0.00036
632.4	0.10448	0.00046
632.43	0.10749	0.00034
632.48	0.10362	0.00039
632.52	0.10178	0.00041
632.56	0.10545	0.00034
632.6	0.10082	0.00041
