Waveleght	Intensity	Error
570.64	0.09313	0.00052
570.68	0.09135	0.00036
570.72	0.09613	0.00033
570.76	0.09506	0.0005
570.80	0.08931	0.00048
570.84	0.09216	0.00041
570.88	0.10005	0.00039
570.92	0.09995	0.00038
570.96	0.0944	0.00058
571.0	0.09343	0.00039
571.04	0.09338	0.00027
571.08	0.09496	0.00032
571.12	0.08972	0.0004
571.16	0.09425	0.00047
571.2	0.0945	0.00027
571.24	0.09613	0.00051
571.28	0.09481	0.00033
571.32	0.09685	0.00033
571.36	0.09532	0.00051
571.4	0.09318	0.00069
571.44	0.09771	0.00034
571.48	0.09807	0.00042
571.52	0.10087	0.00025
571.56	0.09623	0.00034
571.6	0.09532	0.00033
571.64	0.10275	0.0004
571.68	0.09623	0.00034
571.72	0.09537	0.00064
571.76	0.09791	0.0005
571.80	0.09797	0.00036
571.84	0.09415	0.00041
571.88	0.10092	0.00023
571.92	0.09903	0.00051
571.96	0.09903	0.00051
572.0	0.1028	0.00034
572.04	0.10464	0.00039
572.08	0.10464	0.00032
572.12	0.10657	0.00031
572.16	0.10555	0.00031
572.2	0.10764	0.00036
572.24	0.10453	0.00044
572.28	0.10453	0.00038
572.32	0.1	0.00048
572.36	0.10357	0.00036
572.4	0.10362	0.00046
572.44	0.09725	0.00041
572.48	0.09511	0.00046
572.52	0.1054	0.00034
572.56	0.10275	0.00033
572.6	0.09802	0.00046
572.64	0.09909	0.00053
572.68	0.09919	0.0006
572.72	0.09333	0.0005
572.76	0.10082	0.00047
572.80	0.09893	0.00059
572.84	0.09333	0.00055
572.88	0.09435	0.00031
572.92	0.09639	0.00038
572.96	0.09613	0.0004
573.0	0.0971	0.00038
573.04	0.09405	0.00038
573.08	0.09323	0.00047
573.12	0.09415	0.00034
573.16	0.09547	0.00051
573.2	0.08956	0.00034
573.24	0.0886	0.00034
573.28	0.0885	0.0004
573.32	0.09323	0.00034
573.36	0.09338	0.00048
573.4	0.0915	0.0005
573.44	0.0941	0.00023
573.48	0.09333	0.00044
573.52	0.09038	0.00032
573.56	0.09043	0.0007
573.6	0.08396	0.00034
573.64	0.09145	0.00053
573.68	0.09155	0.00033
573.72	0.09043	0.00027
573.76	0.09328	0.0004
573.80	0.09048	0.00031
573.84	0.09023	0.00051
573.88	0.08926	0.00038
573.92	0.08855	0.00025
573.96	0.09236	0.00036
574.0	0.09415	0.00052
574.04	0.08844	0.0005
574.08	0.09216	0.00034
574.12	0.1001	0.00036
574.16	0.10005	0.00039
574.2	0.10214	0.00015
574.24	0.09506	0.00055
574.28	0.1027	0.00044
574.32	0.09914	0.0005
574.36	0.09598	0.00039
574.4	0.10448	0.00033
574.44	0.10448	0.00033
574.48	0.10535	0.00034
574.52	0.1084	0.00057
574.56	0.1057	0.00053
574.6	0.11314	0.00033
574.64	0.10754	0.0004
574.68	0.11502	0.00047
574.72	0.1084	0.00034
574.76	0.10835	0.00023
574.80	0.11421	0.00044
574.84	0.10932	0.00038
574.88	0.11894	0.00036
574.92	0.1194	0.00051
574.96	0.11869	0.00034
575.0	0.12169	0.00034
575.04	0.12179	0.00051
575.08	0.12251	0.00015
575.12	0.11589	0.00062
575.16	0.12057	0.00033
575.2	0.12368	0.00025
575.24	0.11411	0.00034
575.28	0.12337	0.00031
575.32	0.12312	0.00023
575.36	0.12648	0.00042
575.4	0.11609	0.00025
575.44	0.11747	0.00038
575.48	0.11304	0.00025
575.52	0.11706	0.00025
575.56	0.11782	0.00042
575.6	0.11971	0.00041
575.64	0.12001	0.00038
575.68	0.11502	0.00034
575.72	0.12337	0.00044
575.76	0.11864	0.00041
575.80	0.12546	0.00042
575.84	0.13473	0.00015
575.88	0.13035	0.00047
575.92	0.13009	0.00039
575.96	0.13355	0.00044
576.0	0.12622	0.00047
576.04	0.14236	0.00058
576.08	0.12811	0.00058
576.12	0.13763	0.0005
576.16	0.14262	0.00034
576.2	0.14236	0.00042
576.24	0.14348	0.00023
576.28	0.13585	0.0004
576.32	0.14511	0.00025
576.36	0.15351	0.00039
576.4	0.15473	0.00052
576.44	0.16319	0.00051
576.48	0.15372	0.00034
576.52	0.15367	0.00046
576.56	0.17067	0.00046
576.6	0.17342	0.00036
576.64	0.17245	0.00044
576.68	0.17031	0.00046
576.72	0.17739	0.00053
576.76	0.17337	0.00032
576.80	0.17342	0.00036
576.84	0.167	0.00052
576.88	0.17327	0.0005
576.92	0.16232	0.00046
576.96	0.16039	0.00025
577.0	0.16777	0.00032
577.04	0.15484	0.00041
577.08	0.15168	0.00047
577.12	0.15173	0.00069
577.16	0.15107	0.0005
577.2	0.147	0.00031
577.24	0.14516	0.00034
577.28	0.14211	0.00041
577.32	0.13865	0.0005
577.36	0.12994	0.00033
577.4	0.13035	0.00047
577.44	0.12739	0.00051
577.48	0.12434	0.00046
577.52	0.12352	0.00058
577.56	0.12245	0.00032
577.6	0.1112	0.00036
577.64	0.11125	0.00051
577.68	0.1113	0.00042
577.72	0.10265	0.00027
577.76	0.10168	0.00038
577.80	0.09511	0.00033
577.84	0.09517	0.00025
577.88	0.09079	0.00031
577.92	0.09613	0.00046
577.96	0.0944	0.00036
578.0	0.09435	0.00031
578.04	0.09491	0.00042
578.08	0.08676	0.00036
578.12	0.09124	0.00046
578.16	0.08748	0.00046
578.2	0.08666	0.00046
578.24	0.08936	0.00046
578.28	0.08982	0.00015
578.32	0.08778	0.00015
578.36	0.09063	0.00041
578.4	0.09033	0.00042
578.44	0.09165	0.00025
578.48	0.09053	0.0004
578.52	0.09226	0.00033
578.56	0.09211	0.00034
578.6	0.09695	0.00036
578.64	0.0916	0.00025
578.68	0.09074	0.0004
578.72	0.09623	0.00034
578.76	0.08956	0.00034
578.80	0.09058	0.00052
578.84	0.0886	0.00061
578.88	0.0886	0.00041
578.92	0.09435	0.00031
578.96	0.08865	0.00076
579.0	0.09328	0.00033
579.04	0.09405	0.00059
579.08	0.09517	0.00047
579.12	0.09053	0.00056
579.16	0.09033	0.00036
579.2	0.09038	0.00046
579.24	0.0942	0.00034
579.28	0.09236	0.00036
579.32	0.09165	0.00041
579.36	0.09817	0.00033
579.4	0.0943	0.00046
579.44	0.0943	0.00033
579.48	0.0941	0.00033
579.52	0.09537	0.00038
579.56	0.09236	0.00036
579.6	0.0944	0.00042
579.64	0.0943	0.00079
579.68	0.09425	0.00041
579.72	0.09919	0.00056
579.76	0.09888	0.00033
579.80	0.09629	0.00034
579.84	0.09634	0.00033
579.88	0.09623	0.00041
579.92	0.09898	0.00062
579.96	0.10362	0.00046
580.0	0.09547	0.00023
580.04	0.09532	0.0004
580.08	0.10265	0.00053
580.12	0.1056	0.00058
580.16	0.10285	0.00047
580.2	0.10535	0.00041
580.24	0.10565	0.00051
580.28	0.1028	0.00034
580.32	0.1056	0.00048
580.36	0.1055	0.0004
580.4	0.10616	0.00039
580.44	0.10754	0.00023
580.48	0.11609	0.00041
580.52	0.11319	0.00055
580.56	0.10754	0.0004
580.6	0.11482	0.00023
580.64	0.11487	0.00048
580.68	0.11222	0.00053
580.72	0.10815	0.00036
580.76	0.11207	0.00041
580.80	0.10906	0.00056
580.84	0.11222	0.00036
580.88	0.11706	0.00034
580.92	0.11018	0.00036
580.96	0.11024	0.00032
581.0	0.11319	0.0005
581.04	0.10942	0.00034
581.08	0.10912	0.00059
581.12	0.1112	0.00027
581.16	0.11288	0.00044
581.2	0.12072	0.00034
581.24	0.12067	0.00025
581.28	0.11482	0.00046
581.32	0.12918	0.00068
581.36	0.12546	0.00058
581.4	0.13198	0.00023
581.44	0.12938	0.00041
581.48	0.12536	0.00033
581.52	0.12536	0.0004
581.56	0.13014	0.00036
581.6	0.12627	0.00047
581.64	0.13182	0.00041
581.68	0.14053	0.00052
581.72	0.14323	0.00038
581.76	0.15092	0.00058
581.80	0.14409	0.00041
581.84	0.1442	0.00046
581.88	0.14796	0.00036
581.92	0.14511	0.00034
581.96	0.16395	0.00041
582.0	0.1584	0.00041
582.04	0.16028	0.00033
582.08	0.16196	0.00041
582.12	0.16232	0.0004
582.16	0.17052	0.00047
582.2	0.16334	0.00051
582.24	0.16889	0.00044
582.28	0.17245	0.00055
582.32	0.1723	0.00036
582.36	0.16894	0.00023
582.4	0.16868	0.00038
582.44	0.16721	0.00036
582.48	0.16583	0.00055
582.52	0.15753	0.00036
582.56	0.16039	0.00047
582.6	0.15479	0.00047
582.64	0.14812	0.00025
582.68	0.14705	0.00033
582.72	0.14694	0.00036
582.76	0.14878	0.00033
582.80	0.13829	0.00027
582.84	0.13478	0.00044
582.88	0.14139	0.00044
582.92	0.12831	0.00041
582.96	0.12632	0.00041
583.0	0.12648	0.00042
583.04	0.12454	0.00036
583.08	0.12347	0.00046
583.12	0.12083	0.00038
583.16	0.11797	0.00044
583.2	0.11624	0.00038
583.24	0.10835	0.0004
583.28	0.10835	0.0004
583.32	0.10815	0.00036
583.36	0.1028	0.00034
583.4	0.1054	0.00047
583.44	0.09893	0.0005
583.48	0.09802	0.00046
583.52	0.09145	0.00042
583.56	0.0945	0.00053
583.6	0.0942	0.00041
583.64	0.09043	0.00036
583.68	0.09135	0.00053
583.72	0.09343	0.00032
583.76	0.09781	0.00041
583.80	0.08931	0.00053
583.84	0.0943	0.0004
583.88	0.09399	0.00042
583.92	0.09511	0.00046
583.96	0.09328	0.00056
584.0	0.0885	0.0004
584.04	0.09623	0.00041
584.08	0.09058	0.00025
584.12	0.09354	0.00059
584.16	0.09909	0.00053
584.2	0.09903	0.00082
584.24	0.09028	0.00044
584.28	0.09242	0.00039
584.32	0.08753	0.00025
584.36	0.09145	0.00036
584.4	0.09715	0.0004
584.44	0.09593	0.00048
584.48	0.09598	0.00032
584.52	0.0971	0.00055
584.56	0.09797	0.00027
584.6	0.0999	0.00046
584.64	0.09221	0.00052
584.68	0.09822	0.00034
584.72	0.09797	0.00027
584.76	0.09797	0.00027
584.80	0.09893	0.00059
584.84	0.09715	0.00023
584.88	0.10087	0.00041
584.92	0.10448	0.00033
584.96	0.10458	0.00036
585.0	0.1055	0.00033
585.04	0.10769	0.00046
585.08	0.10744	0.00041
585.12	0.10112	0.00036
585.16	0.10947	0.00047
585.2	0.11629	0.00036
585.24	0.11227	0.00051
585.28	0.11207	0.00034
585.32	0.11792	0.00062
585.36	0.11777	0.0005
585.4	0.11675	0.00068
585.44	0.11701	0.00033
585.48	0.11981	0.00038
585.52	0.12454	0.00027
585.56	0.12093	0.00032
585.6	0.11904	0.0004
585.64	0.11609	0.00034
585.68	0.11594	0.00031
585.72	0.11431	0.00046
585.76	0.11782	0.00053
585.80	0.11675	0.00044
585.84	0.11212	0.0004
585.88	0.1138	0.00051
585.92	0.11492	0.00031
585.96	0.11497	0.00046
586.0	0.11207	0.00034
586.04	0.11685	0.00023
586.08	0.10754	0.0004
586.12	0.11202	0.00034
586.16	0.10657	0.00038
586.2	0.10647	0.00041
586.24	0.10642	0.00025
586.28	0.10448	0.00023
586.32	0.1027	0.00059
586.36	0.10087	0.00047
586.4	0.10947	0.00047
586.44	0.10066	0.00031
586.48	0.10448	0.00033
586.52	0.10637	0.00034
586.56	0.10657	0.00038
586.6	0.10316	0.00027
586.64	0.09791	0.00031
586.68	0.10453	0.00038
586.72	0.09832	0.00025
586.76	0.09898	0.00042
586.80	0.10464	0.00032
586.84	0.10464	0.00039
586.88	0.1084	0.00025
586.92	0.10469	0.00036
586.96	0.11482	0.00039
587.0	0.11757	0.00025
587.04	0.12337	0.00044
587.08	0.12337	0.00044
587.12	0.12358	0.0005
587.16	0.12088	0.00036
587.2	0.12536	0.00046
587.24	0.13401	0.0004
587.28	0.13753	0.00041
587.32	0.13182	0.00034
587.36	0.14022	0.00036
587.4	0.14216	0.00051
587.44	0.14211	0.00041
587.48	0.14206	0.00052
587.52	0.1526	0.0005
587.56	0.14776	0.0004
587.6	0.1471	0.00034
587.64	0.1554	0.00046
587.68	0.15641	0.0006
587.72	0.15652	0.00036
587.76	0.15285	0.00023
587.80	0.16512	0.00044
587.84	0.15265	0.00023
587.88	0.16049	0.00033
587.92	0.15738	0.00041
587.96	0.15173	0.00057
588.0	0.14883	0.0005
588.04	0.14883	0.00038
588.08	0.1471	0.00041
588.12	0.15173	0.00052
588.16	0.14435	0.00051
588.2	0.14226	0.00042
588.24	0.13401	0.00046
588.28	0.13467	0.00039
588.32	0.13462	0.00053
588.36	0.13488	0.00041
588.4	0.12989	0.00052
588.44	0.13014	0.00027
588.48	0.12169	0.00041
588.52	0.11696	0.00038
588.56	0.11629	0.00027
588.6	0.11599	0.00046
588.64	0.12072	0.00052
588.68	0.11039	0.00033
588.72	0.1109	0.0006
588.76	0.10927	0.00048
588.80	0.10728	0.00044
588.84	0.10387	0.00041
588.88	0.09893	0.00031
588.92	0.09888	0.00056
588.96	0.09511	0.00051
589.0	0.09537	0.00044
589.04	0.09791	0.0002
589.08	0.0914	0.00051
589.12	0.08946	0.00044
589.16	0.09537	0.00044
589.2	0.09511	0.00046
589.24	0.1001	0.00036
589.28	0.09517	0.00047
589.32	0.09155	0.0004
589.36	0.08671	0.00044
589.4	0.09506	0.0005
589.44	0.0971	0.00044
589.48	0.097	0.00032
589.52	0.09705	0.00042
589.56	0.0943	0.00046
589.6	0.10183	0.00047
589.64	0.10443	0.00034
589.68	0.10194	0.00023
589.72	0.10377	0.00051
589.76	0.10474	0.00038
589.80	0.10464	0.00023
589.84	0.11039	0.00046
589.88	0.11411	0.00034
589.92	0.11013	0.00038
589.96	0.11125	0.00039
590.0	0.11772	0.00033
590.04	0.11976	0.00051
590.08	0.11996	0.00042
590.12	0.11884	0.00058
590.16	0.11976	0.0006
590.2	0.12429	0.00041
590.24	0.12989	0.00047
590.28	0.13676	0.00027
590.32	0.13238	0.00041
590.36	0.12826	0.00047
590.4	0.12821	0.00051
590.44	0.13452	0.00046
590.48	0.13661	0.00038
590.52	0.14053	0.00025
590.56	0.15092	0.00042
590.6	0.14969	0.00047
590.64	0.14593	0.00036
590.68	0.14608	0.00052
590.72	0.14725	0.0004
590.76	0.13686	0.00033
590.80	0.14145	0.00033
590.84	0.14404	0.00034
590.88	0.14348	0.0006
590.92	0.14414	0.00061
590.96	0.14399	0.00033
591.0	0.13284	0.00025
591.04	0.14145	0.0004
591.08	0.14145	0.00023
591.12	0.13656	0.00056
591.16	0.13473	0.00015
591.2	0.1388	0.00048
591.24	0.14608	0.00034
591.28	0.14618	0.00034
591.32	0.13019	0.0005
591.36	0.14262	0.00052
591.4	0.12912	0.00027
591.44	0.12994	0.00046
591.48	0.12831	0.00047
591.52	0.12739	0.00046
591.56	0.12709	0.00036
591.6	0.11981	0.00031
591.64	0.1224	0.00027
591.68	0.11701	0.00033
591.72	0.12169	0.00034
591.76	0.1196	0.00034
591.80	0.11629	0.00027
591.84	0.11782	0.00048
591.88	0.11792	0.00053
591.92	0.114	0.00052
591.96	0.11472	0.00038
592.0	0.10927	0.00042
592.04	0.1083	0.00031
592.08	0.1084	0.00025
592.12	0.1054	0.00047
592.16	0.10576	0.00038
592.2	0.1056	0.00053
592.24	0.10372	0.00064
592.28	0.10372	0.00038
592.32	0.09898	0.00062
592.36	0.10367	0.00036
592.4	0.10168	0.00031
592.44	0.10173	0.00046
592.48	0.1052	0.00036
592.52	0.10448	0.0004
592.56	0.09695	0.00042
592.6	0.10275	0.00051
592.64	0.10285	0.00025
592.68	0.10168	0.00038
592.72	0.09394	0.00051
592.76	0.0942	0.00034
592.80	0.10005	0.00046
592.84	0.09354	0.00038
592.88	0.09878	0.00041
592.92	0.09323	0.00041
592.96	0.09608	0.00038
593.0	0.10255	0.00027
593.04	0.10255	0.00027
593.08	0.097	0.00046
593.12	0.09236	0.00053
593.16	0.09328	0.0004
593.2	0.09888	0.00033
593.24	0.09705	0.00058
593.28	0.09909	0.00058
593.32	0.09903	0.00051
593.36	0.10352	0.00064
593.4	0.09812	0.00038
593.44	0.09639	0.00038
593.48	0.09695	0.00042
593.52	0.09608	0.00038
593.56	0.09323	0.00057
593.6	0.09608	0.00055
593.64	0.09603	0.00027
593.68	0.09776	0.00034
593.72	0.1054	0.00052
593.76	0.09705	0.00048
593.80	0.10352	0.0005
593.84	0.1028	0.00047
593.88	0.10535	0.00034
593.92	0.10555	0.00055
593.96	0.09873	0.00047
594.0	0.09618	0.00025
594.04	0.10367	0.00042
594.08	0.09679	0.00025
594.12	0.09878	0.00052
594.16	0.10066	0.00038
594.2	0.09797	0.00053
594.24	0.09761	0.00044
594.28	0.09802	0.00039
594.32	0.10107	0.00023
594.36	0.09705	0.00042
594.4	0.10367	0.00042
594.44	0.10183	0.00041
594.48	0.10173	0.00023
594.52	0.10183	0.00052
594.56	0.10362	0.00039
594.6	0.1027	0.0002
594.64	0.09995	0.00064
594.68	0.09965	0.00031
594.72	0.1027	0.00031
594.76	0.0997	0.0004
594.80	0.10015	0.0005
594.84	0.0973	0.00052
594.88	0.09878	0.00047
594.92	0.09741	0.00038
594.96	0.10092	0.00033
595.0	0.09791	0.00038
595.04	0.10082	0.00025
595.08	0.09496	0.00046
595.12	0.09522	0.00052
595.16	0.09522	0.00041
595.2	0.09695	0.00027
595.24	0.09542	0.00042
595.28	0.08967	0.00047
595.32	0.0913	0.00038
595.36	0.09802	0.00023
595.4	0.09797	0.00042
595.44	0.09639	0.00031
595.48	0.09425	0.00047
595.52	0.09145	0.00042
595.56	0.0971	0.00031
595.6	0.09298	0.00042
595.64	0.09231	0.00044
595.68	0.09242	0.00039
595.72	0.0914	0.00046
595.76	0.09242	0.00032
595.80	0.09903	0.00051
595.84	0.09415	0.00052
595.88	0.09914	0.00038
595.92	0.09527	0.00041
595.96	0.09985	0.00047
596.0	0.09975	0.00034
596.04	0.09822	0.00047
596.08	0.09496	0.00039
596.12	0.10448	0.00033
596.16	0.09888	0.0006
596.2	0.0999	0.00046
596.24	0.10005	0.00051
596.28	0.10015	0.00038
596.32	0.10285	0.00057
596.36	0.1056	0.00042
596.4	0.1056	0.00062
596.44	0.10285	0.00041
596.48	0.10295	0.00033
596.52	0.10168	0.0005
596.56	0.10392	0.00034
596.6	0.10362	0.00039
596.64	0.10906	0.0004
596.68	0.1111	0.0006
596.72	0.10637	0.00034
596.76	0.11227	0.00032
