Raman-Spectrum _CDCl3 _pol90as01.dat
27/09/2021
10:38:18
_CDCl3
_pol90as Temp: NON
X in nm	Y Signal 	Error Signal				
625.04000	0.08956	0.00041
625.08000	0.09898	0.00048
625.12000	0.09975	0.00041
625.16000	0.09313	0.00047
625.20000	0.09033	0.00042
625.24000	0.09593	0.00027
625.28000	0.09623	0.00025
625.32000	0.09613	0.00023
625.36000	0.09231	0.00031
625.40000	0.09226	0.00051
625.44000	0.09710	0.00055
625.48000	0.09700	0.00039
625.52000	0.09328	0.00033
625.56000	0.09313	0.00047
625.60000	0.09552	0.00015
625.64000	0.09145	0.00036
625.68000	0.09048	0.00050
625.72000	0.09405	0.00031
625.76000	0.09430	0.00023
625.80000	0.09048	0.00059
625.84000	0.09033	0.00036
625.88000	0.09914	0.00044
625.92000	0.09048	0.00031
625.96000	0.09634	0.00040
626.00000	0.09155	0.00046
626.04000	0.09618	0.00047
626.08000	0.09598	0.00032
626.12000	0.09038	0.00032
626.16000	0.09058	0.00025
626.20000	0.09038	0.00064
626.24000	0.09328	0.00056
626.28000	0.09211	0.00041
626.32000	0.09420	0.00025
626.36000	0.09318	0.00057
626.40000	0.09333	0.00038
626.44000	0.09328	0.00046
626.48000	0.09043	0.00048
626.52000	0.09715	0.00040
626.56000	0.09308	0.00056
626.60000	0.09623	0.00047
626.64000	0.09242	0.00060
626.68000	0.09242	0.00046
626.72000	0.09242	0.00046
626.76000	0.09206	0.00033
626.80000	0.09639	0.00055
626.84000	0.09527	0.00034
626.88000	0.09786	0.00023
626.92000	0.09517	0.00061
626.96000	0.09496	0.00039
627.00000	0.09425	0.00034
627.04000	0.09410	0.00040
627.08000	0.09323	0.00034
627.12000	0.09333	0.00038
627.16000	0.09247	0.00036
627.20000	0.09598	0.00039
627.24000	0.09598	0.00046
627.28000	0.10189	0.00047
627.32000	0.10204	0.00027
627.36000	0.09903	0.00051
627.40000	0.09231	0.00050
627.44000	0.09781	0.00025
627.48000	0.09527	0.00041
627.52000	0.10387	0.00041
627.56000	0.09817	0.00051
627.60000	0.09929	0.00047
627.64000	0.09924	0.00057
627.68000	0.09985	0.00034
627.72000	0.09786	0.00033
627.76000	0.09812	0.00020
627.80000	0.10637	0.00034
627.84000	0.09786	0.00060
627.88000	0.10469	0.00027
627.92000	0.10474	0.00020
627.96000	0.09715	0.00040
628.00000	0.10738	0.00052
628.04000	0.10280	0.00047
628.08000	0.10382	0.00041
628.12000	0.10917	0.00042
628.16000	0.10346	0.00056
628.20000	0.10367	0.00042
628.24000	0.11054	0.00041
628.28000	0.10937	0.00046
628.32000	0.10652	0.00046
628.36000	0.10550	0.00040
628.40000	0.11400	0.00052
628.44000	0.11085	0.00038
628.48000	0.11670	0.00040
628.52000	0.11685	0.00046
628.56000	0.11095	0.00041
628.60000	0.10861	0.00031
628.64000	0.11772	0.00033
628.68000	0.11034	0.00050
628.72000	0.11329	0.00032
628.76000	0.10382	0.00041
628.80000	0.10377	0.00056
