Raman-Spectrum _CDCl3 _pol002.dat
27/09/2021
09:53:17
_CDCl3
_pol0 Temp: NON
X in nm	Y Signal 	Error Signal				
570.04000	0.07653	0.00064
570.08000	0.07648	0.00046
570.12000	0.07933	0.00033
570.16000	0.08305	0.00047
570.20000	0.07897	0.00052
570.24000	0.07612	0.00056
570.28000	0.07796	0.00041
570.32000	0.08106	0.00040
570.36000	0.08106	0.00040
570.40000	0.07816	0.00032
570.44000	0.07913	0.00042
570.48000	0.08096	0.00034
570.52000	0.08233	0.00050
570.56000	0.07541	0.00047
570.60000	0.08213	0.00038
570.64000	0.08157	0.00167
570.68000	0.07729	0.00046
570.72000	0.07908	0.00044
570.76000	0.08376	0.00056
570.80000	0.08310	0.00023
570.84000	0.08198	0.00025
570.88000	0.07821	0.00036
570.92000	0.08396	0.00025
570.96000	0.08412	0.00033
571.00000	0.08203	0.00057
571.04000	0.07724	0.00031
571.08000	0.07847	0.00052
571.12000	0.08132	0.00044
571.16000	0.08030	0.00050
571.20000	0.08188	0.00040
571.24000	0.08188	0.00046
571.28000	0.07521	0.00038
571.32000	0.08478	0.00023
571.36000	0.07368	0.00038
571.40000	0.08177	0.00027
571.44000	0.08004	0.00040
571.48000	0.08106	0.00046
571.52000	0.08473	0.00042
571.56000	0.08478	0.00039
571.60000	0.07999	0.00034
571.64000	0.08172	0.00032
571.68000	0.08310	0.00051
571.72000	0.07735	0.00052
571.76000	0.07908	0.00050
571.80000	0.07918	0.00060
571.84000	0.07913	0.00053
571.88000	0.08391	0.00033
571.92000	0.07923	0.00036
571.96000	0.08198	0.00052
572.00000	0.07826	0.00044
572.04000	0.07831	0.00051
572.08000	0.08295	0.00047
572.12000	0.08330	0.00036
572.16000	0.08223	0.00039
572.20000	0.07933	0.00040
572.24000	0.07816	0.00032
572.28000	0.07999	0.00047
572.32000	0.08396	0.00047
572.36000	0.08015	0.00036
572.40000	0.08386	0.00038
572.44000	0.08396	0.00041
572.48000	0.08386	0.00031
572.52000	0.08091	0.00047
572.56000	0.07745	0.00047
572.60000	0.07724	0.00038
572.64000	0.07831	0.00051
572.68000	0.08600	0.00041
572.72000	0.08605	0.00034
572.76000	0.08300	0.00041
572.80000	0.07623	0.00031
572.84000	0.08081	0.00044
572.88000	0.08101	0.00034
572.92000	0.07266	0.00031
572.96000	0.07724	0.00055
573.00000	0.07714	0.00039
573.04000	0.08188	0.00046
573.08000	0.07714	0.00032
573.12000	0.08183	0.00038
573.16000	0.08020	0.00032
573.20000	0.08004	0.00040
573.24000	0.08030	0.00044
573.28000	0.08279	0.00036
573.32000	0.08284	0.00055
573.36000	0.07923	0.00048
573.40000	0.07923	0.00036
573.44000	0.08203	0.00052
573.48000	0.07811	0.00053
573.52000	0.07933	0.00046
573.56000	0.08468	0.00044
573.60000	0.08498	0.00025
573.64000	0.07623	0.00044
573.68000	0.07923	0.00048
573.72000	0.08213	0.00055
573.76000	0.08412	0.00023
573.80000	0.08325	0.00046
573.84000	0.07938	0.00047
573.88000	0.07903	0.00046
573.92000	0.07903	0.00056
573.96000	0.08855	0.00052
574.00000	0.08295	0.00057
574.04000	0.08203	0.00034
574.08000	0.07617	0.00042
574.12000	0.08412	0.00033
574.16000	0.07933	0.00023
574.20000	0.07918	0.00039
574.24000	0.08590	0.00031
574.28000	0.07826	0.00038
574.32000	0.08676	0.00036
574.36000	0.08320	0.00048
574.40000	0.08865	0.00061
574.44000	0.07923	0.00036
574.48000	0.07908	0.00044
574.52000	0.08289	0.00056
574.56000	0.08279	0.00048
574.60000	0.08300	0.00041
574.64000	0.08401	0.00041
574.68000	0.08188	0.00051
574.72000	0.08396	0.00041
574.76000	0.08396	0.00034
574.80000	0.08412	0.00033
574.84000	0.08223	0.00039
574.88000	0.08320	0.00048
574.92000	0.07979	0.00059
574.96000	0.08009	0.00031
575.00000	0.08081	0.00055
575.04000	0.08132	0.00044
575.08000	0.08111	0.00050
575.12000	0.08488	0.00050
575.16000	0.08396	0.00034
575.20000	0.08407	0.00025
575.24000	0.08203	0.00034
575.28000	0.08203	0.00041
575.32000	0.08188	0.00040
575.36000	0.08198	0.00025
575.40000	0.08086	0.00060
575.44000	0.08295	0.00025
575.48000	0.07989	0.00025
575.52000	0.08086	0.00040
575.56000	0.08004	0.00040
575.60000	0.08381	0.00042
575.64000	0.07821	0.00027
575.68000	0.07811	0.00015
575.72000	0.08595	0.00040
575.76000	0.09043	0.00058
575.80000	0.08106	0.00046
575.84000	0.08396	0.00025
575.88000	0.08315	0.00038
575.92000	0.08478	0.00032
575.96000	0.08503	0.00041
576.00000	0.08391	0.00046
576.04000	0.08376	0.00032
576.08000	0.07908	0.00038
576.12000	0.08188	0.00046
576.16000	0.08783	0.00039
576.20000	0.08549	0.00041
576.24000	0.08595	0.00040
576.28000	0.08778	0.00027
576.32000	0.09043	0.00058
576.36000	0.08962	0.00025
576.40000	0.08605	0.00041
576.44000	0.09165	0.00025
576.48000	0.08015	0.00042
576.52000	0.08391	0.00040
576.56000	0.08407	0.00025
576.60000	0.08289	0.00033
576.64000	0.08503	0.00034
576.68000	0.08875	0.00068
576.72000	0.08391	0.00033
576.76000	0.08585	0.00048
576.80000	0.08300	0.00041
576.84000	0.08320	0.00048
576.88000	0.08600	0.00034
576.92000	0.08009	0.00044
576.96000	0.08177	0.00036
577.00000	0.08203	0.00025
577.04000	0.08478	0.00056
577.08000	0.08203	0.00034
577.12000	0.08203	0.00047
577.16000	0.08096	0.00052
577.20000	0.08580	0.00051
577.24000	0.08111	0.00044
577.28000	0.08025	0.00042
577.32000	0.07841	0.00034
577.36000	0.08009	0.00031
577.40000	0.08514	0.00051
577.44000	0.08483	0.00027
577.48000	0.08203	0.00041
577.52000	0.08025	0.00048
577.56000	0.07826	0.00038
577.60000	0.08478	0.00023
577.64000	0.07796	0.00052
577.68000	0.07821	0.00036
577.72000	0.07836	0.00025
577.76000	0.07913	0.00042
577.80000	0.07989	0.00041
577.84000	0.08020	0.00046
577.88000	0.07623	0.00038
577.92000	0.07908	0.00038
577.96000	0.07923	0.00042
578.00000	0.08004	0.00051
578.04000	0.08004	0.00040
578.08000	0.07918	0.00000
578.12000	0.08198	0.00034
578.16000	0.08198	0.00047
578.20000	0.08009	0.00038
578.24000	0.08096	0.00041
578.28000	0.08289	0.00056
578.32000	0.08300	0.00057
578.36000	0.08188	0.00040
578.40000	0.08132	0.00031
578.44000	0.08015	0.00036
578.48000	0.07913	0.00062
578.52000	0.08091	0.00061
578.56000	0.07816	0.00039
578.60000	0.07801	0.00023
578.64000	0.07750	0.00040
578.68000	0.08289	0.00040
578.72000	0.08203	0.00034
578.76000	0.07709	0.00042
578.80000	0.08284	0.00038
578.84000	0.08091	0.00025
578.88000	0.07994	0.00034
578.92000	0.08025	0.00042
578.96000	0.08183	0.00031
579.00000	0.07755	0.00038
579.04000	0.07526	0.00033
579.08000	0.08284	0.00031
579.12000	0.07638	0.00041
579.16000	0.07923	0.00042
579.20000	0.07923	0.00036
579.24000	0.07526	0.00040
579.28000	0.07750	0.00033
579.32000	0.08274	0.00039
579.36000	0.07913	0.00053
579.40000	0.08401	0.00034
579.44000	0.07745	0.00041
579.48000	0.07719	0.00042
579.52000	0.07989	0.00025
579.56000	0.08193	0.00025
579.60000	0.08498	0.00052
579.64000	0.08004	0.00040
579.68000	0.08208	0.00046
579.72000	0.08193	0.00034
579.76000	0.08101	0.00034
579.80000	0.08111	0.00050
579.84000	0.08473	0.00027
579.88000	0.08274	0.00046
579.92000	0.07913	0.00042
579.96000	0.08183	0.00038
580.00000	0.07913	0.00048
580.04000	0.07999	0.00034
580.08000	0.08015	0.00042
580.12000	0.08371	0.00066
580.16000	0.08009	0.00031
580.20000	0.08671	0.00031
580.24000	0.08177	0.00027
580.28000	0.08839	0.00036
580.32000	0.08101	0.00047
580.36000	0.08091	0.00052
580.40000	0.08651	0.00034
580.44000	0.08020	0.00032
580.48000	0.07903	0.00033
580.52000	0.07903	0.00040
580.56000	0.08183	0.00031
580.60000	0.07938	0.00034
580.64000	0.08417	0.00031
580.68000	0.08381	0.00036
580.72000	0.08407	0.00041
580.76000	0.08183	0.00031
580.80000	0.08116	0.00036
580.84000	0.08193	0.00034
580.88000	0.08188	0.00023
580.92000	0.08172	0.00056
580.96000	0.08193	0.00034
581.00000	0.07984	0.00040
581.04000	0.08295	0.00034
581.08000	0.08198	0.00025
581.12000	0.08412	0.00033
581.16000	0.08295	0.00034
581.20000	0.08794	0.00038
581.24000	0.08580	0.00046
581.28000	0.08600	0.00025
581.32000	0.08376	0.00039
581.36000	0.08697	0.00033
581.40000	0.08768	0.00023
581.44000	0.08962	0.00041
581.48000	0.08585	0.00036
581.52000	0.09236	0.00042
581.56000	0.09262	0.00041
581.60000	0.08661	0.00041
581.64000	0.08773	0.00038
581.68000	0.09063	0.00034
581.72000	0.08009	0.00059
581.76000	0.08595	0.00033
581.80000	0.08417	0.00020
581.84000	0.08401	0.00034
581.88000	0.08386	0.00044
581.92000	0.08946	0.00050
581.96000	0.08768	0.00033
582.00000	0.08666	0.00033
582.04000	0.08758	0.00034
582.08000	0.07999	0.00025
582.12000	0.08651	0.00041
582.16000	0.08666	0.00033
582.20000	0.08478	0.00032
582.24000	0.07918	0.00039
582.28000	0.07933	0.00033
582.32000	0.08137	0.00040
582.36000	0.08193	0.00034
582.40000	0.08585	0.00062
582.44000	0.08559	0.00041
582.48000	0.08493	0.00040
582.52000	0.08666	0.00033
582.56000	0.08412	0.00040
582.60000	0.08091	0.00041
582.64000	0.08386	0.00031
582.68000	0.08295	0.00034
582.72000	0.08259	0.00046
582.76000	0.08376	0.00023
582.80000	0.08009	0.00038
582.84000	0.08498	0.00057
582.88000	0.07826	0.00038
582.92000	0.08111	0.00055
582.96000	0.08320	0.00042
583.00000	0.07994	0.00041
583.04000	0.08015	0.00036
583.08000	0.08610	0.00034
583.12000	0.07724	0.00055
583.16000	0.08279	0.00036
583.20000	0.07740	0.00025
583.24000	0.07999	0.00034
583.28000	0.08493	0.00040
583.32000	0.08483	0.00042
583.36000	0.08193	0.00025
583.40000	0.07816	0.00032
583.44000	0.07989	0.00025
583.48000	0.08071	0.00046
583.52000	0.08101	0.00041
583.56000	0.07719	0.00027
