Raman-Spectrum _CDCl3 _spol9001.dat
27/09/2021
10:57:42
_CDCl3
_spol90 Temp: NON
X in nm	Y Signal 	Error Signal				
570.04000	0.09313	0.00052
570.08000	0.09135	0.00036
570.12000	0.09613	0.00033
570.16000	0.09506	0.00050
570.20000	0.08931	0.00048
570.24000	0.09216	0.00041
570.28000	0.10005	0.00039
570.32000	0.09995	0.00038
570.36000	0.09440	0.00058
570.40000	0.09343	0.00039
570.44000	0.09338	0.00027
570.48000	0.09496	0.00032
570.52000	0.08972	0.00040
570.56000	0.09425	0.00047
570.60000	0.09450	0.00027
570.64000	0.09613	0.00051
570.68000	0.09481	0.00033
570.72000	0.09685	0.00033
570.76000	0.09532	0.00051
570.80000	0.09318	0.00069
570.84000	0.09771	0.00034
570.88000	0.09807	0.00042
570.92000	0.10087	0.00025
570.96000	0.09623	0.00034
571.00000	0.09532	0.00033
571.04000	0.10275	0.00040
571.08000	0.09623	0.00034
571.12000	0.09537	0.00064
571.16000	0.09791	0.00050
571.20000	0.09797	0.00036
571.24000	0.09415	0.00041
571.28000	0.10092	0.00023
571.32000	0.09903	0.00051
571.36000	0.09903	0.00051
571.40000	0.10280	0.00034
571.44000	0.10464	0.00039
571.48000	0.10464	0.00032
571.52000	0.10657	0.00031
571.56000	0.10555	0.00031
571.60000	0.10764	0.00036
571.64000	0.10453	0.00044
571.68000	0.10453	0.00038
571.72000	0.10000	0.00048
571.76000	0.10357	0.00036
571.80000	0.10362	0.00046
571.84000	0.09725	0.00041
571.88000	0.09511	0.00046
571.92000	0.10540	0.00034
571.96000	0.10275	0.00033
572.00000	0.09802	0.00046
572.04000	0.09909	0.00053
572.08000	0.09919	0.00060
572.12000	0.09333	0.00050
572.16000	0.10082	0.00047
572.20000	0.09893	0.00059
572.24000	0.09333	0.00055
572.28000	0.09435	0.00031
572.32000	0.09639	0.00038
572.36000	0.09613	0.00040
572.40000	0.09710	0.00038
572.44000	0.09405	0.00038
572.48000	0.09323	0.00047
572.52000	0.09415	0.00034
572.56000	0.09547	0.00051
572.60000	0.08956	0.00034
572.64000	0.08860	0.00034
572.68000	0.08850	0.00040
572.72000	0.09323	0.00034
572.76000	0.09338	0.00048
572.80000	0.09150	0.00050
572.84000	0.09410	0.00023
572.88000	0.09333	0.00044
572.92000	0.09038	0.00032
572.96000	0.09043	0.00070
573.00000	0.08396	0.00034
573.04000	0.09145	0.00053
573.08000	0.09155	0.00033
573.12000	0.09043	0.00027
573.16000	0.09328	0.00040
573.20000	0.09048	0.00031
573.24000	0.09023	0.00051
573.28000	0.08926	0.00038
573.32000	0.08855	0.00025
573.36000	0.09236	0.00036
573.40000	0.09415	0.00052
573.44000	0.08844	0.00050
573.48000	0.09216	0.00034
573.52000	0.10010	0.00036
573.56000	0.10005	0.00039
573.60000	0.10214	0.00015
573.64000	0.09506	0.00055
573.68000	0.10270	0.00044
573.72000	0.09914	0.00050
573.76000	0.09598	0.00039
573.80000	0.10448	0.00033
573.84000	0.10448	0.00033
573.88000	0.10535	0.00034
573.92000	0.10840	0.00057
573.96000	0.10570	0.00053
574.00000	0.11314	0.00033
574.04000	0.10754	0.00040
574.08000	0.11502	0.00047
574.12000	0.10840	0.00034
574.16000	0.10835	0.00023
574.20000	0.11421	0.00044
574.24000	0.10932	0.00038
574.28000	0.11894	0.00036
574.32000	0.11940	0.00051
574.36000	0.11869	0.00034
574.40000	0.12169	0.00034
574.44000	0.12179	0.00051
574.48000	0.12251	0.00015
574.52000	0.11589	0.00062
574.56000	0.12057	0.00033
574.60000	0.12368	0.00025
574.64000	0.11411	0.00034
574.68000	0.12337	0.00031
574.72000	0.12312	0.00023
574.76000	0.12648	0.00042
574.80000	0.11609	0.00025
574.84000	0.11747	0.00038
574.88000	0.11304	0.00025
574.92000	0.11706	0.00025
574.96000	0.11782	0.00042
575.00000	0.11971	0.00041
575.04000	0.12001	0.00038
575.08000	0.11502	0.00034
575.12000	0.12337	0.00044
575.16000	0.11864	0.00041
575.20000	0.12546	0.00042
575.24000	0.13473	0.00015
575.28000	0.13035	0.00047
575.32000	0.13009	0.00039
575.36000	0.13355	0.00044
575.40000	0.12622	0.00047
575.44000	0.14236	0.00058
575.48000	0.12811	0.00058
575.52000	0.13763	0.00050
575.56000	0.14262	0.00034
575.60000	0.14236	0.00042
575.64000	0.14348	0.00023
575.68000	0.13585	0.00040
575.72000	0.14511	0.00025
575.76000	0.15351	0.00039
575.80000	0.15473	0.00052
575.84000	0.16319	0.00051
575.88000	0.15372	0.00034
575.92000	0.15367	0.00046
575.96000	0.17067	0.00046
576.00000	0.17342	0.00036
576.04000	0.17245	0.00044
576.08000	0.17031	0.00046
576.12000	0.17739	0.00053
576.16000	0.17337	0.00032
576.20000	0.17342	0.00036
576.24000	0.16700	0.00052
576.28000	0.17327	0.00050
576.32000	0.16232	0.00046
576.36000	0.16039	0.00025
576.40000	0.16777	0.00032
576.44000	0.15484	0.00041
576.48000	0.15168	0.00047
576.52000	0.15173	0.00069
576.56000	0.15107	0.00050
576.60000	0.14700	0.00031
576.64000	0.14516	0.00034
576.68000	0.14211	0.00041
576.72000	0.13865	0.00050
576.76000	0.12994	0.00033
576.80000	0.13035	0.00047
576.84000	0.12739	0.00051
576.88000	0.12434	0.00046
576.92000	0.12352	0.00058
576.96000	0.12245	0.00032
577.00000	0.11120	0.00036
577.04000	0.11125	0.00051
577.08000	0.11130	0.00042
577.12000	0.10265	0.00027
577.16000	0.10168	0.00038
577.20000	0.09511	0.00033
577.24000	0.09517	0.00025
577.28000	0.09079	0.00031
577.32000	0.09613	0.00046
577.36000	0.09440	0.00036
577.40000	0.09435	0.00031
577.44000	0.09491	0.00042
577.48000	0.08676	0.00036
577.52000	0.09124	0.00046
577.56000	0.08748	0.00046
577.60000	0.08666	0.00046
577.64000	0.08936	0.00046
577.68000	0.08982	0.00015
577.72000	0.08778	0.00015
577.76000	0.09063	0.00041
577.80000	0.09033	0.00042
577.84000	0.09165	0.00025
577.88000	0.09053	0.00040
577.92000	0.09226	0.00033
577.96000	0.09211	0.00034
578.00000	0.09695	0.00036
578.04000	0.09160	0.00025
578.08000	0.09074	0.00040
578.12000	0.09623	0.00034
578.16000	0.08956	0.00034
578.20000	0.09058	0.00052
578.24000	0.08860	0.00061
578.28000	0.08860	0.00041
578.32000	0.09435	0.00031
578.36000	0.08865	0.00076
578.40000	0.09328	0.00033
578.44000	0.09405	0.00059
578.48000	0.09517	0.00047
578.52000	0.09053	0.00056
578.56000	0.09033	0.00036
578.60000	0.09038	0.00046
578.64000	0.09420	0.00034
578.68000	0.09236	0.00036
578.72000	0.09165	0.00041
578.76000	0.09817	0.00033
578.80000	0.09430	0.00046
578.84000	0.09430	0.00033
578.88000	0.09410	0.00033
578.92000	0.09537	0.00038
578.96000	0.09236	0.00036
579.00000	0.09440	0.00042
579.04000	0.09430	0.00079
579.08000	0.09425	0.00041
579.12000	0.09919	0.00056
579.16000	0.09888	0.00033
579.20000	0.09629	0.00034
579.24000	0.09634	0.00033
579.28000	0.09623	0.00041
579.32000	0.09898	0.00062
579.36000	0.10362	0.00046
579.40000	0.09547	0.00023
579.44000	0.09532	0.00040
579.48000	0.10265	0.00053
579.52000	0.10560	0.00058
579.56000	0.10285	0.00047
579.60000	0.10535	0.00041
579.64000	0.10565	0.00051
579.68000	0.10280	0.00034
579.72000	0.10560	0.00048
579.76000	0.10550	0.00040
579.80000	0.10616	0.00039
579.84000	0.10754	0.00023
579.88000	0.11609	0.00041
579.92000	0.11319	0.00055
579.96000	0.10754	0.00040
580.00000	0.11482	0.00023
580.04000	0.11487	0.00048
580.08000	0.11222	0.00053
580.12000	0.10815	0.00036
580.16000	0.11207	0.00041
580.20000	0.10906	0.00056
580.24000	0.11222	0.00036
580.28000	0.11706	0.00034
580.32000	0.11018	0.00036
580.36000	0.11024	0.00032
580.40000	0.11319	0.00050
580.44000	0.10942	0.00034
580.48000	0.10912	0.00059
580.52000	0.11120	0.00027
580.56000	0.11288	0.00044
580.60000	0.12072	0.00034
580.64000	0.12067	0.00025
580.68000	0.11482	0.00046
580.72000	0.12918	0.00068
580.76000	0.12546	0.00058
580.80000	0.13198	0.00023
580.84000	0.12938	0.00041
580.88000	0.12536	0.00033
580.92000	0.12536	0.00040
580.96000	0.13014	0.00036
581.00000	0.12627	0.00047
581.04000	0.13182	0.00041
581.08000	0.14053	0.00052
581.12000	0.14323	0.00038
581.16000	0.15092	0.00058
581.20000	0.14409	0.00041
581.24000	0.14420	0.00046
581.28000	0.14796	0.00036
581.32000	0.14511	0.00034
581.36000	0.16395	0.00041
581.40000	0.15840	0.00041
581.44000	0.16028	0.00033
581.48000	0.16196	0.00041
581.52000	0.16232	0.00040
581.56000	0.17052	0.00047
581.60000	0.16334	0.00051
581.64000	0.16889	0.00044
581.68000	0.17245	0.00055
581.72000	0.17230	0.00036
581.76000	0.16894	0.00023
581.80000	0.16868	0.00038
581.84000	0.16721	0.00036
581.88000	0.16583	0.00055
581.92000	0.15753	0.00036
581.96000	0.16039	0.00047
582.00000	0.15479	0.00047
582.04000	0.14812	0.00025
582.08000	0.14705	0.00033
582.12000	0.14694	0.00036
582.16000	0.14878	0.00033
582.20000	0.13829	0.00027
582.24000	0.13478	0.00044
582.28000	0.14139	0.00044
582.32000	0.12831	0.00041
582.36000	0.12632	0.00041
582.40000	0.12648	0.00042
582.44000	0.12454	0.00036
582.48000	0.12347	0.00046
582.52000	0.12083	0.00038
582.56000	0.11797	0.00044
582.60000	0.11624	0.00038
582.64000	0.10835	0.00040
582.68000	0.10835	0.00040
582.72000	0.10815	0.00036
582.76000	0.10280	0.00034
582.80000	0.10540	0.00047
582.84000	0.09893	0.00050
582.88000	0.09802	0.00046
582.92000	0.09145	0.00042
582.96000	0.09450	0.00053
583.00000	0.09420	0.00041
583.04000	0.09043	0.00036
583.08000	0.09135	0.00053
583.12000	0.09343	0.00032
583.16000	0.09781	0.00041
583.20000	0.08931	0.00053
583.24000	0.09430	0.00040
583.28000	0.09399	0.00042
583.32000	0.09511	0.00046
583.36000	0.09328	0.00056
583.40000	0.08850	0.00040
583.44000	0.09623	0.00041
583.48000	0.09058	0.00025
