Waveleght	Intensity	Error
625.54	0.14603	0.00023
625.58	0.14908	0.00046
625.62	0.14532	0.00048
625.66	0.14516	0.00034
625.7	0.14226	0.00053
625.74	0.14333	0.00032
625.78	0.1527	0.00041
625.82	0.14221	0.00055
625.86	0.15076	0.00041
625.9	0.14501	0.00046
625.94	0.15453	0.00032
625.98	0.15468	0.00051
626.02	0.15738	0.00047
626.06	0.16212	0.00027
626.1	0.16303	0.00023
626.14	0.18101	0.00032
626.18	0.17714	0.00034
626.22	0.18488	0.00034
626.26	0.18488	0.00047
626.3	0.18121	0.00047
626.34	0.19328	0.00036
626.38	0.19429	0.00027
626.42	0.2196	0.00044
626.46	0.22164	0.00031
626.5	0.24215	0.00048
626.54	0.2422	0.00031
626.58	0.25453	0.00041
626.62	0.2865	0.00059
626.66	0.27214	0.00039
626.7	0.30824	0.00042
626.74	0.30447	0.00034
626.78	0.31863	0.00056
626.82	0.31985	0.00033
626.86	0.31964	0.0004
626.9	0.32234	0.00034
626.94	0.32621	0.00031
626.98	0.34755	0.00036
627.02	0.34688	0.00064
627.06	0.33461	0.0004
627.1	0.35712	0.00036
627.14	0.35717	0.00039
627.18	0.34317	0.00041
627.22	0.35656	0.00031
627.26	0.33772	0.00031
627.3	0.33553	0.00069
627.34	0.32448	0.00071
627.38	0.31206	0.00034
627.42	0.31196	0.00031
627.46	0.30641	0.0004
627.5	0.28843	0.00032
627.54	0.29297	0.00036
627.58	0.27235	0.00047
627.62	0.26196	0.00039
627.66	0.23635	0.0004
627.7	0.22729	0.00058
627.74	0.22724	0.0002
627.78	0.21603	0.00031
627.82	0.19704	0.00047
627.86	0.1972	0.0005
627.9	0.17719	0.00041
627.94	0.18116	0.00033
627.98	0.16874	0.00036
628.02	0.16894	0.00033
628.06	0.16568	0.00027
628.1	0.15458	0.00048
628.14	0.15265	0.00046
628.18	0.15372	0.00041
628.22	0.1528	0.00034
628.26	0.15463	0.00038
628.3	0.15255	0.00042
628.34	0.1528	0.00052
628.38	0.14333	0.00039
628.42	0.15555	0.00051
628.46	0.15275	0.00041
628.5	0.14588	0.00039
628.54	0.1443	0.00027
628.58	0.14618	0.00047
628.62	0.14628	0.0005
628.66	0.15102	0.00027
628.7	0.14486	0.00046
628.74	0.14598	0.00044
628.78	0.15107	0.00044
628.82	0.1446	0.00025
628.86	0.14506	0.00025
628.9	0.14491	0.00027
628.94	0.14333	0.00032
628.98	0.14506	0.00034
629.02	0.15178	0.00061
629.06	0.14618	0.00041
629.1	0.14124	0.00036
629.14	0.13921	0.00042
629.18	0.14165	0.0004
629.22	0.14134	0.00042
629.26	0.13758	0.00046
629.3	0.13498	0.00025
629.34	0.13131	0.00047
629.38	0.13213	0.00039
629.42	0.13101	0.00038
629.46	0.13101	0.00044
629.5	0.13065	0.00048
629.54	0.13014	0.00036
629.58	0.12831	0.00041
629.62	0.12505	0.00036
629.66	0.13579	0.00044
629.7	0.1222	0.00025
629.74	0.12454	0.00027
629.78	0.12164	0.00041
629.82	0.12164	0.00047
629.86	0.12337	0.00031
629.9	0.12189	0.00053
629.94	0.11492	0.00059
629.98	0.12276	0.00025
630.02	0.11502	0.00047
630.06	0.11675	0.0005
630.1	0.11691	0.00036
630.14	0.11024	0.00023
630.18	0.11736	0.00039
630.22	0.11217	0.0002
630.26	0.11487	0.00053
630.3	0.11283	0.00048
630.34	0.11125	0.00046
630.38	0.11115	0.00038
630.42	0.11115	0.00044
630.46	0.11222	0.00036
630.5	0.10728	0.00031
630.54	0.10525	0.00031
630.58	0.11024	0.00039
630.62	0.1026	0.00023
630.66	0.10525	0.00044
630.7	0.1054	0.00041
630.74	0.10352	0.00055
630.78	0.10922	0.00046
630.82	0.11217	0.0005
630.86	0.11507	0.00057
630.9	0.1111	0.00056
630.94	0.09893	0.00038
630.98	0.09924	0.00034
631.02	0.10845	0.00047
631.06	0.11095	0.00052
631.1	0.10626	0.00055
631.14	0.10382	0.00034
631.18	0.10708	0.00044
631.22	0.11405	0.00034
631.26	0.114	0.00057
631.3	0.10922	0.00032
631.34	0.10906	0.00051
631.38	0.1052	0.00027
631.42	0.10214	0.00042
631.46	0.10377	0.0004
631.5	0.1057	0.00042
631.54	0.10453	0.00044
631.58	0.10464	0.00023
631.62	0.10275	0.00033
631.66	0.11283	0.00036
631.7	0.10922	0.00039
631.74	0.11207	0.00034
631.78	0.11971	0.00047
631.82	0.11976	0.00033
631.86	0.11996	0.00027
631.9	0.12643	0.00038
631.94	0.13758	0.0004
631.98	0.13493	0.00025
632.02	0.13941	0.0004
632.06	0.13574	0.00027
632.1	0.14694	0.00042
632.14	0.15092	0.00042
632.18	0.15081	0.0004
632.22	0.1498	0.0004
632.26	0.15932	0.00047
632.3	0.15372	0.00025
632.34	0.1638	0.00044
632.38	0.16538	0.00033
632.42	0.17515	0.00047
632.46	0.1753	0.00038
632.5	0.16777	0.00039
632.54	0.16975	0.00036
632.58	0.17418	0.00034
632.62	0.16604	0.00025
632.66	0.17902	0.00036
632.7	0.17805	0.00044
632.74	0.17826	0.00034
632.78	0.18187	0.0004
632.82	0.18014	0.00033
632.86	0.17271	0.0004
632.9	0.17714	0.00052
632.94	0.17622	0.00034
632.98	0.16792	0.00033
633.02	0.16802	0.00052
633.06	0.16777	0.00032
633.1	0.16023	0.00044
633.14	0.16105	0.00038
633.18	0.1641	0.00044
633.22	0.15728	0.00034
633.26	0.14883	0.00038
633.3	0.15647	0.0002
633.34	0.15652	0.00036
633.38	0.15387	0.00046
633.42	0.15107	0.00031
633.46	0.13885	0.0002
633.5	0.14134	0.00042
633.54	0.13305	0.00038
633.58	0.13498	0.00025
633.62	0.13488	0.00052
633.66	0.13666	0.00048
633.7	0.13172	0.00044
633.74	0.13478	0.00038
633.78	0.12536	0.0004
633.82	0.13004	0.00058
633.86	0.12154	0.00038
633.9	0.11787	0.00039
633.94	0.11777	0.0005
633.98	0.11782	0.00042
634.02	0.114	0.00047
634.06	0.11309	0.00034
634.1	0.11309	0.00025
634.14	0.10845	0.00034
634.18	0.10647	0.00025
634.22	0.10647	0.00041
634.26	0.11024	0.00039
634.3	0.10357	0.00042
634.34	0.10647	0.00041
634.38	0.10815	0.00027
634.42	0.10647	0.00047
634.46	0.10912	0.00031
634.5	0.10825	0.00042
634.54	0.10835	0.00033
634.58	0.10723	0.00042
634.62	0.10402	0.00031
634.66	0.11293	0.00056
634.7	0.10642	0.00047
634.74	0.10718	0.00046
634.78	0.11298	0.00034
634.82	0.11283	0.00036
634.86	0.11584	0.00051
634.9	0.10652	0.0004
634.94	0.10922	0.00051
634.98	0.10647	0.00034
635.02	0.1083	0.00044
635.06	0.10657	0.0005
635.1	0.10662	0.00048
635.14	0.10464	0.00032
635.18	0.10738	0.00034
635.22	0.09812	0.00031
635.26	0.1054	0.00025
635.3	0.11029	0.00042
635.34	0.10718	0.00064
635.38	0.10815	0.00048
635.42	0.1084	0.00034
635.46	0.10565	0.00051
635.5	0.1111	0.00033
635.54	0.10927	0.00053
635.58	0.1084	0.00047
635.62	0.10576	0.00038
635.66	0.11044	0.00034
635.7	0.11018	0.00048
635.74	0.10377	0.00046
635.78	0.10744	0.00041
635.82	0.10341	0.00025
635.86	0.10769	0.00039
635.9	0.11029	0.00036
635.94	0.10357	0.00048
635.98	0.10362	0.00023
636.02	0.10744	0.00047
636.06	0.10733	0.00046
636.1	0.10784	0.00033
636.14	0.10642	0.00052
636.18	0.10927	0.00042
636.22	0.11105	0.00034
636.26	0.10922	0.00032
636.3	0.10917	0.00058
636.34	0.10637	0.00034
636.38	0.10744	0.00034
636.42	0.10362	0.00039
636.46	0.11095	0.00052
636.5	0.10642	0.00034
636.54	0.10906	0.00033
636.58	0.10922	0.00051
636.62	0.10922	0.00039
636.66	0.10672	0.00048
636.7	0.10759	0.0005
636.74	0.10443	0.00034
636.78	0.10377	0.00056
636.82	0.1111	0.0004
636.86	0.10015	0.00055
636.9	0.0998	0.00041
636.94	0.11024	0.00046
636.98	0.10367	0.00036
637.02	0.1112	0.00036
637.06	0.10835	0.0004
637.1	0.10285	0.00025
637.14	0.11039	0.00033
637.18	0.11018	0.00042
637.22	0.11212	0.00033
637.26	0.10077	0.00034
637.3	0.10652	0.00033
637.34	0.11604	0.00034
637.38	0.10362	0.00056
637.42	0.11018	0.00048
637.46	0.11044	0.00041
637.5	0.11197	0.00034
637.54	0.10382	0.00052
637.58	0.10453	0.00038
637.62	0.10642	0.00025
637.66	0.10942	0.00057
637.7	0.1052	0.00042
637.74	0.1057	0.00042
637.78	0.10565	0.00046
637.82	0.1111	0.0004
637.86	0.10652	0.00033
637.9	0.11029	0.00036
637.94	0.1057	0.00042
637.98	0.11385	0.0008
638.02	0.10861	0.00044
638.06	0.10856	0.00033
638.1	0.10632	0.00023
638.14	0.10738	0.00047
638.18	0.10662	0.00048
638.22	0.11609	0.00052
638.26	0.10922	0.00032
638.3	0.11492	0.00038
638.34	0.1139	0.00038
638.38	0.11421	0.00044
638.42	0.11293	0.0006
638.46	0.11675	0.00031
638.5	0.11589	0.00048
638.54	0.12072	0.00041
638.58	0.13131	0.00041
638.62	0.12347	0.00032
638.66	0.12368	0.00041
638.7	0.13401	0.00056
638.74	0.13778	0.00036
638.78	0.14445	0.00038
638.82	0.14058	0.00041
638.86	0.14664	0.00034
638.9	0.15555	0.00046
638.94	0.15545	0.00031
638.98	0.1584	0.00034
639.02	0.18182	0.00034
639.06	0.17546	0.00027
639.1	0.18126	0.00041
639.14	0.19531	0.00048
639.18	0.19923	0.00038
639.22	0.18676	0.0004
639.26	0.18661	0.00046
639.3	0.19536	0.00055
639.34	0.20824	0.00041
639.38	0.20738	0.0005
639.42	0.21858	0.00038
639.46	0.2194	0.00025
639.5	0.2112	0.00033
639.54	0.21089	0.00051
639.58	0.22077	0.00042
639.62	0.21135	0.00034
639.66	0.21206	0.00032
639.7	0.20936	0.00033
639.74	0.20458	0.00033
639.78	0.19903	0.00034
639.82	0.19883	0.00032
639.86	0.20183	0.00027
639.9	0.20855	0.00036
639.94	0.19241	0.00034
639.98	0.18946	0.00052
640.02	0.18213	0.0005
640.06	0.17826	0.00025
640.1	0.18477	0.00052
640.14	0.18503	0.00048
640.18	0.18594	0.00033
640.22	0.17734	0.00038
640.26	0.1641	0.00038
640.3	0.17357	0.00047
640.34	0.17143	0.00044
640.38	0.15942	0.00025
640.42	0.15916	0.00036
640.46	0.16583	0.0002
640.5	0.16675	0.00051
640.54	0.15733	0.00034
640.58	0.16583	0.00038
640.62	0.16222	0.00058
640.66	0.16609	0.00046
640.7	0.15932	0.00061
640.74	0.15911	0.00046
640.78	0.16522	0.00039
640.82	0.16395	0.00041
640.86	0.16894	0.0004
640.9	0.17352	0.00033
640.94	0.18141	0.00038
640.98	0.19358	0.0004
641.02	0.19333	0.0002
641.06	0.2	0.0004
641.1	0.20091	0.00058
641.14	0.22922	0.00033
641.18	0.24898	0.00034
641.22	0.25463	0.00034
641.26	0.26537	0.00046
641.3	0.26496	0.00062
641.34	0.29515	0.0005
641.38	0.32234	0.00061
641.42	0.32728	0.0004
641.46	0.36399	0.00047
641.5	0.40437	0.00046
641.54	0.43369	0.00033
641.58	0.48644	0.00036
641.62	0.48629	0.00047
641.66	0.51744	0.00038
641.7	0.5844	0.00056
641.74	0.63317	0.00036
641.78	0.68602	0.00058
641.82	0.72477	0.00051
641.86	0.75511	0.00025
641.9	0.75465	0.0004
641.94	0.8019	0.00041
641.98	0.83459	0.0004
642.02	0.85271	0.00072
642.06	0.8659	0.00031
642.1	0.86498	0.00025
642.14	0.87237	0.00036
642.18	0.87226	0.0004
642.22	0.88026	0.00025
642.26	0.86035	0.00033
642.3	0.84996	0.00027
642.34	0.83851	0.00047
642.38	0.84243	0.00042
642.42	0.82171	0.00025
642.46	0.76682	0.00052
642.5	0.76682	0.00025
642.54	0.77451	0.00033
642.58	0.71036	0.00033
642.62	0.68149	0.00056
642.66	0.64437	0.00027
642.7	0.59952	0.00056
642.74	0.526	0.00047
642.78	0.52585	0.00033
642.82	0.47519	0.0002
642.86	0.4205	0.00034
642.9	0.37361	0.00033
642.94	0.3366	0.00041
642.98	0.30432	0.0005
643.02	0.267	0.00048
643.06	0.2393	0.00034
643.1	0.2391	0.00042
643.14	0.22057	0.00046
643.18	0.2085	0.00046
643.22	0.19908	0.00047
643.26	0.18498	0.00038
643.3	0.16207	0.00031
643.34	0.16222	0.00042
643.38	0.16232	0.00046
643.42	0.16222	0.00058
643.46	0.15275	0.00047
643.5	0.15743	0.00033
643.54	0.15855	0.00036
643.58	0.14511	0.00041
643.62	0.15367	0.00051
643.66	0.15356	0.00042
643.7	0.15285	0.00033
643.74	0.15081	0.0006
643.78	0.14542	0.00053
643.82	0.14898	0.00053
643.86	0.1527	0.00057
643.9	0.14262	0.00034
643.94	0.15662	0.00058
643.98	0.15657	0.00046
644.02	0.15173	0.00041
644.06	0.14791	0.00039
644.1	0.14913	0.00034
644.14	0.147	0.00038
644.18	0.14903	0.00031
644.22	0.15285	0.00033
644.26	0.15285	0.00033
644.3	0.14822	0.00041
644.34	0.14425	0.00031
644.38	0.14598	0.00055
644.42	0.1471	0.00025
644.46	0.15224	0.00047
644.5	0.15356	0.00048
644.54	0.15356	0.00036
644.58	0.14603	0.00051
644.62	0.14496	0.0005
644.66	0.13844	0.00047
644.7	0.1499	0.00048
644.74	0.15076	0.00034
644.78	0.14974	0.00025
644.82	0.14812	0.00041
644.86	0.14827	0.00033
644.9	0.14918	0.00025
