Waveleght	Intensity	Error
560.64	0.1028	0.00034
560.68	0.10194	0.0004
560.72	0.10647	0.00069
560.76	0.10845	0.00025
560.80	0.10285	0.00041
560.84	0.10947	0.00052
560.88	0.10647	0.00052
560.92	0.10642	0.00047
560.96	0.1112	0.00058
561.0	0.1026	0.00039
561.04	0.11003	0.00061
561.08	0.1113	0.00058
561.12	0.11105	0.00041
561.16	0.11029	0.00042
561.2	0.11029	0.00036
561.24	0.10087	0.00034
561.28	0.10295	0.0004
561.32	0.09995	0.00038
561.36	0.10835	0.00023
561.4	0.10026	0.00025
561.44	0.10845	0.00025
561.48	0.10382	0.00041
561.52	0.10402	0.0005
561.56	0.11034	0.00038
561.6	0.1084	0.00041
561.64	0.09995	0.00038
561.68	0.10845	0.00034
561.72	0.10453	0.00031
561.76	0.10367	0.00036
561.80	0.10382	0.00034
561.84	0.09995	0.00044
561.88	0.10642	0.00034
561.92	0.11217	0.00031
561.96	0.1053	0.00023
562.0	0.10825	0.00036
562.04	0.10453	0.0002
562.08	0.10428	0.0004
562.12	0.1084	0.00041
562.16	0.10637	0.00025
562.2	0.11115	0.0005
562.24	0.1055	0.0006
562.28	0.1056	0.00036
562.32	0.10464	0.00023
562.36	0.10402	0.0002
562.4	0.10382	0.00034
562.44	0.10581	0.00051
562.48	0.1055	0.00046
562.52	0.10194	0.00033
562.56	0.1028	0.00034
562.6	0.10168	0.0005
562.64	0.11029	0.00015
562.68	0.11044	0.00025
562.72	0.10835	0.00046
562.76	0.11044	0.00025
562.80	0.1084	0.00034
562.84	0.10372	0.00044
562.88	0.10754	0.00033
562.92	0.10392	0.00047
562.96	0.10372	0.0005
563.0	0.1056	0.00048
563.04	0.10469	0.00036
563.08	0.09695	0.00053
563.12	0.10733	0.00056
563.16	0.1026	0.00032
563.2	0.11217	0.00038
563.24	0.11105	0.00041
563.28	0.11136	0.00038
563.32	0.11039	0.00023
563.36	0.10937	0.00023
563.4	0.10626	0.00031
563.44	0.11018	0.00048
563.48	0.10647	0.00034
563.52	0.10265	0.00027
563.56	0.10265	0.00048
563.6	0.10265	0.00036
563.64	0.10744	0.00047
563.68	0.10825	0.00042
563.72	0.1029	0.00047
563.76	0.10555	0.00064
563.80	0.11029	0.00027
563.84	0.10189	0.00057
563.88	0.10194	0.00056
563.92	0.10642	0.00047
563.96	0.10469	0.00042
564.0	0.10713	0.00036
564.04	0.10301	0.00044
564.08	0.10896	0.00047
564.12	0.10453	0.00038
564.16	0.10448	0.0004
564.2	0.10464	0.00046
564.24	0.10448	0.00033
564.28	0.1056	0.00036
564.32	0.11008	0.00051
564.36	0.10657	0.0005
564.4	0.10856	0.0004
564.44	0.1084	0.00052
564.48	0.10759	0.00044
564.52	0.10097	0.0002
564.56	0.10749	0.00041
564.6	0.10092	0.00033
564.64	0.10474	0.00044
564.68	0.11298	0.00041
564.72	0.10295	0.0004
564.76	0.10301	0.00059
564.80	0.1055	0.00051
564.84	0.1139	0.00038
564.88	0.10759	0.00038
564.92	0.11624	0.00031
564.96	0.11803	0.00033
565.0	0.11594	0.00044
565.04	0.11599	0.0004
565.08	0.11884	0.00036
565.12	0.11472	0.00031
565.16	0.11976	0.00023
565.2	0.11853	0.00033
565.24	0.12836	0.00041
565.28	0.12622	0.00041
565.32	0.12607	0.00053
565.36	0.12648	0.00036
565.4	0.1275	0.00042
565.44	0.13223	0.00038
565.48	0.14257	0.00041
565.52	0.1331	0.00048
565.56	0.13498	0.00047
565.6	0.14119	0.00031
565.64	0.14134	0.00048
565.68	0.13875	0.00039
565.72	0.15443	0.00044
565.76	0.14313	0.00034
565.80	0.147	0.00031
565.84	0.1555	0.00036
565.88	0.14313	0.00034
565.92	0.14313	0.00041
565.96	0.14313	0.00034
566.0	0.14526	0.00031
566.04	0.15377	0.00034
566.08	0.15081	0.00072
566.12	0.147	0.0005
566.16	0.14236	0.00036
566.2	0.14689	0.00064
566.24	0.14705	0.00033
566.28	0.14257	0.00041
566.32	0.14959	0.0004
566.36	0.13951	0.00047
566.4	0.14043	0.00033
566.44	0.13936	0.00059
566.48	0.14033	0.00042
566.52	0.14063	0.00023
566.56	0.13208	0.00048
566.6	0.14893	0.00023
566.64	0.13228	0.0004
566.68	0.12729	0.00041
566.72	0.12836	0.00041
566.76	0.12892	0.00023
566.80	0.12928	0.00034
566.84	0.13019	0.0005
566.88	0.12984	0.00041
566.92	0.12831	0.00025
566.96	0.11782	0.00048
567.0	0.1139	0.00044
567.04	0.11696	0.0002
567.08	0.11482	0.00032
567.12	0.11487	0.00036
567.16	0.11207	0.00057
567.2	0.11411	0.00034
567.24	0.1056	0.00058
567.28	0.1084	0.00034
567.32	0.10835	0.0004
567.36	0.11395	0.0004
567.4	0.11416	0.0004
