Raman-Spectrum _CHBr3 _aspol001.dat
27/09/2021
15:44:59
_CHBr3
_aspol0 Temp: NON
X in nm	Y Signal 	Error Signal				
625.04000	0.12439	0.00059
625.08000	0.13040	0.00034
625.12000	0.12912	0.00048
625.16000	0.12836	0.00047
625.20000	0.12826	0.00034
625.24000	0.12831	0.00047
625.28000	0.12383	0.00033
625.32000	0.13228	0.00033
625.36000	0.13564	0.00042
625.40000	0.13854	0.00041
625.44000	0.13121	0.00044
625.48000	0.13101	0.00050
625.52000	0.13366	0.00046
625.56000	0.14506	0.00041
625.60000	0.13956	0.00047
625.64000	0.15010	0.00056
625.68000	0.15529	0.00047
625.72000	0.16487	0.00056
625.76000	0.16802	0.00047
625.80000	0.16777	0.00051
625.84000	0.17632	0.00020
625.88000	0.18869	0.00027
625.92000	0.18834	0.00041
625.96000	0.20550	0.00048
626.00000	0.20544	0.00046
626.04000	0.22041	0.00025
626.08000	0.22062	0.00038
626.12000	0.23553	0.00027
626.16000	0.24241	0.00041
626.20000	0.25010	0.00051
626.24000	0.25269	0.00031
626.28000	0.26781	0.00047
626.32000	0.27433	0.00046
626.36000	0.27423	0.00053
626.40000	0.28166	0.00040
626.44000	0.27545	0.00047
626.48000	0.28360	0.00034
626.52000	0.28660	0.00061
626.56000	0.29796	0.00051
626.60000	0.28635	0.00036
626.64000	0.29042	0.00036
626.68000	0.29022	0.00047
626.72000	0.28563	0.00034
626.76000	0.29969	0.00036
626.80000	0.28095	0.00046
626.84000	0.27250	0.00040
626.88000	0.26955	0.00042
626.92000	0.26685	0.00041
626.96000	0.26690	0.00033
627.00000	0.24775	0.00027
627.04000	0.24500	0.00046
627.08000	0.24119	0.00031
627.12000	0.22454	0.00047
627.16000	0.21303	0.00053
627.20000	0.19893	0.00038
627.24000	0.18869	0.00036
627.28000	0.18869	0.00036
627.32000	0.18864	0.00039
627.36000	0.16787	0.00044
627.40000	0.16212	0.00048
627.44000	0.15840	0.00041
627.48000	0.15275	0.00047
627.52000	0.15086	0.00055
627.56000	0.15076	0.00041
627.60000	0.14409	0.00034
627.64000	0.14114	0.00033
627.68000	0.13778	0.00058
627.72000	0.13747	0.00025
627.76000	0.13859	0.00023
627.80000	0.13559	0.00031
627.84000	0.13630	0.00044
627.88000	0.13391	0.00047
627.92000	0.13758	0.00046
627.96000	0.13498	0.00025
628.00000	0.13294	0.00041
628.04000	0.13457	0.00044
628.08000	0.14338	0.00027
628.12000	0.13289	0.00041
628.16000	0.13299	0.00056
628.20000	0.13381	0.00046
628.24000	0.13396	0.00034
628.28000	0.13294	0.00047
628.32000	0.12454	0.00042
628.36000	0.13386	0.00047
628.40000	0.12841	0.00056
628.44000	0.12826	0.00047
628.48000	0.13574	0.00036
628.52000	0.12526	0.00025
628.56000	0.13381	0.00040
628.60000	0.12907	0.00032
628.64000	0.12918	0.00031
628.68000	0.13126	0.00056
628.72000	0.13106	0.00053
628.76000	0.12907	0.00039
628.80000	0.12342	0.00062
628.84000	0.12159	0.00046
628.88000	0.12251	0.00048
628.92000	0.12352	0.00048
628.96000	0.12169	0.00034
629.00000	0.11884	0.00042
629.04000	0.11874	0.00023
629.08000	0.12638	0.00040
629.12000	0.11584	0.00046
629.16000	0.11298	0.00041
629.20000	0.11864	0.00034
629.24000	0.12083	0.00044
629.28000	0.11986	0.00036
629.32000	0.11981	0.00038
629.36000	0.11288	0.00050
629.40000	0.11090	0.00023
629.44000	0.11431	1.38778E-17
629.48000	0.11293	0.00046
629.52000	0.10932	0.00050
629.56000	0.10362	0.00039
629.60000	0.10937	0.00046
629.64000	0.10896	0.00041
629.68000	0.10744	0.00041
629.72000	0.10306	0.00053
629.76000	0.11339	0.00020
629.80000	0.11288	0.00038
629.84000	0.11512	0.00047
629.88000	0.10464	0.00023
629.92000	0.10474	0.00020
629.96000	0.10520	0.00062
630.00000	0.10494	0.00034
630.04000	0.10830	0.00020
630.08000	0.10535	0.00047
630.12000	0.11018	0.00027
630.16000	0.11018	0.00058
630.20000	0.11013	0.00044
630.24000	0.11024	0.00039
630.28000	0.10464	0.00032
630.32000	0.10163	0.00036
630.36000	0.11110	0.00033
630.40000	0.10642	0.00034
630.44000	0.10652	0.00033
630.48000	0.09990	0.00046
630.52000	0.09995	0.00031
630.56000	0.11212	0.00033
630.60000	0.10820	0.00039
630.64000	0.10357	0.00048
630.68000	0.10632	0.00023
630.72000	0.10453	0.00038
630.76000	0.10010	0.00042
630.80000	0.10005	0.00039
630.84000	0.09898	0.00048
630.88000	0.10469	0.00027
630.92000	0.10840	0.00025
630.96000	0.10754	0.00033
631.00000	0.10560	0.00058
631.04000	0.10199	0.00044
631.08000	0.10178	0.00057
631.12000	0.10112	0.00036
631.16000	0.10723	0.00048
631.20000	0.10657	0.00031
631.24000	0.10988	0.00033
631.28000	0.10657	0.00031
631.32000	0.11039	0.00023
631.36000	0.10932	0.00038
631.40000	0.10932	0.00071
631.44000	0.10759	0.00044
631.48000	0.11095	0.00041
631.52000	0.11034	0.00050
631.56000	0.11222	0.00027
631.60000	0.12072	0.00041
631.64000	0.10927	0.00036
631.68000	0.10912	0.00038
631.72000	0.11227	0.00056
631.76000	0.10723	0.00048
631.80000	0.12088	0.00027
631.84000	0.11797	0.00044
631.88000	0.11614	0.00041
631.92000	0.12358	0.00059
631.96000	0.11502	0.00052
632.00000	0.11502	0.00034
632.04000	0.12470	0.00041
632.08000	0.11309	0.00041
632.12000	0.12261	0.00040
632.16000	0.12449	0.00051
632.20000	0.12352	0.00042
632.24000	0.12419	0.00041
632.28000	0.12439	0.00044
632.32000	0.12464	0.00023
632.36000	0.13045	0.00040
632.40000	0.12907	0.00032
632.44000	0.12582	0.00057
632.48000	0.12918	0.00050
632.52000	0.12856	0.00032
632.56000	0.12836	0.00041
632.60000	0.12439	0.00059
632.64000	0.13299	0.00051
632.68000	0.12551	0.00032
632.72000	0.12235	0.00020
632.76000	0.12434	0.00033
632.80000	0.12261	0.00046
632.84000	0.12429	0.00034
632.88000	0.12470	0.00025
632.92000	0.12118	0.00034
632.96000	0.11696	0.00031
633.00000	0.11889	0.00051
633.04000	0.12149	0.00042
633.08000	0.11517	0.00046
633.12000	0.12062	0.00034
633.16000	0.12047	0.00027
633.20000	0.11212	0.00033
633.24000	0.11609	0.00052
633.28000	0.11848	0.00044
633.32000	0.11090	0.00040
633.36000	0.11222	0.00027
633.40000	0.11797	0.00055
633.44000	0.11675	0.00020
633.48000	0.11675	0.00050
633.52000	0.10550	0.00051
633.56000	0.11110	0.00040
633.60000	0.10530	0.00046
633.64000	0.10469	0.00048
633.68000	0.10555	0.00038
633.72000	0.10906	0.00040
633.76000	0.10917	0.00036
633.80000	0.10733	0.00046
633.84000	0.09980	0.00041
633.88000	0.10652	0.00033
633.92000	0.10626	0.00020
633.96000	0.10194	0.00040
634.00000	0.10209	0.00039
634.04000	0.10178	0.00057
634.08000	0.10265	0.00048
634.12000	0.10642	0.00047
634.16000	0.10749	0.00034
634.20000	0.10754	0.00023
634.24000	0.10387	0.00025
634.28000	0.10453	0.00031
634.32000	0.09781	0.00025
634.36000	0.09807	0.00027
634.40000	0.10922	0.00046
634.44000	0.10189	0.00061
634.48000	0.10199	0.00038
634.52000	0.10927	0.00042
634.56000	0.10464	0.00046
634.60000	0.10173	0.00040
634.64000	0.10194	0.00040
634.68000	0.11039	0.00046
634.72000	0.10178	0.00041
634.76000	0.11212	0.00033
634.80000	0.10535	0.00025
634.84000	0.10275	0.00051
634.88000	0.10932	0.00038
634.92000	0.10922	0.00046
634.96000	0.10464	0.00039
635.00000	0.10474	0.00031
635.04000	0.10545	0.00052
635.08000	0.10362	0.00039
635.12000	0.10922	0.00046
635.16000	0.10647	0.00047
635.20000	0.11105	0.00041
635.24000	0.11105	0.00041
635.28000	0.10820	0.00039
635.32000	0.09888	0.00040
635.36000	0.10464	0.00023
635.40000	0.10728	0.00055
635.44000	0.11237	0.00020
635.48000	0.10382	0.00041
635.52000	0.10382	0.00047
635.56000	0.10189	0.00041
635.60000	0.10570	0.00036
635.64000	0.10565	0.00039
635.68000	0.10372	0.00038
635.72000	0.10540	0.00041
635.76000	0.10825	0.00036
635.80000	0.10657	0.00044
635.84000	0.10642	0.00052
635.88000	0.10560	0.00053
635.92000	0.09985	0.00047
635.96000	0.10372	0.00068
636.00000	0.09949	0.00042
636.04000	0.10723	0.00042
636.08000	0.10545	0.00052
636.12000	0.10576	0.00044
636.16000	0.10183	0.00061
636.20000	0.10362	0.00056
636.24000	0.10387	0.00041
636.28000	0.10352	0.00050
636.32000	0.10825	0.00042
636.36000	0.10545	0.00052
636.40000	0.10545	0.00047
636.44000	0.10749	0.00061
636.48000	0.10647	0.00034
636.52000	0.10392	0.00041
636.56000	0.10861	0.00031
636.60000	0.10367	0.00036
636.64000	0.10285	0.00034
636.68000	0.10265	0.00036
636.72000	0.10270	0.00038
636.76000	0.09807	0.00042
636.80000	0.10769	0.00023
636.84000	0.10382	0.00052
636.88000	0.10540	0.00052
636.92000	0.11298	0.00041
636.96000	0.10555	0.00055
637.00000	0.10545	0.00034
637.04000	0.10672	0.00048
637.08000	0.10464	0.00056
637.12000	0.10194	0.00051
637.16000	0.10662	0.00048
637.20000	0.10306	0.00036
637.24000	0.10458	0.00027
637.28000	0.10443	0.00034
637.32000	0.10759	0.00038
637.36000	0.10275	0.00060
637.40000	0.10555	0.00055
637.44000	0.10458	0.00048
637.48000	0.10183	0.00047
