Raman-Spectrum _CHBr3 _spol9001.dat
27/09/2021
16:18:21
_CHBr3
_spol90 Temp: NON
X in nm	Y Signal 	Error Signal				
560.04000	0.10280	0.00034
560.08000	0.10194	0.00040
560.12000	0.10647	0.00069
560.16000	0.10845	0.00025
560.20000	0.10285	0.00041
560.24000	0.10947	0.00052
560.28000	0.10647	0.00052
560.32000	0.10642	0.00047
560.36000	0.11120	0.00058
560.40000	0.10260	0.00039
560.44000	0.11003	0.00061
560.48000	0.11130	0.00058
560.52000	0.11105	0.00041
560.56000	0.11029	0.00042
560.60000	0.11029	0.00036
560.64000	0.10087	0.00034
560.68000	0.10295	0.00040
560.72000	0.09995	0.00038
560.76000	0.10835	0.00023
560.80000	0.10026	0.00025
560.84000	0.10845	0.00025
560.88000	0.10382	0.00041
560.92000	0.10402	0.00050
560.96000	0.11034	0.00038
561.00000	0.10840	0.00041
561.04000	0.09995	0.00038
561.08000	0.10845	0.00034
561.12000	0.10453	0.00031
561.16000	0.10367	0.00036
561.20000	0.10382	0.00034
561.24000	0.09995	0.00044
561.28000	0.10642	0.00034
561.32000	0.11217	0.00031
561.36000	0.10530	0.00023
561.40000	0.10825	0.00036
561.44000	0.10453	0.00020
561.48000	0.10428	0.00040
561.52000	0.10840	0.00041
561.56000	0.10637	0.00025
561.60000	0.11115	0.00050
561.64000	0.10550	0.00060
561.68000	0.10560	0.00036
561.72000	0.10464	0.00023
561.76000	0.10402	0.00020
561.80000	0.10382	0.00034
561.84000	0.10581	0.00051
561.88000	0.10550	0.00046
561.92000	0.10194	0.00033
561.96000	0.10280	0.00034
562.00000	0.10168	0.00050
562.04000	0.11029	0.00015
562.08000	0.11044	0.00025
562.12000	0.10835	0.00046
562.16000	0.11044	0.00025
562.20000	0.10840	0.00034
562.24000	0.10372	0.00044
562.28000	0.10754	0.00033
562.32000	0.10392	0.00047
562.36000	0.10372	0.00050
562.40000	0.10560	0.00048
562.44000	0.10469	0.00036
562.48000	0.09695	0.00053
562.52000	0.10733	0.00056
562.56000	0.10260	0.00032
562.60000	0.11217	0.00038
562.64000	0.11105	0.00041
562.68000	0.11136	0.00038
562.72000	0.11039	0.00023
562.76000	0.10937	0.00023
562.80000	0.10626	0.00031
562.84000	0.11018	0.00048
562.88000	0.10647	0.00034
562.92000	0.10265	0.00027
562.96000	0.10265	0.00048
563.00000	0.10265	0.00036
563.04000	0.10744	0.00047
563.08000	0.10825	0.00042
563.12000	0.10290	0.00047
563.16000	0.10555	0.00064
563.20000	0.11029	0.00027
563.24000	0.10189	0.00057
563.28000	0.10194	0.00056
563.32000	0.10642	0.00047
563.36000	0.10469	0.00042
563.40000	0.10713	0.00036
563.44000	0.10301	0.00044
563.48000	0.10896	0.00047
563.52000	0.10453	0.00038
563.56000	0.10448	0.00040
563.60000	0.10464	0.00046
563.64000	0.10448	0.00033
563.68000	0.10560	0.00036
563.72000	0.11008	0.00051
563.76000	0.10657	0.00050
563.80000	0.10856	0.00040
563.84000	0.10840	0.00052
563.88000	0.10759	0.00044
563.92000	0.10097	0.00020
563.96000	0.10749	0.00041
564.00000	0.10092	0.00033
564.04000	0.10474	0.00044
564.08000	0.11298	0.00041
564.12000	0.10295	0.00040
564.16000	0.10301	0.00059
564.20000	0.10550	0.00051
564.24000	0.11390	0.00038
564.28000	0.10759	0.00038
564.32000	0.11624	0.00031
564.36000	0.11803	0.00033
564.40000	0.11594	0.00044
564.44000	0.11599	0.00040
564.48000	0.11884	0.00036
564.52000	0.11472	0.00031
564.56000	0.11976	0.00023
564.60000	0.11853	0.00033
564.64000	0.12836	0.00041
564.68000	0.12622	0.00041
564.72000	0.12607	0.00053
564.76000	0.12648	0.00036
564.80000	0.12750	0.00042
564.84000	0.13223	0.00038
564.88000	0.14257	0.00041
564.92000	0.13310	0.00048
564.96000	0.13498	0.00047
565.00000	0.14119	0.00031
565.04000	0.14134	0.00048
565.08000	0.13875	0.00039
565.12000	0.15443	0.00044
565.16000	0.14313	0.00034
565.20000	0.14700	0.00031
565.24000	0.15550	0.00036
565.28000	0.14313	0.00034
565.32000	0.14313	0.00041
565.36000	0.14313	0.00034
565.40000	0.14526	0.00031
565.44000	0.15377	0.00034
565.48000	0.15081	0.00072
565.52000	0.14700	0.00050
565.56000	0.14236	0.00036
565.60000	0.14689	0.00064
565.64000	0.14705	0.00033
565.68000	0.14257	0.00041
565.72000	0.14959	0.00040
565.76000	0.13951	0.00047
565.80000	0.14043	0.00033
565.84000	0.13936	0.00059
565.88000	0.14033	0.00042
565.92000	0.14063	0.00023
565.96000	0.13208	0.00048
566.00000	0.14893	0.00023
566.04000	0.13228	0.00040
566.08000	0.12729	0.00041
566.12000	0.12836	0.00041
566.16000	0.12892	0.00023
566.20000	0.12928	0.00034
566.24000	0.13019	0.00050
566.28000	0.12984	0.00041
566.32000	0.12831	0.00025
566.36000	0.11782	0.00048
566.40000	0.11390	0.00044
566.44000	0.11696	0.00020
566.48000	0.11482	0.00032
566.52000	0.11487	0.00036
566.56000	0.11207	0.00057
566.60000	0.11411	0.00034
566.64000	0.10560	0.00058
566.68000	0.10840	0.00034
566.72000	0.10835	0.00040
566.76000	0.11395	0.00040
566.80000	0.11416	0.00040
566.84000	0.11227	0.00023
566.88000	0.10728	0.00038
566.92000	0.10917	0.00048
566.96000	0.10637	0.00025
567.00000	0.10265	0.00042
567.04000	0.10754	0.00033
567.08000	0.10570	0.00042
567.12000	0.10555	0.00044
567.16000	0.10738	0.00041
567.20000	0.10550	0.00046
567.24000	0.10265	0.00027
567.28000	0.11105	0.00047
567.32000	0.10372	0.00038
567.36000	0.10764	0.00053
567.40000	0.10738	0.00052
567.44000	0.10733	0.00051
567.48000	0.10657	0.00050
567.52000	0.11563	0.00034
567.56000	0.11502	0.00057
567.60000	0.11436	0.00027
567.64000	0.11589	0.00027
567.68000	0.11589	0.00027
567.72000	0.11385	0.00036
567.76000	0.11696	0.00038
567.80000	0.11314	0.00046
567.84000	0.12042	0.00039
567.88000	0.12459	0.00020
567.92000	0.12016	0.00041
567.96000	0.12724	0.00047
568.00000	0.12729	0.00025
568.04000	0.12449	0.00039
568.08000	0.12729	0.00052
568.12000	0.13396	0.00041
568.16000	0.12923	0.00040
568.20000	0.13849	0.00025
568.24000	0.13921	0.00027
568.28000	0.13936	0.00031
568.32000	0.14053	0.00069
568.36000	0.13574	0.00042
568.40000	0.13946	0.00034
568.44000	0.13661	0.00031
568.48000	0.14806	0.00040
568.52000	0.13956	0.00025
568.56000	0.13982	0.00042
568.60000	0.14134	0.00036
568.64000	0.14710	0.00034
568.68000	0.13773	0.00046
568.72000	0.14740	0.00046
568.76000	0.14221	0.00044
568.80000	0.14801	0.00038
568.84000	0.14521	0.00046
568.88000	0.14501	0.00040
568.92000	0.13783	0.00044
568.96000	0.13289	0.00034
569.00000	0.12928	0.00052
569.04000	0.13004	0.00036
569.08000	0.13371	0.00048
569.12000	0.13126	0.00046
569.16000	0.13111	0.00068
569.20000	0.12449	0.00051
569.24000	0.12699	0.00015
569.28000	0.12337	0.00038
569.32000	0.12256	0.00031
569.36000	0.12164	0.00034
569.40000	0.11685	0.00032
569.44000	0.11517	0.00033
569.48000	0.11482	0.00051
569.52000	0.12332	0.00023
569.56000	0.10917	0.00027
569.60000	0.11599	0.00046
569.64000	0.10927	0.00042
569.68000	0.11207	0.00025
569.72000	0.10642	0.00041
569.76000	0.10642	0.00041
569.80000	0.10637	0.00034
569.84000	0.11212	0.00023
569.88000	0.11217	0.00050
569.92000	0.10835	0.00023
569.96000	0.10535	0.00047
570.00000	0.10962	0.00038
570.04000	0.10912	0.00059
570.08000	0.10749	0.00047
570.12000	0.10183	0.00041
570.16000	0.10270	0.00044
570.20000	0.10637	0.00034
570.24000	0.10367	0.00042
570.28000	0.10728	0.00068
570.32000	0.11105	0.00057
570.36000	0.11100	0.00047
570.40000	0.10932	0.00055
570.44000	0.11762	0.00041
570.48000	0.10535	0.00047
570.52000	0.10830	0.00044
570.56000	0.10830	0.00020
570.60000	0.11034	0.00059
570.64000	0.11039	0.00051
570.68000	0.10637	0.00034
570.72000	0.10728	0.00050
570.76000	0.10362	0.00032
570.80000	0.10810	0.00020
570.84000	0.11497	0.00033
570.88000	0.11100	0.00025
570.92000	0.11110	0.00046
570.96000	0.11971	0.00052
571.00000	0.11090	0.00023
571.04000	0.11115	0.00038
571.08000	0.11309	0.00052
571.12000	0.11304	0.00041
571.16000	0.11024	0.00039
571.20000	0.10906	0.00046
571.24000	0.10932	0.00044
571.28000	0.12245	0.00032
571.32000	0.11635	0.00032
571.36000	0.11298	0.00034
571.40000	0.11589	0.00062
571.44000	0.11976	0.00051
571.48000	0.11955	0.00046
571.52000	0.11976	0.00056
571.56000	0.11971	0.00061
571.60000	0.11212	0.00023
571.64000	0.12144	0.00051
571.68000	0.11691	0.00027
571.72000	0.11502	0.00041
571.76000	0.11283	0.00042
571.80000	0.11894	0.00027
571.84000	0.11869	0.00047
571.88000	0.11604	0.00034
571.92000	0.12042	0.00051
571.96000	0.12062	0.00034
572.00000	0.11298	0.00034
572.04000	0.11400	0.00025
572.08000	0.11416	0.00046
572.12000	0.11405	0.00047
572.16000	0.11207	0.00034
572.20000	0.11421	0.00044
572.24000	0.11207	0.00041
572.28000	0.11288	0.00031
572.32000	0.11691	0.00027
572.36000	0.11482	0.00060
572.40000	0.11482	0.00046
572.44000	0.10845	0.00025
572.48000	0.10754	0.00023
572.52000	0.10642	0.00041
572.56000	0.10464	0.00032
572.60000	0.10525	0.00055
572.64000	0.10082	0.00052
572.68000	0.10749	0.00052
572.72000	0.10738	0.00061
572.76000	0.10642	0.00041
572.80000	0.10474	0.00020
572.84000	0.10932	0.00020
572.88000	0.10158	0.00064
572.92000	0.10469	0.00027
572.96000	0.10942	0.00034
573.00000	0.10932	0.00038
573.04000	0.11018	0.00036
573.08000	0.10835	0.00023
573.12000	0.11691	0.00036
573.16000	0.11136	0.00055
573.20000	0.11115	0.00044
573.24000	0.10295	0.00046
573.28000	0.10285	0.00041
573.32000	0.10458	0.00036
573.36000	0.11008	0.00051
573.40000	0.11003	0.00041
573.44000	0.10550	0.00046
573.48000	0.11013	0.00055
573.52000	0.10922	0.00046
573.56000	0.11120	0.00036
573.60000	0.11141	0.00033
573.64000	0.11772	0.00040
573.68000	0.11034	0.00031
573.72000	0.11691	0.00027
573.76000	0.11222	0.00036
573.80000	0.11502	0.00052
573.84000	0.12164	0.00041
573.88000	0.12164	0.00065
573.92000	0.11960	0.00047
573.96000	0.12546	0.00036
574.00000	0.12724	0.00052
574.04000	0.12520	0.00041
574.08000	0.12648	0.00042
574.12000	0.12083	0.00031
574.16000	0.13030	0.00057
574.20000	0.12994	0.00040
574.24000	0.13243	0.00057
574.28000	0.14033	0.00058
574.32000	0.13386	0.00047
574.36000	0.14409	0.00034
574.40000	0.13345	0.00041
574.44000	0.13330	0.00040
574.48000	0.13299	0.00040
574.52000	0.13279	0.00033
574.56000	0.13605	0.00046
574.60000	0.13987	0.00020
574.64000	0.13396	0.00052
574.68000	0.13401	0.00033
574.72000	0.13605	0.00033
574.76000	0.13585	0.00040
574.80000	0.12760	0.00053
574.84000	0.14073	0.00027
574.88000	0.12912	0.00048
574.92000	0.13223	0.00038
574.96000	0.13503	0.00040
575.00000	0.13014	0.00048
575.04000	0.14099	0.00041
575.08000	0.14124	0.00048
575.12000	0.13742	0.00034
575.16000	0.14318	0.00046
575.20000	0.13223	0.00044
575.24000	0.13483	0.00040
575.28000	0.14333	0.00046
575.32000	0.14603	0.00033
575.36000	0.14613	0.00047
575.40000	0.14781	0.00050
575.44000	0.14893	0.00046
575.48000	0.14700	0.00044
575.52000	0.14409	0.00052
575.56000	0.15921	0.00055
575.60000	0.15937	0.00047
575.64000	0.16140	0.00041
575.68000	0.16130	0.00051
575.72000	0.16303	0.00040
575.76000	0.17240	0.00042
575.80000	0.17622	0.00034
575.84000	0.16772	0.00042
575.88000	0.17627	0.00046
575.92000	0.18661	0.00023
575.96000	0.18645	0.00040
576.00000	0.18376	0.00041
576.04000	0.18768	0.00048
576.08000	0.18386	0.00025
576.12000	0.19236	0.00033
576.16000	0.18498	0.00044
576.20000	0.17347	0.00020
576.24000	0.17362	0.00025
576.28000	0.18569	0.00044
576.32000	0.17449	0.00020
576.36000	0.18009	0.00038
576.40000	0.18284	0.00047
576.44000	0.17810	0.00033
576.48000	0.17647	0.00048
576.52000	0.16960	0.00034
576.56000	0.16965	0.00040
576.60000	0.16507	0.00033
576.64000	0.15545	0.00044
576.68000	0.14908	0.00033
576.72000	0.15647	0.00044
576.76000	0.14526	0.00050
576.80000	0.14628	0.00044
576.84000	0.14618	0.00041
576.88000	0.13585	0.00046
576.92000	0.13600	0.00025
576.96000	0.13203	0.00044
577.00000	0.12831	0.00041
577.04000	0.12541	0.00031
577.08000	0.12510	0.00050
577.12000	0.12531	0.00025
577.16000	0.11986	0.00042
577.20000	0.11039	0.00046
577.24000	0.11859	0.00041
577.28000	0.11125	0.00046
577.32000	0.10968	0.00042
577.36000	0.10845	0.00025
577.40000	0.11044	0.00034
577.44000	0.11018	0.00027
577.48000	0.10947	0.00047
577.52000	0.10565	0.00056
577.56000	0.10626	0.00031
577.60000	0.10479	0.00023
577.64000	0.10749	0.00034
577.68000	0.10723	0.00027
577.72000	0.10733	0.00040
577.76000	0.10565	0.00046
577.80000	0.10835	0.00033
577.84000	0.10464	0.00032
577.88000	0.10906	0.00023
577.92000	0.10560	0.00053
577.96000	0.10458	0.00036
578.00000	0.10840	0.00025
578.04000	0.10861	0.00038
578.08000	0.10474	0.00020
578.12000	0.10565	0.00039
578.16000	0.10947	0.00052
578.20000	0.10565	0.00051
578.24000	0.10458	0.00027
578.28000	0.10856	0.00033
578.32000	0.10845	0.00041
578.36000	0.10382	0.00057
578.40000	0.10443	0.00025
578.44000	0.10066	0.00038
578.48000	0.10927	0.00042
578.52000	0.10275	0.00040
578.56000	0.10433	0.00034
578.60000	0.10464	0.00046
578.64000	0.10469	0.00015
578.68000	0.10835	0.00033
578.72000	0.10397	0.00040
578.76000	0.10295	0.00051
578.80000	0.10275	0.00033
578.84000	0.10494	0.00034
578.88000	0.10102	0.00042
578.92000	0.10071	0.00040
578.96000	0.10749	0.00034
579.00000	0.11049	0.00041
579.04000	0.10626	0.00050
579.08000	0.11278	0.00032
579.12000	0.11691	0.00027
579.16000	0.11222	0.00036
579.20000	0.11207	0.00041
579.24000	0.11512	0.00047
579.28000	0.11502	0.00047
579.32000	0.11701	0.00033
579.36000	0.11599	0.00056
579.40000	0.11691	0.00042
579.44000	0.11803	0.00051
579.48000	0.11803	0.00056
579.52000	0.11696	0.00044
579.56000	0.11497	0.00040
579.60000	0.12179	0.00040
579.64000	0.11594	0.00038
579.68000	0.12164	0.00034
579.72000	0.12332	0.00056
579.76000	0.11859	0.00052
579.80000	0.11899	0.00059
579.84000	0.12470	0.00041
579.88000	0.12734	0.00041
579.92000	0.12907	0.00032
579.96000	0.12429	0.00047
580.00000	0.12368	0.00041
580.04000	0.12337	0.00038
580.08000	0.12347	0.00039
580.12000	0.13004	0.00042
580.16000	0.12042	0.00039
580.20000	0.13671	0.00039
580.24000	0.11589	0.00036
580.28000	0.13024	0.00046
580.32000	0.12062	0.00057
580.36000	0.12841	0.00040
580.40000	0.12836	0.00047
580.44000	0.12704	0.00023
580.48000	0.12144	0.00032
580.52000	0.12933	0.00034
580.56000	0.13310	0.00036
580.60000	0.13198	0.00046
580.64000	0.13101	0.00038
580.68000	0.13065	0.00042
580.72000	0.13941	0.00051
580.76000	0.13854	0.00047
580.80000	0.13310	0.00042
580.84000	0.14806	0.00046
580.88000	0.13956	0.00052
580.92000	0.14328	0.00048
580.96000	0.14323	0.00055
581.00000	0.15081	0.00033
581.04000	0.15076	0.00025
581.08000	0.15086	0.00038
581.12000	0.15718	0.00031
581.16000	0.15855	0.00048
581.20000	0.16298	0.00041
581.24000	0.16059	0.00036
581.28000	0.16018	0.00048
581.32000	0.16410	0.00031
581.36000	0.16232	0.00046
581.40000	0.16700	0.00034
581.44000	0.17454	0.00056
581.48000	0.17159	0.00041
581.52000	0.17622	0.00034
581.56000	0.17632	0.00050
581.60000	0.18264	0.00044
581.64000	0.17642	0.00032
581.68000	0.18177	0.00034
581.72000	0.18757	0.00036
581.76000	0.17892	0.00042
581.80000	0.17724	0.00034
581.84000	0.17688	0.00058
581.88000	0.17612	0.00052
581.92000	0.17174	0.00050
581.96000	0.16599	0.00065
582.00000	0.16492	0.00057
582.04000	0.16130	0.00051
582.08000	0.15270	0.00034
582.12000	0.15092	0.00042
582.16000	0.15051	0.00042
582.20000	0.15708	0.00039
582.24000	0.15265	0.00046
582.28000	0.14328	0.00036
582.32000	0.14323	0.00050
582.36000	0.14720	0.00047
582.40000	0.13305	0.00038
582.44000	0.13279	0.00046
582.48000	0.13488	0.00034
582.52000	0.13483	0.00033
582.56000	0.12846	0.00031
582.60000	0.13284	0.00052
582.64000	0.12342	0.00053
582.68000	0.12154	0.00055
582.72000	0.11879	0.00044
582.76000	0.11879	0.00071
582.80000	0.11859	0.00025
582.84000	0.11492	0.00044
582.88000	0.11482	0.00039
582.92000	0.11217	0.00031
582.96000	0.10637	0.00025
583.00000	0.11039	0.00033
583.04000	0.11024	0.00039
583.08000	0.10448	0.00033
583.12000	0.10632	0.00046
583.16000	0.10749	0.00052
583.20000	0.10744	0.00041
583.24000	0.09995	0.00044
583.28000	0.10362	0.00032
583.32000	0.10367	0.00015
583.36000	0.10367	0.00036
583.40000	0.10560	0.00053
583.44000	0.10555	0.00038
583.48000	0.10392	0.00069
583.52000	0.10204	0.00036
583.56000	0.10484	0.00025
583.60000	0.10744	0.00047
583.64000	0.10738	0.00041
583.68000	0.10168	0.00050
583.72000	0.10540	0.00041
583.76000	0.10219	0.00020
583.80000	0.10754	0.00033
583.84000	0.10652	0.00033
583.88000	0.11130	0.00036
583.92000	0.11095	0.00065
583.96000	0.10952	0.00052
584.00000	0.11212	0.00046
584.04000	0.10927	0.00027
584.08000	0.11293	0.00033
584.12000	0.11731	0.00053
584.16000	0.11833	0.00036
584.20000	0.10922	0.00039
584.24000	0.10947	0.00025
584.28000	0.11971	0.00034
584.32000	0.11884	0.00042
584.36000	0.11314	0.00040
584.40000	0.11675	0.00038
584.44000	0.12342	0.00048
584.48000	0.12638	0.00046
584.52000	0.12632	0.00034
584.56000	0.12734	0.00052
584.60000	0.12846	0.00038
584.64000	0.13014	0.00053
584.68000	0.12149	0.00053
584.72000	0.13299	0.00023
584.76000	0.13747	0.00025
584.80000	0.13768	0.00027
584.84000	0.13493	0.00025
584.88000	0.13773	0.00060
584.92000	0.13758	0.00046
584.96000	0.13498	0.00025
585.00000	0.13411	0.00027
585.04000	0.13742	0.00034
585.08000	0.13305	0.00044
585.12000	0.13294	0.00025
585.16000	0.13203	0.00050
585.20000	0.12999	0.00038
585.24000	0.12434	0.00023
585.28000	0.12836	0.00041
585.32000	0.12912	0.00036
585.36000	0.12164	0.00061
585.40000	0.12144	0.00023
585.44000	0.11884	0.00062
585.48000	0.12897	0.00044
585.52000	0.12256	0.00038
585.56000	0.11680	0.00036
585.60000	0.11813	0.00057
585.64000	0.12439	0.00020
585.68000	0.12434	0.00056
585.72000	0.11991	0.00032
585.76000	0.11701	0.00033
585.80000	0.11003	0.00041
585.84000	0.11115	0.00038
585.88000	0.11787	0.00032
585.92000	0.11115	0.00059
585.96000	0.11777	0.00038
586.00000	0.11762	0.00041
586.04000	0.11701	0.00023
586.08000	0.11884	0.00027
586.12000	0.12632	0.00047
586.16000	0.12174	0.00041
586.20000	0.12144	0.00046
586.24000	0.12424	0.00025
586.28000	0.12449	0.00046
586.32000	0.13019	0.00031
586.36000	0.13299	0.00023
586.40000	0.13646	0.00034
586.44000	0.13666	0.00015
586.48000	0.13870	0.00036
586.52000	0.14598	0.00044
586.56000	0.14694	0.00048
586.60000	0.14710	0.00047
586.64000	0.13844	0.00034
586.68000	0.14338	0.00036
586.72000	0.15453	0.00032
586.76000	0.15071	0.00025
586.80000	0.16110	0.00048
586.84000	0.16202	0.00033
586.88000	0.16207	0.00031
586.92000	0.16202	0.00040
586.96000	0.16680	0.00053
587.00000	0.16792	0.00033
587.04000	0.16695	0.00041
587.08000	0.16884	0.00036
587.12000	0.17072	0.00044
587.16000	0.17062	0.00041
587.20000	0.16874	0.00042
587.24000	0.16792	0.00023
587.28000	0.16492	0.00052
587.32000	0.16772	0.00027
587.36000	0.16207	0.00031
587.40000	0.16863	0.00051
587.44000	0.17133	0.00046
587.48000	0.17138	0.00036
587.52000	0.15932	0.00025
587.56000	0.16212	0.00036
587.60000	0.16482	0.00031
587.64000	0.15260	0.00055
587.68000	0.14725	0.00040
587.72000	0.13961	0.00056
587.76000	0.13936	0.00044
587.80000	0.14623	0.00040
