Waveleght	Intensity	Error
625.43	0.10392	0.00034
625.48	0.09506	0.00055
625.52	0.10173	0.0006
625.56	0.10183	0.00052
625.6	0.10525	0.00038
625.64	0.1	0.00036
625.68	0.10453	0.00031
625.72	0.10443	0.00041
625.76	0.09802	0.0006
625.8	0.1084	0.00047
625.84	0.0942	0.00041
625.88	0.10469	0.00027
625.92	0.10189	0.00047
625.95	0.10464	0.00032
626.0	0.10469	0.00036
626.04	0.10637	0.00025
626.07	0.10362	0.00051
626.12	0.10265	0.00042
626.16	0.0999	0.0004
626.19	0.10275	0.0006
626.24	0.10458	0.00027
626.28	0.10479	0.00051
626.31	0.1001	0.00036
626.36	0.10372	0.00031
626.4	0.1084	0.00034
626.43	0.09903	0.00046
626.48	0.10183	0.00047
626.52	0.11492	0.00044
626.56	0.10632	0.00033
626.6	0.10632	0.00051
626.64	0.10642	0.00025
626.68	0.10346	0.00051
626.72	0.10377	0.00033
626.76	0.1025	0.0005
626.8	0.10285	0.00041
626.84	0.10535	0.00047
626.88	0.10525	0.00044
626.92	0.10183	0.00065
626.95	0.10372	0.00031
627.0	0.10392	0.00034
627.04	0.10071	0.00033
627.07	0.10922	0.00039
627.12	0.1056	0.00062
627.16	0.10173	0.00056
627.19	0.10194	0.0006
627.24	0.10896	0.00025
627.28	0.10738	0.00047
627.31	0.1056	0.00036
627.36	0.10912	0.00055
627.4	0.10616	0.00032
627.43	0.10209	0.00046
627.48	0.10189	0.00041
627.52	0.10774	0.00036
627.56	0.1055	0.00033
627.6	0.10947	0.00025
627.64	0.10178	0.00047
627.68	0.10458	0.00036
627.72	0.10825	0.00015
627.76	0.10835	0.00033
627.8	0.10738	0.00034
627.84	0.10453	0.0005
627.88	0.10657	0.00044
627.92	0.10856	0.0004
627.95	0.11136	0.00044
628.0	0.10372	0.00038
628.04	0.10744	0.00041
628.07	0.10749	0.00047
628.12	0.10906	0.00065
628.16	0.1082	0.0
628.19	0.11115	0.00038
628.24	0.11487	0.00036
628.28	0.11085	0.00038
628.31	0.11115	0.00038
628.36	0.11105	0.00047
628.4	0.11777	0.00038
628.43	0.11024	0.00039
628.48	0.10942	0.00052
628.52	0.1113	0.00036
628.56	0.11691	0.00048
628.6	0.11273	0.00027
628.64	0.11319	0.00038
628.68	0.11008	0.0004
628.72	0.12256	0.00038
628.76	0.11222	0.00027
628.8	0.11293	0.00046
628.84	0.12098	0.00036
628.88	0.12139	0.00036
628.92	0.11207	0.00025
628.95	0.11197	0.00025
629.0	0.11696	0.00031
629.04	0.11685	0.00039
629.07	0.11889	0.00046
629.12	0.1195	0.00055
629.16	0.12154	0.0002
629.19	0.10932	0.0005
629.24	0.10937	0.00033
629.28	0.11864	0.00034
629.31	0.11757	0.00034
629.36	0.11558	0.00047
629.4	0.11039	0.0004
629.43	0.11497	0.00046
629.48	0.11309	0.00041
629.52	0.11309	0.00047
629.56	0.11324	0.00042
629.6	0.11125	0.00032
629.64	0.11675	0.00038
629.68	0.10932	0.00044
629.72	0.10927	0.00053
629.76	0.1109	0.00046
629.8	0.10744	0.00041
629.84	0.10759	0.00044
629.88	0.10632	0.0004
629.92	0.10906	0.00046
629.95	0.11095	0.00052
630.0	0.10576	0.00038
630.04	0.10657	0.00038
630.07	0.10372	0.00031
630.12	0.10377	0.00046
630.16	0.10245	0.0004
630.19	0.1055	0.00056
630.24	0.1028	0.00025
630.28	0.0999	0.00033
630.31	0.10647	0.00041
630.36	0.1	0.00036
630.4	0.09898	0.00048
630.43	0.09909	0.00036
630.48	0.09802	0.00039
630.52	0.10178	0.00025
630.56	0.09995	0.00044
630.6	0.10061	0.00042
630.64	0.09791	0.00031
630.68	0.10616	0.00032
630.72	0.10647	0.00041
630.76	0.10377	0.0004
630.8	0.09883	0.00047
630.84	0.10082	0.00025
630.88	0.09985	0.00025
630.92	0.10474	0.00055
630.95	0.10097	0.0005
631.0	0.1	0.00042
631.04	0.09975	0.00057
631.07	0.10632	0.0004
631.12	0.10005	0.00039
631.16	0.09506	0.00031
631.19	0.1026	0.00032
631.24	0.10178	0.00047
631.28	0.11018	0.00042
631.31	0.11003	0.00047
631.36	0.09939	0.00046
631.4	0.10194	0.00046
631.43	0.1	0.00036
631.48	0.10555	0.00031
631.52	0.09812	0.0002
631.56	0.10647	0.00041
631.6	0.10626	0.0002
631.64	0.09338	0.00027
631.68	0.10759	0.0005
631.72	0.10662	0.00036
631.76	0.1025	0.00031
631.8	0.10728	0.00044
631.84	0.09888	0.00033
631.88	0.10545	0.00047
631.92	0.10555	0.00031
631.95	0.10759	0.0005
632.0	0.11309	0.00047
632.04	0.10652	0.00033
632.07	0.10733	0.0004
632.12	0.10952	0.00047
632.16	0.11029	0.00036
632.19	0.11029	0.00036
632.24	0.1085	0.00047
632.28	0.11487	0.00027
632.31	0.11691	0.00036
632.36	0.11288	0.00044
632.4	0.11309	0.00025
632.43	0.12154	0.00031
632.48	0.12133	0.00038
632.52	0.12072	0.00041
632.56	0.1164	0.00042
632.6	0.11879	0.00038
632.64	0.12322	0.00052
632.68	0.11614	0.00041
632.72	0.12057	0.00046
632.76	0.11288	0.00038
632.8	0.11304	0.00052
632.84	0.12286	0.00031
632.88	0.12072	0.00034
632.92	0.12083	0.00044
632.95	0.13004	0.00036
