Waveleght	Intensity	Error
560.43	0.10102	0.00027
560.48	0.09425	0.00034
560.52	0.09893	0.00044
560.56	0.09695	0.00042
560.6	0.09603	0.00066
560.64	0.10163	0.00053
560.68	0.10153	0.00042
560.72	0.10153	0.00042
560.76	0.0943	0.00033
560.8	0.09629	0.00041
560.84	0.10005	0.00046
560.88	0.1001	0.00036
560.92	0.10387	0.00041
560.95	0.0971	0.00031
561.0	0.097	0.00032
561.04	0.09817	0.00023
561.07	0.0998	0.00034
561.12	0.09613	0.00033
561.16	0.10474	0.00038
561.19	0.09893	0.0005
561.24	0.09537	0.00038
561.28	0.09522	0.00025
561.31	0.10092	0.00023
561.36	0.09822	0.00065
561.4	0.09735	0.00056
561.43	0.09797	0.00036
561.48	0.09888	0.00051
561.52	0.09608	0.00038
561.56	0.09613	0.00033
561.6	0.09338	0.00048
561.64	0.09878	0.00057
561.68	0.09613	0.00033
561.72	0.0941	0.0004
561.76	0.09303	0.00044
561.8	0.09506	0.00038
561.84	0.09603	0.00036
561.88	0.09629	0.00041
561.92	0.0943	0.00051
561.95	0.09623	0.00047
562.0	0.09517	0.00034
562.04	0.10178	0.00052
562.07	0.09827	0.00047
562.12	0.09613	0.00023
562.16	0.09598	0.00032
562.19	0.1056	0.00053
562.24	0.09791	0.00038
562.28	0.09878	0.00047
562.31	0.10168	0.00055
562.36	0.09695	0.00027
562.4	0.09532	0.00023
562.43	0.09501	0.00053
562.48	0.09725	0.00047
562.52	0.09695	0.00053
562.56	0.09511	0.00033
562.6	0.09338	0.00042
562.64	0.09537	0.00031
562.68	0.09893	0.0005
562.72	0.09705	0.00027
562.76	0.0969	0.00031
562.8	0.09903	0.00032
562.84	0.0972	0.00041
562.88	0.09618	0.00041
562.92	0.09812	0.0002
562.95	0.09542	0.00042
563.0	0.09165	0.00041
563.04	0.09155	0.0004
563.07	0.10357	0.00048
563.12	0.09791	0.00031
563.16	0.09868	0.00046
563.19	0.10082	0.00034
563.24	0.10087	0.00025
563.28	0.09791	0.00031
563.31	0.10097	0.00055
563.36	0.10092	0.00023
563.4	0.09618	0.00025
563.43	0.10464	0.00023
563.48	0.09705	0.00048
563.52	0.09903	0.00051
563.56	0.09903	0.0006
563.6	0.09898	0.00053
563.64	0.09914	0.00044
563.68	0.09802	0.00046
563.72	0.10082	0.00047
563.76	0.09903	0.00068
563.8	0.0999	0.00046
563.84	0.09506	0.00044
563.88	0.09623	0.00034
563.92	0.09613	0.0004
563.95	0.09481	0.00046
564.0	0.0943	0.00023
564.04	0.10077	0.00025
564.07	0.09618	0.00025
564.12	0.10204	0.00036
564.16	0.09608	0.00031
564.19	0.0942	0.00034
564.24	0.0942	0.00047
564.28	0.09807	0.00036
564.31	0.09323	0.00047
564.36	0.09135	0.00027
564.4	0.09797	0.00036
564.43	0.09216	0.00041
564.48	0.09786	0.00051
564.52	0.09812	0.00038
564.56	0.10194	0.00046
564.6	0.10265	0.00015
564.64	0.09613	0.0006
564.68	0.09995	0.00044
564.72	0.09613	0.00023
564.76	0.09858	0.00042
564.8	0.10285	0.00034
564.84	0.1025	0.00031
564.88	0.10077	0.00034
564.92	0.09914	0.0005
564.95	0.10194	0.00033
565.0	0.09435	0.00038
565.04	0.10453	0.00038
565.07	0.09995	0.00031
565.12	0.09995	0.00031
565.16	0.10071	0.00046
565.19	0.09486	0.00031
565.24	0.09629	0.00025
565.28	0.10168	0.00044
565.31	0.09812	0.00031
565.36	0.09985	0.00041
565.4	0.09985	0.00034
565.43	0.10107	0.00039
565.48	0.1001	0.00027
565.52	0.10092	0.00046
565.56	0.10458	0.00036
565.6	0.10173	0.00046
565.64	0.09807	0.00042
565.68	0.10178	0.00034
565.72	0.10163	0.00048
565.76	0.10453	0.00031
565.8	0.09893	0.00044
565.84	0.10021	0.00051
565.88	0.09537	0.00038
565.92	0.10443	0.00034
565.95	0.09817	0.0004
566.0	0.09827	0.00034
566.04	0.10367	0.00042
566.07	0.09797	0.00048
566.12	0.10265	0.00048
566.16	0.10153	0.00042
566.19	0.10652	0.00033
566.24	0.10005	0.00023
566.28	0.0998	0.00041
566.31	0.09735	0.00033
566.36	0.09995	0.00044
566.4	0.10092	0.00033
566.43	0.10066	0.00031
566.48	0.09145	0.00036
566.52	0.09613	0.0006
566.56	0.09786	0.00046
566.6	0.09812	0.0002
566.64	0.10087	0.00052
566.68	0.09425	0.00034
566.72	0.09517	0.00034
566.76	0.09898	0.00027
566.8	0.09807	0.00042
566.84	0.09578	0.00057
566.88	0.09613	0.00033
566.92	0.09888	0.00056
566.95	0.09893	0.00038
567.0	0.09608	0.0002
567.04	0.10285	0.00034
567.07	0.09914	0.00055
567.12	0.09919	0.00033
567.16	0.09725	0.00052
567.19	0.09695	0.00027
567.24	0.09797	0.00036
567.28	0.09898	0.00042
567.31	0.09888	0.0004
567.36	0.09807	0.00042
567.4	0.10061	0.00048
567.43	0.10362	0.00032
567.48	0.10367	0.00048
567.52	0.097	0.00046
567.56	0.1029	0.00034
567.6	0.09517	0.00025
567.64	0.09629	0.00025
567.68	0.09425	0.00041
567.72	0.09791	0.00031
567.76	0.09802	0.00032
567.8	0.10005	0.00032
567.84	0.09695	0.00042
567.88	0.09629	0.00052
567.92	0.09995	0.00031
567.95	0.09781	0.00034
568.0	0.09043	0.00048
568.04	0.09629	0.00041
568.07	0.09588	0.00031
568.12	0.09679	0.00034
568.16	0.09399	0.00042
568.19	0.0999	0.00046
568.24	0.09903	0.00056
568.28	0.10005	0.00046
568.31	0.09405	0.00055
568.36	0.09415	0.00041
568.4	0.09888	0.00033
568.43	0.10015	0.0002
568.48	0.09995	0.00044
568.52	0.09903	0.00039
568.56	0.09817	0.00033
568.6	0.10015	0.00044
568.64	0.09934	0.00076
568.68	0.09883	0.00041
568.72	0.09985	0.00034
568.76	0.09817	0.00033
568.8	0.09415	0.00034
568.84	0.09985	0.00025
568.88	0.09695	0.00027
568.92	0.10377	0.00033
568.95	0.10367	0.00042
569.0	0.10173	0.0004
569.04	0.10189	0.00034
569.07	0.09802	0.00046
569.12	0.09695	0.00027
569.16	0.09435	0.00038
569.19	0.09603	0.00053
569.24	0.09598	0.00051
569.28	0.10367	0.00027
569.31	0.09715	0.0004
569.36	0.10311	0.0006
569.4	0.09629	0.00041
569.43	0.09812	0.00031
569.48	0.0999	0.00046
569.52	0.0999	0.00033
569.56	0.09975	0.00047
569.6	0.09817	0.00046
569.64	0.0973	0.00065
569.68	0.09807	0.00036
569.72	0.09623	0.00034
569.76	0.09995	0.00038
569.8	0.10173	0.00033
569.84	0.10214	0.00048
569.88	0.09613	0.00033
569.92	0.09333	0.00038
569.95	0.09399	0.00048
570.0	0.10092	0.00033
570.04	0.09898	0.00048
570.07	0.10077	0.00041
570.12	0.10087	0.00041
570.16	0.09226	0.00033
570.19	0.09985	0.00034
570.24	0.10306	0.00053
570.28	0.10178	0.00065
570.31	0.09135	0.00048
570.36	0.0971	0.00031
570.4	0.0997	0.00051
570.43	0.09995	0.00038
570.48	0.10199	0.00055
570.52	0.09674	0.00034
570.56	0.09761	0.0005
570.6	0.09995	0.0005
570.64	0.09802	0.00032
570.68	0.09771	0.00041
570.72	0.09817	0.0004
570.76	0.0914	0.00051
570.8	0.10077	0.00047
570.84	0.09791	0.00055
570.88	0.09715	0.0004
570.92	0.09883	0.00057
570.95	0.09532	0.00033
571.0	0.0969	0.00031
571.04	0.0972	0.00047
571.07	0.09639	0.00031
571.12	0.09593	0.00058
571.16	0.1001	0.00027
571.19	0.09705	0.00058
571.24	0.09425	0.00052
571.28	0.09883	0.00047
571.31	0.09888	0.00056
571.36	0.09914	0.0005
571.4	0.10082	0.00034
571.43	0.09608	0.00055
571.48	0.09807	0.00027
571.52	0.10097	0.00038
571.56	0.09766	0.00046
571.6	0.09817	0.0004
571.64	0.09527	0.00052
571.68	0.10082	0.00034
571.72	0.09527	0.00052
571.76	0.09898	0.00062
571.8	0.09455	0.0002
571.84	0.1027	0.00038
571.88	0.09695	0.00027
571.92	0.09705	0.00036
571.95	0.09898	0.00048
572.0	0.09797	0.00042
572.04	0.10265	0.00027
572.07	0.09608	0.0002
572.12	0.10102	0.00036
572.16	0.10097	0.0005
572.19	0.10092	0.00023
572.24	0.10021	0.00023
572.28	0.09802	0.00051
572.31	0.09995	0.00038
572.36	0.09878	0.00041
572.4	0.09797	0.00042
572.43	0.09878	0.00025
572.48	0.09909	0.00036
572.52	0.10626	0.00031
572.56	0.09685	0.00051
572.6	0.09318	0.00034
572.64	0.09883	0.00047
572.68	0.0998	0.00025
572.72	0.09629	0.00047
572.76	0.09822	0.00025
572.8	0.09776	0.00034
572.84	0.10652	0.00033
572.88	0.09995	0.00044
572.92	0.097	0.00046
572.95	0.0973	0.00061
573.0	0.09598	0.00023
573.04	0.10652	0.00056
573.07	0.10657	0.00038
573.12	0.09695	0.00036
573.16	0.10005	0.00032
573.19	0.0944	0.00036
573.24	0.09888	0.0004
573.28	0.09878	0.00041
573.31	0.09231	0.00038
573.36	0.09995	0.00038
573.4	0.09975	0.00047
573.43	0.09634	0.0004
573.48	0.10102	0.00042
573.52	0.0914	0.00039
573.56	0.10265	0.00027
573.6	0.09914	0.00044
573.64	0.09903	0.00046
573.68	0.09898	0.00053
573.72	0.0972	0.00052
573.76	0.09888	0.00056
573.8	0.10092	0.00033
573.84	0.09914	0.0005
573.88	0.1028	0.00041
573.92	0.09522	0.00025
573.95	0.09527	0.00052
574.0	0.09715	0.00056
574.04	0.10265	0.00042
574.07	0.10173	0.00046
574.12	0.09954	0.00046
574.16	0.1027	0.00031
574.19	0.10178	0.00041
574.24	0.09893	0.00038
574.28	0.09883	0.00057
574.31	0.09705	0.00027
574.36	0.09741	0.00038
574.4	0.0917	0.00034
574.43	0.10163	0.00036
574.48	0.10077	0.00034
574.52	0.09313	0.00052
574.56	0.09333	0.00044
574.6	0.10102	0.00042
574.64	0.09511	0.00065
574.68	0.10474	0.00038
574.72	0.09786	0.00033
574.76	0.10021	0.0004
574.8	0.09817	0.00051
574.84	0.10275	0.00033
574.88	0.10285	0.00025
574.92	0.10097	0.0005
574.95	0.10275	0.00033
575.0	0.09791	0.0005
575.04	0.10377	0.00033
575.07	0.09618	0.00041
575.12	0.09705	0.00036
575.16	0.09685	0.00033
575.19	0.10204	0.00027
575.24	0.0998	0.00041
575.28	0.1026	0.00056
575.31	0.09822	0.00034
575.36	0.1057	0.00036
575.4	0.09914	0.00055
575.43	0.09888	0.0004
575.48	0.10275	0.00051
575.52	0.10082	0.00025
575.56	0.09618	0.00034
575.6	0.09695	0.00027
575.64	0.10082	0.00047
575.68	0.09537	0.00031
575.72	0.10362	0.00032
575.76	0.10387	0.00025
575.8	0.1	0.00053
575.84	0.10362	0.00032
575.88	0.09995	0.00031
575.92	0.09893	0.00031
575.95	0.1084	0.00034
576.0	0.10652	0.0006
576.04	0.10621	0.00042
576.07	0.10178	0.00025
576.12	0.10163	0.00062
576.16	0.10071	0.00023
576.19	0.09903	0.0006
576.24	0.09995	0.0002
576.28	0.1001	0.00042
576.31	0.1	0.00048
576.36	0.10178	0.00057
576.4	0.10077	0.00034
576.43	0.10367	0.00042
576.48	0.10133	0.00025
576.52	0.10474	0.00038
576.56	0.10097	0.00044
576.6	0.10163	0.00042
576.64	0.10173	0.00033
576.68	0.10168	0.00044
576.72	0.09995	0.00055
576.76	0.10443	0.00034
576.8	0.10647	0.00025
576.84	0.10377	0.00033
576.88	0.10092	0.00033
576.92	0.10056	0.00046
576.95	0.09634	0.00046
577.0	0.10087	0.00052
577.04	0.10087	0.00034
577.07	0.10749	0.00025
577.12	0.09634	0.00051
577.16	0.10362	0.00039
577.19	0.09598	0.00039
577.24	0.09613	0.00033
577.28	0.1	0.00027
577.31	0.0972	0.00025
577.36	0.10077	0.00025
577.4	0.09822	0.00034
577.43	0.09532	0.0004
577.48	0.09685	0.00023
577.52	0.09746	0.00036
577.56	0.097	0.00051
577.6	0.09613	0.0004
577.64	0.09135	0.00036
577.68	0.09903	0.0006
577.72	0.09725	0.00041
577.76	0.09995	0.0005
577.8	0.09995	0.00038
577.84	0.10087	0.00034
577.88	0.09705	0.00053
577.92	0.1027	0.00044
577.95	0.10469	0.00027
578.0	0.10723	0.00036
578.04	0.09634	0.0004
578.07	0.0972	0.00052
578.12	0.0971	0.00038
578.16	0.10082	0.00041
578.19	0.09975	0.00041
578.24	0.09705	0.00036
578.28	0.09425	0.00034
578.31	0.09705	0.00042
578.36	0.09634	0.00046
578.4	0.09608	0.00055
578.43	0.09425	0.00057
578.48	0.1	0.00042
578.52	0.09476	0.00052
578.56	0.09618	0.00041
578.6	0.09822	0.00034
578.64	0.09797	0.00042
578.68	0.10464	0.00039
578.72	0.10443	0.00025
578.76	0.10005	0.00039
578.8	0.09903	0.00032
578.84	0.10219	0.00031
578.88	0.09888	0.00056
578.92	0.0969	0.00031
578.95	0.10097	0.0002
579.0	0.10066	0.00038
579.04	0.09695	0.00036
579.07	0.09878	0.00041
579.12	0.09318	0.00047
579.16	0.09522	0.00041
579.19	0.09817	0.00033
579.24	0.09435	0.00038
579.28	0.09435	0.00038
579.31	0.1027	0.00044
579.36	0.10021	0.00056
579.4	0.09333	0.0005
579.43	0.10005	0.00046
579.48	0.10173	0.00051
579.52	0.10117	0.00038
579.56	0.09776	0.00047
579.6	0.09807	0.00027
579.64	0.10071	0.00023
579.68	0.10005	0.00046
579.72	0.09333	0.00059
579.76	0.09695	0.00036
579.8	0.09425	0.00025
579.84	0.09608	0.00031
579.88	0.09623	0.00025
579.92	0.09802	0.00039
579.95	0.10005	1.38778e-17
580.0	0.0943	0.00023
580.04	0.09618	0.00057
580.07	0.10061	0.00048
580.12	0.1	0.00036
580.16	0.1	0.00048
580.19	0.0999	0.00046
580.24	0.10183	0.00047
580.28	0.09802	0.00032
580.31	0.09781	0.00034
580.36	0.10189	0.00041
580.4	0.10178	0.00034
580.43	0.0971	0.00044
580.48	0.09725	0.00061
580.52	0.10448	0.0004
580.56	0.10642	0.00025
580.6	0.10107	0.00032
580.64	0.10204	0.00027
580.68	0.09883	0.00061
580.72	0.09674	0.00034
580.76	0.09725	0.00025
580.8	0.09807	0.00027
580.84	0.09725	0.00041
580.88	0.09903	0.00046
580.92	0.09985	0.00057
580.95	0.09812	0.00038
581.0	0.10194	0.0004
581.04	0.09919	0.00023
581.07	0.09893	0.00038
581.12	0.1027	0.00031
581.16	0.09903	0.00051
581.19	0.0999	0.00056
581.24	0.10372	0.0005
581.28	0.1027	0.00031
581.31	0.10173	0.0004
581.36	0.10189	0.00047
581.4	0.09802	0.00039
581.43	0.09613	0.00033
581.48	0.1	0.00058
581.52	0.10021	0.00046
581.56	0.10285	0.00041
581.6	0.10097	0.00031
581.64	0.10087	0.00047
581.68	0.10066	0.00031
581.72	0.10469	0.00042
581.76	0.10382	0.00034
581.8	0.10265	0.00027
581.84	0.09985	0.00057
581.88	0.09791	0.0005
581.92	0.10178	0.00041
581.95	0.10189	0.00047
582.0	0.10015	0.00031
582.04	0.10173	0.00051
582.07	0.10173	0.00046
582.12	0.111	0.00025
582.16	0.1027	0.00044
582.19	0.10942	0.00034
582.24	0.10912	0.0005
582.28	0.1056	0.00042
582.31	0.1056	0.00042
582.36	0.09985	0.00047
582.4	0.1001	0.00036
582.43	0.10173	0.00051
582.48	0.09807	0.00027
582.52	0.10306	0.00042
582.56	0.1029	0.00034
582.6	0.09924	0.00047
582.64	0.10061	0.00027
582.68	0.09613	0.00033
582.72	0.10097	0.00031
582.76	0.09623	0.00052
582.8	0.09919	0.00046
582.84	0.09924	0.00041
582.88	0.10581	0.0004
582.92	0.09491	0.00042
582.95	0.10015	0.00044
583.0	0.1	0.00066
583.04	0.10097	0.00055
583.07	0.09797	0.00058
583.12	0.09817	0.0004
583.16	0.10189	0.00034
583.19	0.09613	0.00046
583.24	0.09354	0.00031
583.28	0.09623	0.00025
583.31	0.09797	0.00027
583.36	0.10005	0.00032
583.4	0.09822	0.00025
583.43	0.09802	0.00032
583.48	0.09802	0.00032
583.52	0.09812	0.00064
583.56	0.09797	0.00048
583.6	0.09924	0.00047
583.64	0.09909	0.00053
583.68	0.09802	0.00032
583.72	0.09797	0.00042
583.76	0.10092	0.0004
583.8	0.0972	0.00041
583.84	0.10163	0.00053
583.88	0.0973	0.00057
583.92	0.09715	0.0004
583.95	0.0942	0.00034
584.0	0.09435	0.00044
584.04	0.09903	0.00046
584.07	0.09807	0.00042
584.12	0.09511	0.0004
584.16	0.09226	0.00033
584.19	0.10173	0.00065
584.24	0.0969	0.00055
584.28	0.09893	0.00031
584.31	0.09898	0.00042
584.36	0.10071	0.0004
584.4	0.1001	0.00053
584.43	0.09985	0.00041
584.48	0.10189	0.00052
584.52	0.09883	0.00025
584.56	0.097	0.00032
584.6	0.09715	0.00046
584.64	0.0944	0.00027
584.68	0.09893	0.00031
584.72	0.10005	0.00039
584.76	0.1001	0.00058
584.8	0.09888	0.00046
584.84	0.10245	0.00046
584.88	0.09593	0.00048
584.92	0.09593	0.00036
584.95	0.10367	0.00042
585.0	0.09725	0.00041
585.04	0.10484	0.00034
585.07	0.0971	0.00038
585.12	0.09348	0.00048
585.16	0.09817	0.00033
585.19	0.09817	0.00033
585.24	0.10555	0.00031
585.28	0.09878	0.00052
585.31	0.10066	0.0002
585.36	0.09527	0.00041
585.4	0.09898	0.00042
585.43	0.0971	0.00044
585.48	0.09685	0.0004
585.52	0.1001	0.00036
585.56	0.1027	0.00038
585.6	0.09898	0.00042
585.64	0.09705	0.00042
585.68	0.1	0.00027
585.72	0.09797	0.00036
585.76	0.10265	0.00048
585.8	0.10265	0.00036
585.84	0.09888	0.00033
585.88	0.1055	0.0004
585.92	0.09985	0.00041
585.95	0.09791	0.00031
586.0	0.10015	0.0005
586.04	0.09608	0.0005
586.07	0.09608	0.00038
586.12	0.10071	0.00046
586.16	0.10021	0.0004
586.19	0.097	0.00039
586.24	0.10372	0.00044
586.28	0.09532	0.00033
586.31	0.09623	0.00041
586.36	0.09608	0.00044
586.4	0.10189	0.00041
586.43	0.09425	0.00047
586.48	0.10087	0.00034
586.52	0.09506	0.0005
586.56	0.10397	0.00033
586.6	0.10189	0.00047
586.64	0.09613	0.0004
586.68	0.09618	0.00041
586.72	0.10199	0.00044
586.76	0.09715	0.00046
586.8	0.09909	0.00042
586.84	0.10382	0.00034
586.88	0.10178	0.00047
586.92	0.09817	0.0004
586.95	0.09802	0.00032
587.0	0.09685	0.00033
587.04	0.09797	0.00015
587.07	0.09914	0.00038
587.12	0.0997	0.00046
587.16	0.10005	0.00051
587.19	0.10469	0.00036
587.24	0.10168	0.00038
587.28	0.10173	0.00033
587.31	0.09797	0.00015
587.36	0.10102	0.00048
587.4	0.10458	0.00036
587.43	0.10275	0.0004
587.48	0.0999	0.00056
587.52	0.10189	0.00061
587.56	0.10204	0.00042
587.6	0.0997	0.00051
587.64	0.10275	0.00023
587.68	0.10662	0.00027
587.72	0.10107	0.00039
587.76	0.09613	0.00033
587.8	0.1028	0.00041
587.84	0.10275	0.00046
587.88	0.10168	0.00044
587.92	0.0999	0.00046
