Raman-Spectrum _CHCl3 _aspol001.dat
27/09/2021
14:25:54
_CHCl3
_aspol0 Temp: NON
X in nm	Y Signal 	Error Signal				
625.04000	0.10392	0.00034
625.08000	0.09506	0.00055
625.12000	0.10173	0.00060
625.16000	0.10183	0.00052
625.20000	0.10525	0.00038
625.24000	0.10000	0.00036
625.28000	0.10453	0.00031
625.32000	0.10443	0.00041
625.36000	0.09802	0.00060
625.40000	0.10840	0.00047
625.44000	0.09420	0.00041
625.48000	0.10469	0.00027
625.52000	0.10189	0.00047
625.56000	0.10464	0.00032
625.60000	0.10469	0.00036
625.64000	0.10637	0.00025
625.68000	0.10362	0.00051
625.72000	0.10265	0.00042
625.76000	0.09990	0.00040
625.80000	0.10275	0.00060
625.84000	0.10458	0.00027
625.88000	0.10479	0.00051
625.92000	0.10010	0.00036
625.96000	0.10372	0.00031
626.00000	0.10840	0.00034
626.04000	0.09903	0.00046
626.08000	0.10183	0.00047
626.12000	0.11492	0.00044
626.16000	0.10632	0.00033
626.20000	0.10632	0.00051
626.24000	0.10642	0.00025
626.28000	0.10346	0.00051
626.32000	0.10377	0.00033
626.36000	0.10250	0.00050
626.40000	0.10285	0.00041
626.44000	0.10535	0.00047
626.48000	0.10525	0.00044
626.52000	0.10183	0.00065
626.56000	0.10372	0.00031
626.60000	0.10392	0.00034
626.64000	0.10071	0.00033
626.68000	0.10922	0.00039
626.72000	0.10560	0.00062
626.76000	0.10173	0.00056
626.80000	0.10194	0.00060
626.84000	0.10896	0.00025
626.88000	0.10738	0.00047
626.92000	0.10560	0.00036
626.96000	0.10912	0.00055
627.00000	0.10616	0.00032
627.04000	0.10209	0.00046
627.08000	0.10189	0.00041
627.12000	0.10774	0.00036
627.16000	0.10550	0.00033
627.20000	0.10947	0.00025
627.24000	0.10178	0.00047
627.28000	0.10458	0.00036
627.32000	0.10825	0.00015
627.36000	0.10835	0.00033
627.40000	0.10738	0.00034
627.44000	0.10453	0.00050
627.48000	0.10657	0.00044
627.52000	0.10856	0.00040
627.56000	0.11136	0.00044
627.60000	0.10372	0.00038
627.64000	0.10744	0.00041
627.68000	0.10749	0.00047
627.72000	0.10906	0.00065
627.76000	0.10820	0.00000
627.80000	0.11115	0.00038
627.84000	0.11487	0.00036
627.88000	0.11085	0.00038
627.92000	0.11115	0.00038
627.96000	0.11105	0.00047
