Raman-Spectrum _CHCl3 _spol9001.dat
27/09/2021
15:04:23
_CHCl3
_spol90 Temp: NON
X in nm	Y Signal 	Error Signal				
560.04000	0.10199	0.00031
560.08000	0.10178	0.00041
560.12000	0.10387	0.00047
560.16000	0.10382	0.00041
560.20000	0.10377	0.00033
560.24000	0.10626	0.00031
560.28000	0.10377	0.00046
560.32000	0.10372	0.00038
560.36000	0.10077	0.00034
560.40000	0.10530	0.00033
560.44000	0.09903	0.00060
560.48000	0.09919	0.00060
560.52000	0.10555	0.00050
560.56000	0.10270	0.00031
560.60000	0.10626	0.00038
560.64000	0.10122	0.00033
560.68000	0.10535	0.00041
560.72000	0.11115	0.00038
560.76000	0.11080	0.00027
560.80000	0.10194	0.00040
560.84000	0.10392	0.00025
560.88000	0.10474	0.00038
560.92000	0.09985	0.00057
560.96000	0.10550	0.00046
561.00000	0.10163	0.00042
561.04000	0.10357	0.00036
561.08000	0.10387	0.00047
561.12000	0.10071	0.00023
561.16000	0.09685	0.00023
561.20000	0.10550	0.00033
561.24000	0.10479	0.00023
561.28000	0.10010	0.00036
561.32000	0.10301	0.00031
561.36000	0.10295	0.00040
561.40000	0.10382	0.00034
561.44000	0.10183	0.00034
561.48000	0.10153	0.00048
561.52000	0.10749	0.00057
561.56000	0.10199	0.00050
561.60000	0.10535	0.00041
561.64000	0.10469	0.00036
561.68000	0.10464	0.00039
561.72000	0.10168	0.00031
561.76000	0.10285	0.00047
561.80000	0.10285	0.00025
561.84000	0.10204	0.00042
561.88000	0.10555	0.00044
561.92000	0.10738	0.00061
561.96000	0.10754	0.00040
562.00000	0.10280	0.00041
562.04000	0.10280	0.00025
562.08000	0.10275	0.00060
562.12000	0.10555	0.00038
562.16000	0.10555	0.00044
562.20000	0.10092	0.00040
562.24000	0.10077	0.00025
562.28000	0.10173	0.00046
562.32000	0.10754	0.00065
562.36000	0.10357	0.00027
562.40000	0.10178	0.00052
562.44000	0.10525	0.00038
562.48000	0.10484	0.00034
562.52000	0.09817	0.00040
562.56000	0.09807	0.00027
562.60000	0.09786	0.00051
562.64000	0.09985	0.00041
562.68000	0.10382	0.00034
562.72000	0.10209	0.00032
